PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(31)	(expected)	(over/under)	(fold Enrichment)	P-value
carboxylic acid catabolic process (GO:0046395)	68	0	.18	-	 < 0.01	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	55	0	.14	-	 < 0.01	1.00E00
regulation of cell cycle G2/M phase transition (GO:1902749)	23	0	.06	-	 < 0.01	1.00E00
ribose phosphate biosynthetic process (GO:0046390)	39	0	.10	-	 < 0.01	1.00E00
embryonic organ development (GO:0048568)	28	0	.07	-	 < 0.01	1.00E00
glycosyl compound catabolic process (GO:1901658)	13	0	.03	-	 < 0.01	1.00E00
energy derivation by oxidation of organic compounds (GO:0015980)	39	0	.10	-	 < 0.01	1.00E00
glycosyl compound metabolic process (GO:1901657)	23	0	.06	-	 < 0.01	1.00E00
triglyceride metabolic process (GO:0006641)	16	0	.04	-	 < 0.01	1.00E00
cellular response to peptide (GO:1901653)	25	0	.07	-	 < 0.01	1.00E00
positive regulation of protein modification process (GO:0031401)	72	0	.19	-	 < 0.01	1.00E00
establishment of protein localization to endoplasmic reticulum (GO:0072599)	12	0	.03	-	 < 0.01	1.00E00
response to peptide (GO:1901652)	30	0	.08	-	 < 0.01	1.00E00
synapse organization (GO:0050808)	64	0	.17	-	 < 0.01	1.00E00
negative regulation of protein modification process (GO:0031400)	43	0	.11	-	 < 0.01	1.00E00
cardiac muscle cell differentiation (GO:0055007)	7	0	.02	-	 < 0.01	1.00E00
regulation of synapse organization (GO:0050807)	18	0	.05	-	 < 0.01	1.00E00
positive regulation of protein localization (GO:1903829)	12	0	.03	-	 < 0.01	1.00E00
positive regulation of synaptic transmission (GO:0050806)	20	0	.05	-	 < 0.01	1.00E00
melanocyte differentiation (GO:0030318)	1	0	.00	-	 < 0.01	1.00E00
establishment of protein localization to organelle (GO:0072594)	113	0	.29	-	 < 0.01	1.00E00
modulation of chemical synaptic transmission (GO:0050804)	78	0	.20	-	 < 0.01	1.00E00
flagellated sperm motility (GO:0030317)	1	0	.00	-	 < 0.01	1.00E00
organic acid transmembrane transport (GO:1903825)	52	0	.14	-	 < 0.01	1.00E00
striated muscle cell development (GO:0055002)	25	0	.07	-	 < 0.01	1.00E00
regulation of synapse structure or activity (GO:0050803)	19	0	.05	-	 < 0.01	1.00E00
osteoclast differentiation (GO:0030316)	4	0	.01	-	 < 0.01	1.00E00
muscle cell development (GO:0055001)	34	0	.09	-	 < 0.01	1.00E00
monoatomic ion homeostasis (GO:0050801)	128	0	.33	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	0	.01	-	 < 0.01	1.00E00
acylglycerol metabolic process (GO:0006639)	22	0	.06	-	 < 0.01	1.00E00
neutral lipid metabolic process (GO:0006638)	22	0	.06	-	 < 0.01	1.00E00
acyl-CoA metabolic process (GO:0006637)	17	0	.04	-	 < 0.01	1.00E00
nuclear envelope organization (GO:0006998)	9	0	.02	-	 < 0.01	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	6	0	.02	-	 < 0.01	1.00E00
fatty acid beta-oxidation (GO:0006635)	21	0	.05	-	 < 0.01	1.00E00
nucleus organization (GO:0006997)	14	0	.04	-	 < 0.01	1.00E00
heart process (GO:0003015)	20	0	.05	-	 < 0.01	1.00E00
mRNA cis splicing, via spliceosome (GO:0045292)	4	0	.01	-	 < 0.01	1.00E00
fatty acid biosynthetic process (GO:0006633)	27	0	.07	-	 < 0.01	1.00E00
circulatory system process (GO:0003013)	42	0	.11	-	 < 0.01	1.00E00
muscle system process (GO:0003012)	32	0	.08	-	 < 0.01	1.00E00
chaperone-mediated protein folding (GO:0061077)	12	0	.03	-	 < 0.01	1.00E00
fatty acid metabolic process (GO:0006631)	79	0	.21	-	 < 0.01	1.00E00
reproductive process (GO:0022414)	77	0	.20	-	 < 0.01	1.00E00
ERBB signaling pathway (GO:0038127)	15	0	.04	-	 < 0.01	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	23	0	.06	-	 < 0.01	1.00E00
clathrin-dependent endocytosis (GO:0072583)	11	0	.03	-	 < 0.01	1.00E00
T cell activation involved in immune response (GO:0002286)	2	0	.01	-	 < 0.01	1.00E00
lymphocyte activation involved in immune response (GO:0002285)	2	0	.01	-	 < 0.01	1.00E00
cholesterol transport (GO:0030301)	11	0	.03	-	 < 0.01	1.00E00
macrophage activation involved in immune response (GO:0002281)	1	0	.00	-	 < 0.01	1.00E00
cellular response to external stimulus (GO:0071496)	26	0	.07	-	 < 0.01	1.00E00
cellular response to endogenous stimulus (GO:0071495)	163	0	.42	-	 < 0.01	1.00E00
positive regulation of cation channel activity (GO:2001259)	5	0	.01	-	 < 0.01	1.00E00
response to steroid hormone (GO:0048545)	8	0	.02	-	 < 0.01	1.00E00
skeletal muscle contraction (GO:0003009)	8	0	.02	-	 < 0.01	1.00E00
system process (GO:0003008)	111	0	.29	-	 < 0.01	1.00E00
negative regulation of chromosome organization (GO:2001251)	10	0	.03	-	 < 0.01	1.00E00
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	31	0	.08	-	 < 0.01	1.00E00
heart morphogenesis (GO:0003007)	12	0	.03	-	 < 0.01	1.00E00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	.00	-	 < 0.01	1.00E00
protein targeting to mitochondrion (GO:0006626)	18	0	.05	-	 < 0.01	1.00E00
developmental process involved in reproduction (GO:0003006)	26	0	.07	-	 < 0.01	1.00E00
response to unfolded protein (GO:0006986)	19	0	.05	-	 < 0.01	1.00E00
protein targeting to vacuole (GO:0006623)	13	0	.03	-	 < 0.01	1.00E00
regionalization (GO:0003002)	47	0	.12	-	 < 0.01	1.00E00
protein targeting to lysosome (GO:0006622)	2	0	.01	-	 < 0.01	1.00E00
positive regulation of cell-cell adhesion (GO:0022409)	9	0	.02	-	 < 0.01	1.00E00
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	7	0	.02	-	 < 0.01	1.00E00
negative regulation of cell-cell adhesion (GO:0022408)	7	0	.02	-	 < 0.01	1.00E00
regulation of cell-cell adhesion (GO:0022407)	15	0	.04	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	29	0	.08	-	 < 0.01	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	54	0	.14	-	 < 0.01	1.00E00
muscle structure development (GO:0061061)	58	0	.15	-	 < 0.01	1.00E00
myeloid leukocyte activation (GO:0002274)	2	0	.01	-	 < 0.01	1.00E00
visual system development (GO:0150063)	31	0	.08	-	 < 0.01	1.00E00
cellular response to light stimulus (GO:0071482)	8	0	.02	-	 < 0.01	1.00E00
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	4	0	.01	-	 < 0.01	1.00E00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	7	0	.02	-	 < 0.01	1.00E00
response to oxidative stress (GO:0006979)	22	0	.06	-	 < 0.01	1.00E00
negative regulation of cell cycle phase transition (GO:1901988)	46	0	.12	-	 < 0.01	1.00E00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	7	0	.02	-	 < 0.01	1.00E00
interstrand cross-link repair (GO:0036297)	11	0	.03	-	 < 0.01	1.00E00
regulation of cell cycle phase transition (GO:1901987)	76	0	.20	-	 < 0.01	1.00E00
cotranslational protein targeting to membrane (GO:0006613)	7	0	.02	-	 < 0.01	1.00E00
DNA damage response (GO:0006974)	203	0	.53	-	 < 0.01	1.00E00
protein targeting to membrane (GO:0006612)	30	0	.08	-	 < 0.01	1.00E00
protein export from nucleus (GO:0006611)	10	0	.03	-	 < 0.01	1.00E00
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	2	0	.01	-	 < 0.01	1.00E00
response to osmotic stress (GO:0006970)	4	0	.01	-	 < 0.01	1.00E00
cell activation involved in immune response (GO:0002263)	3	0	.01	-	 < 0.01	1.00E00
regulation of cellular pH (GO:0030641)	27	0	.07	-	 < 0.01	1.00E00
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4	0	.01	-	 < 0.01	1.00E00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	0	.03	-	 < 0.01	1.00E00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	0	.04	-	 < 0.01	1.00E00
positive regulation of apoptotic signaling pathway (GO:2001235)	8	0	.02	-	 < 0.01	1.00E00
negative regulation of apoptotic signaling pathway (GO:2001234)	16	0	.04	-	 < 0.01	1.00E00
regulation of apoptotic signaling pathway (GO:2001233)	24	0	.06	-	 < 0.01	1.00E00
negative regulation of cellular process (GO:0048523)	693	0	1.81	-	 < 0.01	2.59E-01
NLS-bearing protein import into nucleus (GO:0006607)	10	0	.03	-	 < 0.01	1.00E00
protein import into nucleus (GO:0006606)	36	0	.09	-	 < 0.01	1.00E00
organic hydroxy compound biosynthetic process (GO:1901617)	42	0	.11	-	 < 0.01	1.00E00
protein targeting (GO:0006605)	65	0	.17	-	 < 0.01	1.00E00
organic hydroxy compound metabolic process (GO:1901615)	77	0	.20	-	 < 0.01	1.00E00
sensory system development (GO:0048880)	31	0	.08	-	 < 0.01	1.00E00
positive regulation of cell motility (GO:2000147)	51	0	.13	-	 < 0.01	1.00E00
G2/M transition of mitotic cell cycle (GO:0000086)	3	0	.01	-	 < 0.01	1.00E00
negative regulation of cell motility (GO:2000146)	10	0	.03	-	 < 0.01	1.00E00
regulation of cell motility (GO:2000145)	94	0	.25	-	 < 0.01	1.00E00
cilium movement (GO:0003341)	19	0	.05	-	 < 0.01	1.00E00
G1/S transition of mitotic cell cycle (GO:0000082)	18	0	.05	-	 < 0.01	1.00E00
regulation of wound healing (GO:0061041)	6	0	.02	-	 < 0.01	1.00E00
miRNA processing (GO:0035196)	12	0	.03	-	 < 0.01	1.00E00
amino sugar catabolic process (GO:0046348)	3	0	.01	-	 < 0.01	1.00E00
activation of immune response (GO:0002253)	41	0	.11	-	 < 0.01	1.00E00
protein K48-linked deubiquitination (GO:0071108)	3	0	.01	-	 < 0.01	1.00E00
immune effector process (GO:0002252)	9	0	.02	-	 < 0.01	1.00E00
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	9	0	.02	-	 < 0.01	1.00E00
regulation of GTPase activity (GO:0043087)	69	0	.18	-	 < 0.01	1.00E00
negative regulation of catalytic activity (GO:0043086)	60	0	.16	-	 < 0.01	1.00E00
adaptive immune response (GO:0002250)	8	0	.02	-	 < 0.01	1.00E00
positive regulation of catalytic activity (GO:0043085)	153	0	.40	-	 < 0.01	1.00E00
DNA conformation change (GO:0071103)	15	0	.04	-	 < 0.01	1.00E00
negative regulation of biological process (GO:0048519)	741	0	1.93	-	 < 0.01	2.60E-01
chemical homeostasis (GO:0048878)	169	0	.44	-	 < 0.01	1.00E00
spermatid differentiation (GO:0048515)	4	0	.01	-	 < 0.01	1.00E00
blood vessel morphogenesis (GO:0048514)	36	0	.09	-	 < 0.01	1.00E00
animal organ development (GO:0048513)	293	0	.76	-	 < 0.01	1.00E00
humoral immune response (GO:0006959)	7	0	.02	-	 < 0.01	1.00E00
nucleobase-containing compound transport (GO:0015931)	57	0	.15	-	 < 0.01	1.00E00
rhythmic process (GO:0048511)	23	0	.06	-	 < 0.01	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	23	0	.06	-	 < 0.01	1.00E00
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	22	0	.06	-	 < 0.01	1.00E00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	12	0	.03	-	 < 0.01	1.00E00
multicellular organismal-level homeostasis (GO:0048871)	12	0	.03	-	 < 0.01	1.00E00
complement activation (GO:0006956)	4	0	.01	-	 < 0.01	1.00E00
immune response (GO:0006955)	55	0	.14	-	 < 0.01	1.00E00
cell motility (GO:0048870)	193	0	.50	-	 < 0.01	1.00E00
alpha-amino acid metabolic process (GO:1901605)	73	0	.19	-	 < 0.01	1.00E00
DNA damage checkpoint signaling (GO:0000077)	19	0	.05	-	 < 0.01	1.00E00
regulation of ERK1 and ERK2 cascade (GO:0070372)	16	0	.04	-	 < 0.01	1.00E00
DNA replication checkpoint signaling (GO:0000076)	8	0	.02	-	 < 0.01	1.00E00
inflammatory response (GO:0006954)	20	0	.05	-	 < 0.01	1.00E00
amino acid transmembrane transport (GO:0003333)	42	0	.11	-	 < 0.01	1.00E00
cell cycle checkpoint signaling (GO:0000075)	37	0	.10	-	 < 0.01	1.00E00
defense response (GO:0006952)	57	0	.15	-	 < 0.01	1.00E00
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	6	0	.02	-	 < 0.01	1.00E00
response to stress (GO:0006950)	446	0	1.16	-	 < 0.01	6.30E-01
mitotic sister chromatid segregation (GO:0000070)	37	0	.10	-	 < 0.01	1.00E00
hematopoietic progenitor cell differentiation (GO:0002244)	1	0	.00	-	 < 0.01	1.00E00
proteasomal protein catabolic process (GO:0010498)	136	0	.35	-	 < 0.01	1.00E00
positive regulation of JNK cascade (GO:0046330)	8	0	.02	-	 < 0.01	1.00E00
response to cytokine (GO:0034097)	52	0	.14	-	 < 0.01	1.00E00
stem cell development (GO:0048864)	29	0	.08	-	 < 0.01	1.00E00
syncytium formation (GO:0006949)	3	0	.01	-	 < 0.01	1.00E00
stem cell differentiation (GO:0048863)	29	0	.08	-	 < 0.01	1.00E00
membrane fusion (GO:0061025)	49	0	.13	-	 < 0.01	1.00E00
membrane organization (GO:0061024)	152	0	.40	-	 < 0.01	1.00E00
striated muscle contraction (GO:0006941)	20	0	.05	-	 < 0.01	1.00E00
response to molecule of bacterial origin (GO:0002237)	14	0	.04	-	 < 0.01	1.00E00
regulation of JNK cascade (GO:0046328)	12	0	.03	-	 < 0.01	1.00E00
negative regulation of programmed cell death (GO:0043069)	51	0	.13	-	 < 0.01	1.00E00
positive regulation of programmed cell death (GO:0043068)	32	0	.08	-	 < 0.01	1.00E00
regulation of programmed cell death (GO:0043067)	97	0	.25	-	 < 0.01	1.00E00
negative regulation of apoptotic process (GO:0043066)	50	0	.13	-	 < 0.01	1.00E00
positive regulation of apoptotic process (GO:0043065)	31	0	.08	-	 < 0.01	1.00E00
cilium movement involved in cell motility (GO:0060294)	10	0	.03	-	 < 0.01	1.00E00
extracellular structure organization (GO:0043062)	100	0	.26	-	 < 0.01	1.00E00
sterol transport (GO:0015918)	16	0	.04	-	 < 0.01	1.00E00
cell projection morphogenesis (GO:0048858)	146	0	.38	-	 < 0.01	1.00E00
phospholipid transport (GO:0015914)	30	0	.08	-	 < 0.01	1.00E00
positive regulation of cell differentiation (GO:0045597)	52	0	.14	-	 < 0.01	1.00E00
regulation of cell differentiation (GO:0045595)	91	0	.24	-	 < 0.01	1.00E00
inorganic cation transmembrane transport (GO:0098662)	206	0	.54	-	 < 0.01	1.00E00
inorganic anion transmembrane transport (GO:0098661)	40	0	.10	-	 < 0.01	1.00E00
regulation of muscle contraction (GO:0006937)	9	0	.02	-	 < 0.01	1.00E00
inorganic ion transmembrane transport (GO:0098660)	239	0	.62	-	 < 0.01	1.00E00
muscle contraction (GO:0006936)	31	0	.08	-	 < 0.01	1.00E00
chemotaxis (GO:0006935)	35	0	.09	-	 < 0.01	1.00E00
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	3	0	.01	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity (GO:2000116)	20	0	.05	-	 < 0.01	1.00E00
ribosomal subunit export from nucleus (GO:0000054)	8	0	.02	-	 < 0.01	1.00E00
positive regulation of mRNA catabolic process (GO:0061014)	29	0	.08	-	 < 0.01	1.00E00
pyrimidine-containing compound metabolic process (GO:0072527)	24	0	.06	-	 < 0.01	1.00E00
regulation of mRNA catabolic process (GO:0061013)	55	0	.14	-	 < 0.01	1.00E00
pyridine-containing compound metabolic process (GO:0072524)	31	0	.08	-	 < 0.01	1.00E00
purine-containing compound catabolic process (GO:0072523)	24	0	.06	-	 < 0.01	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	51	0	.13	-	 < 0.01	1.00E00
purine-containing compound metabolic process (GO:0072521)	99	0	.26	-	 < 0.01	1.00E00
endoplasmic reticulum unfolded protein response (GO:0030968)	18	0	.05	-	 < 0.01	1.00E00
toll-like receptor signaling pathway (GO:0002224)	4	0	.01	-	 < 0.01	1.00E00
pattern recognition receptor signaling pathway (GO:0002221)	12	0	.03	-	 < 0.01	1.00E00
cilium-dependent cell motility (GO:0060285)	14	0	.04	-	 < 0.01	1.00E00
regulation of cell development (GO:0060284)	51	0	.13	-	 < 0.01	1.00E00
long-chain fatty acid transport (GO:0015909)	4	0	.01	-	 < 0.01	1.00E00
fatty acid transport (GO:0015908)	19	0	.05	-	 < 0.01	1.00E00
external encapsulating structure organization (GO:0045229)	100	0	.26	-	 < 0.01	1.00E00
monoatomic anion transmembrane transport (GO:0098656)	39	0	.10	-	 < 0.01	1.00E00
monoatomic cation transmembrane transport (GO:0098655)	206	0	.54	-	 < 0.01	1.00E00
transition metal ion transport (GO:0000041)	36	0	.09	-	 < 0.01	1.00E00
activation of innate immune response (GO:0002218)	13	0	.03	-	 < 0.01	1.00E00
gene expression (GO:0010467)	691	0	1.80	-	 < 0.01	2.59E-01
negative regulation of peptidase activity (GO:0010466)	22	0	.06	-	 < 0.01	1.00E00
peptide biosynthetic process (GO:0043043)	125	0	.33	-	 < 0.01	1.00E00
endoplasmic reticulum tubular network organization (GO:0071786)	10	0	.03	-	 < 0.01	1.00E00
cilium assembly (GO:0060271)	109	0	.28	-	 < 0.01	1.00E00
centrosome duplication (GO:0051298)	10	0	.03	-	 < 0.01	1.00E00
male sex differentiation (GO:0046661)	1	0	.00	-	 < 0.01	1.00E00
protein localization to Golgi apparatus (GO:0034067)	9	0	.02	-	 < 0.01	1.00E00
inner ear development (GO:0048839)	2	0	.01	-	 < 0.01	1.00E00
establishment of spindle orientation (GO:0051294)	10	0	.03	-	 < 0.01	1.00E00
cell-cell junction organization (GO:0045216)	41	0	.11	-	 < 0.01	1.00E00
establishment of spindle localization (GO:0051293)	17	0	.04	-	 < 0.01	1.00E00
sarcomere organization (GO:0045214)	15	0	.04	-	 < 0.01	1.00E00
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	12	0	.03	-	 < 0.01	1.00E00
apoptotic process (GO:0006915)	55	0	.14	-	 < 0.01	1.00E00
mRNA splicing, via spliceosome (GO:0000398)	92	0	.24	-	 < 0.01	1.00E00
nucleocytoplasmic transport (GO:0006913)	78	0	.20	-	 < 0.01	1.00E00
phagocytosis, engulfment (GO:0006911)	7	0	.02	-	 < 0.01	1.00E00
calcium ion transmembrane import into cytosol (GO:0097553)	28	0	.07	-	 < 0.01	1.00E00
carboxylic acid transmembrane transport (GO:1905039)	52	0	.14	-	 < 0.01	1.00E00
pyridine nucleotide metabolic process (GO:0019362)	30	0	.08	-	 < 0.01	1.00E00
protein N-linked glycosylation via asparagine (GO:0018279)	10	0	.03	-	 < 0.01	1.00E00
cellular response to organonitrogen compound (GO:0071417)	46	0	.12	-	 < 0.01	1.00E00
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	2	0	.01	-	 < 0.01	1.00E00
somatic diversification of immune receptors (GO:0002200)	2	0	.01	-	 < 0.01	1.00E00
response to fibroblast growth factor (GO:0071774)	24	0	.06	-	 < 0.01	1.00E00
lymphocyte proliferation (GO:0046651)	1	0	.00	-	 < 0.01	1.00E00
regulation of macrophage activation (GO:0043030)	1	0	.00	-	 < 0.01	1.00E00
cellular response to BMP stimulus (GO:0071773)	15	0	.04	-	 < 0.01	1.00E00
response to BMP (GO:0071772)	15	0	.04	-	 < 0.01	1.00E00
negative regulation of sequestering of calcium ion (GO:0051283)	21	0	.05	-	 < 0.01	1.00E00
triglyceride homeostasis (GO:0070328)	5	0	.01	-	 < 0.01	1.00E00
regulation of sequestering of calcium ion (GO:0051282)	25	0	.07	-	 < 0.01	1.00E00
phagocytosis (GO:0006909)	19	0	.05	-	 < 0.01	1.00E00
vesicle fusion (GO:0006906)	42	0	.11	-	 < 0.01	1.00E00
ribosomal large subunit assembly (GO:0000027)	8	0	.02	-	 < 0.01	1.00E00
spliceosomal snRNP assembly (GO:0000387)	14	0	.04	-	 < 0.01	1.00E00
vesicle targeting (GO:0006903)	8	0	.02	-	 < 0.01	1.00E00
vesicle budding from membrane (GO:0006900)	25	0	.07	-	 < 0.01	1.00E00
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	22	0	.06	-	 < 0.01	1.00E00
alternative mRNA splicing, via spliceosome (GO:0000380)	6	0	.02	-	 < 0.01	1.00E00
lymphocyte activation (GO:0046649)	15	0	.04	-	 < 0.01	1.00E00
cellular response to organic cyclic compound (GO:0071407)	23	0	.06	-	 < 0.01	1.00E00
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	4	0	.01	-	 < 0.01	1.00E00
chromosome organization (GO:0051276)	113	0	.29	-	 < 0.01	1.00E00
nuclear membrane organization (GO:0071763)	4	0	.01	-	 < 0.01	1.00E00
central nervous system neuron differentiation (GO:0021953)	5	0	.01	-	 < 0.01	1.00E00
dendrite morphogenesis (GO:0048813)	2	0	.01	-	 < 0.01	1.00E00
neuron projection morphogenesis (GO:0048812)	145	0	.38	-	 < 0.01	1.00E00
regulation of DNA recombination (GO:0000018)	6	0	.02	-	 < 0.01	1.00E00
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	92	0	.24	-	 < 0.01	1.00E00
RNA splicing, via transesterification reactions (GO:0000375)	92	0	.24	-	 < 0.01	1.00E00
granulocyte migration (GO:0097530)	3	0	.01	-	 < 0.01	1.00E00
anatomical structure homeostasis (GO:0060249)	4	0	.01	-	 < 0.01	1.00E00
camera-type eye development (GO:0043010)	24	0	.06	-	 < 0.01	1.00E00
telomere localization (GO:0034397)	1	0	.00	-	 < 0.01	1.00E00
protein depolymerization (GO:0051261)	23	0	.06	-	 < 0.01	1.00E00
myeloid leukocyte migration (GO:0097529)	3	0	.01	-	 < 0.01	1.00E00
regulation of leukocyte proliferation (GO:0070663)	5	0	.01	-	 < 0.01	1.00E00
synaptic vesicle exocytosis (GO:0016079)	21	0	.05	-	 < 0.01	1.00E00
reproduction (GO:0000003)	77	0	.20	-	 < 0.01	1.00E00
leukocyte proliferation (GO:0070661)	1	0	.00	-	 < 0.01	1.00E00
motile cilium assembly (GO:0044458)	4	0	.01	-	 < 0.01	1.00E00
mitochondrial genome maintenance (GO:0000002)	6	0	.02	-	 < 0.01	1.00E00
ribose phosphate metabolic process (GO:0019693)	79	0	.21	-	 < 0.01	1.00E00
snRNA metabolic process (GO:0016073)	26	0	.07	-	 < 0.01	1.00E00
rRNA metabolic process (GO:0016072)	90	0	.23	-	 < 0.01	1.00E00
centriole replication (GO:0007099)	9	0	.02	-	 < 0.01	1.00E00
mRNA metabolic process (GO:0016071)	163	0	.42	-	 < 0.01	1.00E00
centrosome cycle (GO:0007098)	18	0	.05	-	 < 0.01	1.00E00
RNA metabolic process (GO:0016070)	459	0	1.20	-	 < 0.01	6.32E-01
nuclear migration (GO:0007097)	10	0	.03	-	 < 0.01	1.00E00
negative regulation of double-strand break repair (GO:2000780)	5	0	.01	-	 < 0.01	1.00E00
chordate embryonic development (GO:0043009)	23	0	.06	-	 < 0.01	1.00E00
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	8	0	.02	-	 < 0.01	1.00E00
mitotic spindle assembly checkpoint signaling (GO:0007094)	9	0	.02	-	 < 0.01	1.00E00
regulation of mitotic spindle organization (GO:0060236)	2	0	.01	-	 < 0.01	1.00E00
mitotic cell cycle checkpoint signaling (GO:0007093)	25	0	.07	-	 < 0.01	1.00E00
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	2	0	.01	-	 < 0.01	1.00E00
protein polymerization (GO:0051258)	29	0	.08	-	 < 0.01	1.00E00
cell-cell adhesion (GO:0098609)	152	0	.40	-	 < 0.01	1.00E00
cellular response to starvation (GO:0009267)	24	0	.06	-	 < 0.01	1.00E00
Golgi to plasma membrane protein transport (GO:0043001)	7	0	.02	-	 < 0.01	1.00E00
response to temperature stimulus (GO:0009266)	12	0	.03	-	 < 0.01	1.00E00
regulation of exocytosis (GO:0017157)	26	0	.07	-	 < 0.01	1.00E00
negative regulation of RNA metabolic process (GO:0051253)	171	0	.45	-	 < 0.01	1.00E00
calcium-ion regulated exocytosis (GO:0017156)	16	0	.04	-	 < 0.01	1.00E00
ribonucleotide catabolic process (GO:0009261)	20	0	.05	-	 < 0.01	1.00E00
positive regulation of lymphocyte activation (GO:0051251)	5	0	.01	-	 < 0.01	1.00E00
purine nucleoside metabolic process (GO:0042278)	7	0	.02	-	 < 0.01	1.00E00
ribonucleotide biosynthetic process (GO:0009260)	36	0	.09	-	 < 0.01	1.00E00
negative regulation of lymphocyte activation (GO:0051250)	5	0	.01	-	 < 0.01	1.00E00
ribosomal small subunit biogenesis (GO:0042274)	44	0	.11	-	 < 0.01	1.00E00
ribosomal large subunit biogenesis (GO:0042273)	40	0	.10	-	 < 0.01	1.00E00
negative regulation of DNA-templated transcription (GO:0045892)	152	0	.40	-	 < 0.01	1.00E00
regulation of double-strand break repair (GO:2000779)	7	0	.02	-	 < 0.01	1.00E00
cardiac muscle cell action potential involved in contraction (GO:0086002)	5	0	.01	-	 < 0.01	1.00E00
cell-cell fusion (GO:0140253)	3	0	.01	-	 < 0.01	1.00E00
immunoglobulin mediated immune response (GO:0016064)	2	0	.01	-	 < 0.01	1.00E00
regulation of mitotic nuclear division (GO:0007088)	25	0	.07	-	 < 0.01	1.00E00
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	16	0	.04	-	 < 0.01	1.00E00
leukocyte differentiation (GO:0002521)	16	0	.04	-	 < 0.01	1.00E00
immune system development (GO:0002520)	5	0	.01	-	 < 0.01	1.00E00
forebrain development (GO:0030900)	11	0	.03	-	 < 0.01	1.00E00
ribonucleotide metabolic process (GO:0009259)	73	0	.19	-	 < 0.01	1.00E00
regulation of lymphocyte activation (GO:0051249)	10	0	.03	-	 < 0.01	1.00E00
mitotic metaphase chromosome alignment (GO:0007080)	5	0	.01	-	 < 0.01	1.00E00
negative regulation of protein metabolic process (GO:0051248)	88	0	.23	-	 < 0.01	1.00E00
positive regulation of protein metabolic process (GO:0051247)	134	0	.35	-	 < 0.01	1.00E00
regulation of protein metabolic process (GO:0051246)	270	0	.70	-	 < 0.01	1.00E00
negative regulation of translation (GO:0017148)	14	0	.04	-	 < 0.01	1.00E00
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	2	0	.01	-	 < 0.01	1.00E00
negative regulation of multicellular organismal process (GO:0051241)	33	0	.09	-	 < 0.01	1.00E00
positive regulation of TORC1 signaling (GO:1904263)	12	0	.03	-	 < 0.01	1.00E00
positive regulation of multicellular organismal process (GO:0051240)	70	0	.18	-	 < 0.01	1.00E00
negative regulation of TORC1 signaling (GO:1904262)	6	0	.02	-	 < 0.01	1.00E00
glucan biosynthetic process (GO:0009250)	2	0	.01	-	 < 0.01	1.00E00
protein modification by small protein removal (GO:0070646)	64	0	.17	-	 < 0.01	1.00E00
hexose biosynthetic process (GO:0019319)	8	0	.02	-	 < 0.01	1.00E00
hexose metabolic process (GO:0019318)	23	0	.06	-	 < 0.01	1.00E00
Wnt signaling pathway (GO:0016055)	57	0	.15	-	 < 0.01	1.00E00
organic acid catabolic process (GO:0016054)	68	0	.18	-	 < 0.01	1.00E00
mannosylation (GO:0097502)	8	0	.02	-	 < 0.01	1.00E00
organic acid biosynthetic process (GO:0016053)	55	0	.14	-	 < 0.01	1.00E00
regulation of lymphocyte migration (GO:2000401)	3	0	.01	-	 < 0.01	1.00E00
carbohydrate catabolic process (GO:0016052)	28	0	.07	-	 < 0.01	1.00E00
