PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(433)	(expected)	(over/under)	(fold Enrichment)	P-value
reproductive structure development (GO:0048608)	2	0	.07	-	 < 0.01	1.00E00
positive regulation of leukocyte activation (GO:0002696)	5	0	.18	-	 < 0.01	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of leukocyte activation (GO:0002695)	6	0	.22	-	 < 0.01	1.00E00
regulation of leukocyte activation (GO:0002694)	11	0	.40	-	 < 0.01	1.00E00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	6	0	.22	-	 < 0.01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	10	0	.36	-	 < 0.01	1.00E00
positive regulation of leukocyte chemotaxis (GO:0002690)	8	0	.29	-	 < 0.01	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	8	0	.29	-	 < 0.01	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	11	0	.40	-	 < 0.01	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	12	0	.44	-	 < 0.01	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	13	0	.47	-	 < 0.01	1.00E00
regulation of DNA metabolic process (GO:0051052)	34	0	1.24	-	 < 0.01	6.36E-01
aerobic respiration (GO:0009060)	28	0	1.02	-	 < 0.01	6.25E-01
intraciliary transport (GO:0042073)	18	0	.66	-	 < 0.01	1.00E00
rRNA modification (GO:0000154)	17	0	.62	-	 < 0.01	1.00E00
mitochondrial gene expression (GO:0140053)	25	0	.91	-	 < 0.01	1.00E00
protein O-linked mannosylation (GO:0035269)	5	0	.18	-	 < 0.01	1.00E00
protein mannosylation (GO:0035268)	8	0	.29	-	 < 0.01	1.00E00
positive regulation of leukocyte migration (GO:0002687)	12	0	.44	-	 < 0.01	1.00E00
positive regulation of immune system process (GO:0002684)	68	0	2.48	-	 < 0.01	1.81E-01
positive regulation of secretion (GO:0051047)	7	0	.25	-	 < 0.01	1.00E00
detoxification (GO:0098754)	6	0	.22	-	 < 0.01	1.00E00
late endosome to vacuole transport (GO:0045324)	27	0	.98	-	 < 0.01	6.25E-01
gliogenesis (GO:0042063)	16	0	.58	-	 < 0.01	1.00E00
leukocyte activation (GO:0045321)	18	0	.66	-	 < 0.01	1.00E00
wound healing (GO:0042060)	18	0	.66	-	 < 0.01	1.00E00
protein localization to lysosome (GO:0061462)	6	0	.22	-	 < 0.01	1.00E00
stress fiber assembly (GO:0043149)	5	0	.18	-	 < 0.01	1.00E00
regulation of double-strand break repair via homologous recombination (GO:0010569)	6	0	.22	-	 < 0.01	1.00E00
neuron projection extension (GO:1990138)	5	0	.18	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	.04	-	 < 0.01	1.00E00
reproductive system development (GO:0061458)	2	0	.07	-	 < 0.01	1.00E00
establishment of mitotic spindle orientation (GO:0000132)	9	0	.33	-	 < 0.01	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	17	0	.62	-	 < 0.01	1.00E00
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	0	.29	-	 < 0.01	1.00E00
phospholipid catabolic process (GO:0009395)	12	0	.44	-	 < 0.01	1.00E00
kinetochore organization (GO:0051383)	8	0	.29	-	 < 0.01	1.00E00
kinetochore assembly (GO:0051382)	6	0	.22	-	 < 0.01	1.00E00
regulation of neuron differentiation (GO:0045664)	9	0	.33	-	 < 0.01	1.00E00
vasculogenesis (GO:0001570)	4	0	.15	-	 < 0.01	1.00E00
RNA stabilization (GO:0043489)	14	0	.51	-	 < 0.01	1.00E00
establishment of protein localization to extracellular region (GO:0035592)	19	0	.69	-	 < 0.01	1.00E00
actin filament bundle assembly (GO:0051017)	21	0	.76	-	 < 0.01	1.00E00
toll-like receptor 4 signaling pathway (GO:0034142)	5	0	.18	-	 < 0.01	1.00E00
isoprenoid biosynthetic process (GO:0008299)	11	0	.40	-	 < 0.01	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	4	0	.15	-	 < 0.01	1.00E00
meiotic nuclear division (GO:0140013)	33	0	1.20	-	 < 0.01	6.33E-01
maturation of LSU-rRNA (GO:0000470)	17	0	.62	-	 < 0.01	1.00E00
snRNA processing (GO:0016180)	19	0	.69	-	 < 0.01	1.00E00
bone development (GO:0060348)	7	0	.25	-	 < 0.01	1.00E00
regulation of protein localization to membrane (GO:1905475)	10	0	.36	-	 < 0.01	1.00E00
regulation of cell growth (GO:0001558)	11	0	.40	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	.33	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	.36	-	 < 0.01	1.00E00
insulin receptor signaling pathway (GO:0008286)	7	0	.25	-	 < 0.01	1.00E00
negative regulation of sister chromatid segregation (GO:0033046)	9	0	.33	-	 < 0.01	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	7	0	.25	-	 < 0.01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	14	0	.51	-	 < 0.01	1.00E00
regulation of sister chromatid segregation (GO:0033045)	19	0	.69	-	 < 0.01	1.00E00
regulation of chromosome organization (GO:0033044)	30	0	1.09	-	 < 0.01	6.27E-01
cell population proliferation (GO:0008283)	7	0	.25	-	 < 0.01	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	11	0	.40	-	 < 0.01	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	17	0	.62	-	 < 0.01	1.00E00
triglyceride catabolic process (GO:0019433)	3	0	.11	-	 < 0.01	1.00E00
triglyceride biosynthetic process (GO:0019432)	10	0	.36	-	 < 0.01	1.00E00
maturation of 5.8S rRNA (GO:0000460)	15	0	.55	-	 < 0.01	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	4	0	.15	-	 < 0.01	1.00E00
type I interferon-mediated signaling pathway (GO:0060337)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	.07	-	 < 0.01	1.00E00
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	0	.58	-	 < 0.01	1.00E00
positive regulation of myeloid cell differentiation (GO:0045639)	4	0	.15	-	 < 0.01	1.00E00
regulation of myeloid cell differentiation (GO:0045637)	6	0	.22	-	 < 0.01	1.00E00
negative regulation of lyase activity (GO:0051350)	2	0	.07	-	 < 0.01	1.00E00
cell chemotaxis (GO:0060326)	16	0	.58	-	 < 0.01	1.00E00
regulation of phospholipase activity (GO:0010517)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of lyase activity (GO:0051349)	9	0	.33	-	 < 0.01	1.00E00
cilium or flagellum-dependent cell motility (GO:0001539)	14	0	.51	-	 < 0.01	1.00E00
tricarboxylic acid cycle (GO:0006099)	16	0	.58	-	 < 0.01	1.00E00
retina homeostasis (GO:0001895)	2	0	.07	-	 < 0.01	1.00E00
tissue homeostasis (GO:0001894)	4	0	.15	-	 < 0.01	1.00E00
snRNA 3'-end processing (GO:0034472)	17	0	.62	-	 < 0.01	1.00E00
amino acid import across plasma membrane (GO:0089718)	9	0	.33	-	 < 0.01	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	2	0	.07	-	 < 0.01	1.00E00
transforming growth factor beta receptor signaling pathway (GO:0007179)	20	0	.73	-	 < 0.01	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	31	0	1.13	-	 < 0.01	6.29E-01
positive regulation of autophagy (GO:0010508)	16	0	.58	-	 < 0.01	1.00E00
negative regulation of autophagy (GO:0010507)	9	0	.33	-	 < 0.01	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	14	0	.51	-	 < 0.01	1.00E00
regulation of autophagy (GO:0010506)	35	0	1.27	-	 < 0.01	6.39E-01
regulation of lyase activity (GO:0051339)	12	0	.44	-	 < 0.01	1.00E00
homotypic cell-cell adhesion (GO:0034109)	7	0	.25	-	 < 0.01	1.00E00
liver development (GO:0001889)	2	0	.07	-	 < 0.01	1.00E00
angiogenesis (GO:0001525)	32	0	1.17	-	 < 0.01	6.31E-01
regulation of tissue remodeling (GO:0034103)	3	0	.11	-	 < 0.01	1.00E00
retinoid metabolic process (GO:0001523)	5	0	.18	-	 < 0.01	1.00E00
regulation of autophagosome maturation (GO:1901096)	5	0	.18	-	 < 0.01	1.00E00
pseudouridine synthesis (GO:0001522)	11	0	.40	-	 < 0.01	1.00E00
negative regulation of cell adhesion (GO:0007162)	10	0	.36	-	 < 0.01	1.00E00
cell-matrix adhesion (GO:0007160)	30	0	1.09	-	 < 0.01	6.27E-01
response to peptide hormone (GO:0043434)	30	0	1.09	-	 < 0.01	6.27E-01
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	.29	-	 < 0.01	1.00E00
mitophagy (GO:0000423)	11	0	.40	-	 < 0.01	1.00E00
autophagy of mitochondrion (GO:0000422)	36	0	1.31	-	 < 0.01	6.42E-01
secretory granule organization (GO:0033363)	2	0	.07	-	 < 0.01	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	1	0	.04	-	 < 0.01	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	25	0	.91	-	 < 0.01	1.00E00
positive regulation of protein polymerization (GO:0032273)	13	0	.47	-	 < 0.01	1.00E00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	.18	-	 < 0.01	1.00E00
substrate adhesion-dependent cell spreading (GO:0034446)	13	0	.47	-	 < 0.01	1.00E00
ossification (GO:0001503)	13	0	.47	-	 < 0.01	1.00E00
metaphase chromosome alignment (GO:0051310)	9	0	.33	-	 < 0.01	1.00E00
skeletal system development (GO:0001501)	39	0	1.42	-	 < 0.01	4.03E-01
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	.11	-	 < 0.01	1.00E00
lipid oxidation (GO:0034440)	23	0	.84	-	 < 0.01	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	.07	-	 < 0.01	1.00E00
myeloid cell differentiation (GO:0030099)	10	0	.36	-	 < 0.01	1.00E00
muscle cell differentiation (GO:0042692)	40	0	1.46	-	 < 0.01	4.04E-01
phytosteroid metabolic process (GO:0016128)	1	0	.04	-	 < 0.01	1.00E00
secondary metabolic process (GO:0019748)	5	0	.18	-	 < 0.01	1.00E00
lymphocyte differentiation (GO:0030098)	10	0	.36	-	 < 0.01	1.00E00
hemopoiesis (GO:0030097)	27	0	.98	-	 < 0.01	6.25E-01
protein peptidyl-prolyl isomerization (GO:0000413)	14	0	.51	-	 < 0.01	1.00E00
sterol biosynthetic process (GO:0016126)	12	0	.44	-	 < 0.01	1.00E00
regulation of Notch signaling pathway (GO:0008593)	12	0	.44	-	 < 0.01	1.00E00
sterol metabolic process (GO:0016125)	21	0	.76	-	 < 0.01	1.00E00
cytosolic transport (GO:0016482)	35	0	1.27	-	 < 0.01	6.39E-01
male meiotic nuclear division (GO:0007140)	4	0	.15	-	 < 0.01	1.00E00
macromolecule glycosylation (GO:0043413)	88	0	3.20	-	 < 0.01	7.89E-02
response to radiation (GO:0009314)	30	0	1.09	-	 < 0.01	6.27E-01
establishment of chromosome localization (GO:0051303)	13	0	.47	-	 < 0.01	1.00E00
regulation of cell division (GO:0051302)	7	0	.25	-	 < 0.01	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	2	0	.07	-	 < 0.01	1.00E00
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	0	.11	-	 < 0.01	1.00E00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	.11	-	 < 0.01	1.00E00
carotenoid biosynthetic process (GO:0016117)	1	0	.04	-	 < 0.01	1.00E00
male gonad development (GO:0008584)	1	0	.04	-	 < 0.01	1.00E00
cholesterol efflux (GO:0033344)	8	0	.29	-	 < 0.01	1.00E00
terpenoid biosynthetic process (GO:0016114)	4	0	.15	-	 < 0.01	1.00E00
antimicrobial humoral response (GO:0019730)	1	0	.04	-	 < 0.01	1.00E00
mesoderm development (GO:0007498)	7	0	.25	-	 < 0.01	1.00E00
reciprocal meiotic recombination (GO:0007131)	20	0	.73	-	 < 0.01	1.00E00
regulation of MAP kinase activity (GO:0043405)	20	0	.73	-	 < 0.01	1.00E00
endoderm development (GO:0007492)	7	0	.25	-	 < 0.01	1.00E00
regulation of centrosome duplication (GO:0010824)	6	0	.22	-	 < 0.01	1.00E00
protein secretion (GO:0009306)	19	0	.69	-	 < 0.01	1.00E00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	.11	-	 < 0.01	1.00E00
regulation of mitochondrion organization (GO:0010821)	10	0	.36	-	 < 0.01	1.00E00
rRNA transcription (GO:0009303)	6	0	.22	-	 < 0.01	1.00E00
rRNA methylation (GO:0031167)	10	0	.36	-	 < 0.01	1.00E00
phagolysosome assembly (GO:0001845)	9	0	.33	-	 < 0.01	1.00E00
spindle localization (GO:0051653)	17	0	.62	-	 < 0.01	1.00E00
maintenance of location in cell (GO:0051651)	18	0	.66	-	 < 0.01	1.00E00
regulation of blood pressure (GO:0008217)	13	0	.47	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle (GO:0045930)	37	0	1.35	-	 < 0.01	6.45E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	.33	-	 < 0.01	1.00E00
insulin secretion (GO:0030073)	2	0	.07	-	 < 0.01	1.00E00
homologous chromosome pairing at meiosis (GO:0007129)	6	0	.22	-	 < 0.01	1.00E00
calcium-mediated signaling (GO:0019722)	30	0	1.09	-	 < 0.01	6.27E-01
peptide hormone secretion (GO:0030072)	3	0	.11	-	 < 0.01	1.00E00
diterpenoid metabolic process (GO:0016101)	5	0	.18	-	 < 0.01	1.00E00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	.58	-	 < 0.01	1.00E00
meiosis I (GO:0007127)	25	0	.91	-	 < 0.01	1.00E00
positive regulation of growth (GO:0045927)	4	0	.15	-	 < 0.01	1.00E00
centrosome localization (GO:0051642)	8	0	.29	-	 < 0.01	1.00E00
mitochondrial transcription (GO:0006390)	6	0	.22	-	 < 0.01	1.00E00
reticulophagy (GO:0061709)	8	0	.29	-	 < 0.01	1.00E00
cholesterol metabolic process (GO:0008203)	15	0	.55	-	 < 0.01	1.00E00
cell cycle G2/M phase transition (GO:0044839)	3	0	.11	-	 < 0.01	1.00E00
steroid metabolic process (GO:0008202)	27	0	.98	-	 < 0.01	6.25E-01
positive regulation of actin filament bundle assembly (GO:0032233)	7	0	.25	-	 < 0.01	1.00E00
regulation of actin filament bundle assembly (GO:0032231)	10	0	.36	-	 < 0.01	1.00E00
left/right pattern formation (GO:0060972)	2	0	.07	-	 < 0.01	1.00E00
glucose transmembrane transport (GO:1904659)	7	0	.25	-	 < 0.01	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	8	0	.29	-	 < 0.01	1.00E00
adenosine to inosine editing (GO:0006382)	4	0	.15	-	 < 0.01	1.00E00
negative regulation of DNA recombination (GO:0045910)	5	0	.18	-	 < 0.01	1.00E00
mitotic DNA replication checkpoint signaling (GO:0033314)	3	0	.11	-	 < 0.01	1.00E00
somatic cell DNA recombination (GO:0016444)	2	0	.07	-	 < 0.01	1.00E00
regulation of organelle assembly (GO:1902115)	21	0	.76	-	 < 0.01	1.00E00
mRNA polyadenylation (GO:0006378)	5	0	.18	-	 < 0.01	1.00E00
response to toxic substance (GO:0009636)	8	0	.29	-	 < 0.01	1.00E00
cytokine production (GO:0001816)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of chromosome segregation (GO:0051985)	9	0	.33	-	 < 0.01	1.00E00
iron ion transmembrane transport (GO:0034755)	5	0	.18	-	 < 0.01	1.00E00
regulation of chromosome segregation (GO:0051983)	21	0	.76	-	 < 0.01	1.00E00
DNA double-strand break processing (GO:0000729)	4	0	.15	-	 < 0.01	1.00E00
double-strand break repair via break-induced replication (GO:0000727)	9	0	.33	-	 < 0.01	1.00E00
actin filament-based movement (GO:0030048)	16	0	.58	-	 < 0.01	1.00E00
epidermis development (GO:0008544)	4	0	.15	-	 < 0.01	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	12	0	.44	-	 < 0.01	1.00E00
actin filament depolymerization (GO:0030042)	8	0	.29	-	 < 0.01	1.00E00
actin filament polymerization (GO:0030041)	10	0	.36	-	 < 0.01	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	.33	-	 < 0.01	1.00E00
response to abiotic stimulus (GO:0009628)	72	0	2.62	-	 < 0.01	1.15E-01
cell-cell recognition (GO:0009988)	1	0	.04	-	 < 0.01	1.00E00
mRNA 3'-end processing (GO:0031124)	16	0	.58	-	 < 0.01	1.00E00
RNA 3'-end processing (GO:0031123)	40	0	1.46	-	 < 0.01	4.04E-01
transcription elongation by RNA polymerase I (GO:0006362)	2	0	.07	-	 < 0.01	1.00E00
cytoplasmic microtubule organization (GO:0031122)	21	0	.76	-	 < 0.01	1.00E00
transcription by RNA polymerase I (GO:0006360)	10	0	.36	-	 < 0.01	1.00E00
lipid homeostasis (GO:0055088)	25	0	.91	-	 < 0.01	1.00E00
cholesterol homeostasis (GO:0042632)	8	0	.29	-	 < 0.01	1.00E00
contractile actin filament bundle assembly (GO:0030038)	5	0	.18	-	 < 0.01	1.00E00
respiratory chain complex IV assembly (GO:0008535)	1	0	.04	-	 < 0.01	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	11	0	.40	-	 < 0.01	1.00E00
regulation of postsynapse organization (GO:0099175)	9	0	.33	-	 < 0.01	1.00E00
postsynapse organization (GO:0099173)	6	0	.22	-	 < 0.01	1.00E00
homologous recombination (GO:0035825)	20	0	.73	-	 < 0.01	1.00E00
regulation of telomere maintenance (GO:0032204)	6	0	.22	-	 < 0.01	1.00E00
quaternary ammonium group transport (GO:0015697)	5	0	.18	-	 < 0.01	1.00E00
organic cation transport (GO:0015695)	6	0	.22	-	 < 0.01	1.00E00
defense response to virus (GO:0051607)	4	0	.15	-	 < 0.01	1.00E00
response to bacterium (GO:0009617)	16	0	.58	-	 < 0.01	1.00E00
detection of stimulus (GO:0051606)	24	0	.87	-	 < 0.01	1.00E00
response to virus (GO:0009615)	4	0	.15	-	 < 0.01	1.00E00
regulation of synaptic transmission, glutamatergic (GO:0051966)	13	0	.47	-	 < 0.01	1.00E00
regulation of transcription by RNA polymerase I (GO:0006356)	4	0	.15	-	 < 0.01	1.00E00
positive regulation of synapse assembly (GO:0051965)	9	0	.33	-	 < 0.01	1.00E00
response to mechanical stimulus (GO:0009612)	9	0	.33	-	 < 0.01	1.00E00
response to wounding (GO:0009611)	24	0	.87	-	 < 0.01	1.00E00
regulation of body fluid levels (GO:0050878)	14	0	.51	-	 < 0.01	1.00E00
regulation of apoptotic process (GO:0042981)	93	0	3.39	-	 < 0.01	5.12E-02
positive regulation of secretion by cell (GO:1903532)	7	0	.25	-	 < 0.01	1.00E00
positive regulation of T cell activation (GO:0050870)	3	0	.11	-	 < 0.01	1.00E00
regulation of muscle system process (GO:0090257)	11	0	.40	-	 < 0.01	1.00E00
piecemeal microautophagy of the nucleus (GO:0034727)	16	0	.58	-	 < 0.01	1.00E00
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of T cell activation (GO:0050868)	4	0	.15	-	 < 0.01	1.00E00
positive regulation of cell activation (GO:0050867)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of cell activation (GO:0050866)	6	0	.22	-	 < 0.01	1.00E00
regulation of cell activation (GO:0050865)	13	0	.47	-	 < 0.01	1.00E00
regulation of T cell activation (GO:0050863)	6	0	.22	-	 < 0.01	1.00E00
response to lipid (GO:0033993)	34	0	1.24	-	 < 0.01	6.36E-01
establishment of cell polarity (GO:0030010)	22	0	.80	-	 < 0.01	1.00E00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	.22	-	 < 0.01	1.00E00
peripheral nervous system development (GO:0007422)	2	0	.07	-	 < 0.01	1.00E00
mitochondrial translation (GO:0032543)	12	0	.44	-	 < 0.01	1.00E00
mRNA stabilization (GO:0048255)	13	0	.47	-	 < 0.01	1.00E00
cholesterol biosynthetic process (GO:0006695)	7	0	.25	-	 < 0.01	1.00E00
dorsal/ventral pattern formation (GO:0009953)	7	0	.25	-	 < 0.01	1.00E00
steroid biosynthetic process (GO:0006694)	15	0	.55	-	 < 0.01	1.00E00
anterior/posterior pattern specification (GO:0009952)	38	0	1.38	-	 < 0.01	4.03E-01
regulation of systemic arterial blood pressure (GO:0003073)	9	0	.33	-	 < 0.01	1.00E00
prostaglandin metabolic process (GO:0006693)	5	0	.18	-	 < 0.01	1.00E00
regulation of vasculature development (GO:1901342)	21	0	.76	-	 < 0.01	1.00E00
icosanoid metabolic process (GO:0006690)	10	0	.36	-	 < 0.01	1.00E00
regulation of cell adhesion mediated by integrin (GO:0033628)	5	0	.18	-	 < 0.01	1.00E00
cell adhesion mediated by integrin (GO:0033627)	21	0	.76	-	 < 0.01	1.00E00
B cell receptor signaling pathway (GO:0050853)	9	0	.33	-	 < 0.01	1.00E00
T cell receptor signaling pathway (GO:0050852)	17	0	.62	-	 < 0.01	1.00E00
antigen receptor-mediated signaling pathway (GO:0050851)	22	0	.80	-	 < 0.01	1.00E00
lytic vacuole organization (GO:0080171)	14	0	.51	-	 < 0.01	1.00E00
synapse assembly (GO:0007416)	23	0	.84	-	 < 0.01	1.00E00
macrophage chemotaxis (GO:0048246)	1	0	.04	-	 < 0.01	1.00E00
sensory organ morphogenesis (GO:0090596)	8	0	.29	-	 < 0.01	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	11	0	.40	-	 < 0.01	1.00E00
sperm capacitation (GO:0048240)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of establishment of protein localization (GO:1904951)	6	0	.22	-	 < 0.01	1.00E00
liposaccharide metabolic process (GO:1903509)	37	0	1.35	-	 < 0.01	6.45E-01
membrane protein proteolysis (GO:0033619)	14	0	.51	-	 < 0.01	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	.04	-	 < 0.01	1.00E00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	.11	-	 < 0.01	1.00E00
protein localization to cell junction (GO:1902414)	17	0	.62	-	 < 0.01	1.00E00
embryonic morphogenesis (GO:0048598)	40	0	1.46	-	 < 0.01	4.04E-01
mitotic cytokinetic process (GO:1902410)	2	0	.07	-	 < 0.01	1.00E00
male gamete generation (GO:0048232)	18	0	.66	-	 < 0.01	1.00E00
camera-type eye morphogenesis (GO:0048593)	4	0	.15	-	 < 0.01	1.00E00
eye morphogenesis (GO:0048592)	6	0	.22	-	 < 0.01	1.00E00
ceramide metabolic process (GO:0006672)	37	0	1.35	-	 < 0.01	6.45E-01
developmental growth (GO:0048589)	7	0	.25	-	 < 0.01	1.00E00
developmental cell growth (GO:0048588)	5	0	.18	-	 < 0.01	1.00E00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	0	.69	-	 < 0.01	1.00E00
DNA catabolic process (GO:0006308)	4	0	.15	-	 < 0.01	1.00E00
glycosylation (GO:0070085)	100	0	3.64	-	 < 0.01	5.34E-02
sphingolipid metabolic process (GO:0006665)	53	0	1.93	-	 < 0.01	2.66E-01
glycolipid metabolic process (GO:0006664)	36	0	1.31	-	 < 0.01	6.42E-01
postreplication repair (GO:0006301)	14	0	.51	-	 < 0.01	1.00E00
dipeptide transport (GO:0042938)	2	0	.07	-	 < 0.01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of cell migration (GO:0030335)	48	0	1.75	-	 < 0.01	4.22E-01
protein stabilization (GO:0050821)	12	0	.44	-	 < 0.01	1.00E00
endosome transport via multivesicular body sorting pathway (GO:0032509)	24	0	.87	-	 < 0.01	1.00E00
cellular response to insulin stimulus (GO:0032869)	16	0	.58	-	 < 0.01	1.00E00
response to insulin (GO:0032868)	18	0	.66	-	 < 0.01	1.00E00
IMP metabolic process (GO:0046040)	9	0	.33	-	 < 0.01	1.00E00
multicellular organism reproduction (GO:0032504)	29	0	1.06	-	 < 0.01	6.26E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	0	.58	-	 < 0.01	1.00E00
hormone transport (GO:0009914)	3	0	.11	-	 < 0.01	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	.07	-	 < 0.01	1.00E00
epidermal cell differentiation (GO:0009913)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of coagulation (GO:0050819)	5	0	.18	-	 < 0.01	1.00E00
regulation of coagulation (GO:0050818)	7	0	.25	-	 < 0.01	1.00E00
coagulation (GO:0050817)	9	0	.33	-	 < 0.01	1.00E00
regulation of cellular response to stress (GO:0080135)	30	0	1.09	-	 < 0.01	6.27E-01
ribose phosphate biosynthetic process (GO:0046390)	39	0	1.42	-	 < 0.01	4.03E-01
embryonic organ development (GO:0048568)	28	0	1.02	-	 < 0.01	6.25E-01
membrane lipid metabolic process (GO:0006643)	73	0	2.66	-	 < 0.01	1.16E-01
triglyceride metabolic process (GO:0006641)	16	0	.58	-	 < 0.01	1.00E00
cellular response to peptide (GO:1901653)	25	0	.91	-	 < 0.01	1.00E00
establishment of protein localization to endoplasmic reticulum (GO:0072599)	12	0	.44	-	 < 0.01	1.00E00
response to peptide (GO:1901652)	30	0	1.09	-	 < 0.01	6.27E-01
cardiac muscle cell differentiation (GO:0055007)	7	0	.25	-	 < 0.01	1.00E00
regulation of synapse organization (GO:0050807)	18	0	.66	-	 < 0.01	1.00E00
positive regulation of protein localization (GO:1903829)	12	0	.44	-	 < 0.01	1.00E00
melanocyte differentiation (GO:0030318)	1	0	.04	-	 < 0.01	1.00E00
flagellated sperm motility (GO:0030317)	1	0	.04	-	 < 0.01	1.00E00
striated muscle cell development (GO:0055002)	25	0	.91	-	 < 0.01	1.00E00
regulation of synapse structure or activity (GO:0050803)	19	0	.69	-	 < 0.01	1.00E00
osteoclast differentiation (GO:0030316)	4	0	.15	-	 < 0.01	1.00E00
muscle cell development (GO:0055001)	34	0	1.24	-	 < 0.01	6.36E-01
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	0	.11	-	 < 0.01	1.00E00
acylglycerol metabolic process (GO:0006639)	22	0	.80	-	 < 0.01	1.00E00
neutral lipid metabolic process (GO:0006638)	22	0	.80	-	 < 0.01	1.00E00
acyl-CoA metabolic process (GO:0006637)	17	0	.62	-	 < 0.01	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	6	0	.22	-	 < 0.01	1.00E00
fatty acid beta-oxidation (GO:0006635)	21	0	.76	-	 < 0.01	1.00E00
heart process (GO:0003015)	20	0	.73	-	 < 0.01	1.00E00
muscle system process (GO:0003012)	32	0	1.17	-	 < 0.01	6.31E-01
chaperone-mediated protein folding (GO:0061077)	12	0	.44	-	 < 0.01	1.00E00
ERBB signaling pathway (GO:0038127)	15	0	.55	-	 < 0.01	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	23	0	.84	-	 < 0.01	1.00E00
