PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(276)	(expected)	(over/under)	(fold Enrichment)	P-value
transforming growth factor beta receptor signaling pathway (GO:0007179)	20	0	.46	-	 < 0.01	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	31	0	.72	-	 < 0.01	1.00E00
negative regulation of autophagy (GO:0010507)	9	0	.21	-	 < 0.01	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	14	0	.32	-	 < 0.01	1.00E00
regulation of lyase activity (GO:0051339)	12	0	.28	-	 < 0.01	1.00E00
homotypic cell-cell adhesion (GO:0034109)	7	0	.16	-	 < 0.01	1.00E00
liver development (GO:0001889)	2	0	.05	-	 < 0.01	1.00E00
angiogenesis (GO:0001525)	32	0	.74	-	 < 0.01	1.00E00
retinoid metabolic process (GO:0001523)	5	0	.12	-	 < 0.01	1.00E00
regulation of autophagosome maturation (GO:1901096)	5	0	.12	-	 < 0.01	1.00E00
pseudouridine synthesis (GO:0001522)	11	0	.26	-	 < 0.01	1.00E00
tetrapyrrole metabolic process (GO:0033013)	12	0	.28	-	 < 0.01	1.00E00
establishment or maintenance of cell polarity (GO:0007163)	50	0	1.16	-	 < 0.01	6.32E-01
negative regulation of cell adhesion (GO:0007162)	10	0	.23	-	 < 0.01	1.00E00
cell-matrix adhesion (GO:0007160)	30	0	.70	-	 < 0.01	1.00E00
response to peptide hormone (GO:0043434)	30	0	.70	-	 < 0.01	1.00E00
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	.19	-	 < 0.01	1.00E00
glycerol-3-phosphate metabolic process (GO:0006072)	5	0	.12	-	 < 0.01	1.00E00
RNA methylation (GO:0001510)	39	0	.91	-	 < 0.01	1.00E00
mitophagy (GO:0000423)	11	0	.26	-	 < 0.01	1.00E00
secretory granule organization (GO:0033363)	2	0	.05	-	 < 0.01	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	1	0	.02	-	 < 0.01	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	25	0	.58	-	 < 0.01	1.00E00
negative regulation of protein polymerization (GO:0032272)	22	0	.51	-	 < 0.01	1.00E00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	.12	-	 < 0.01	1.00E00
alcohol metabolic process (GO:0006066)	56	0	1.30	-	 < 0.01	6.42E-01
substrate adhesion-dependent cell spreading (GO:0034446)	13	0	.30	-	 < 0.01	1.00E00
ossification (GO:0001503)	13	0	.30	-	 < 0.01	1.00E00
metaphase chromosome alignment (GO:0051310)	9	0	.21	-	 < 0.01	1.00E00
skeletal system development (GO:0001501)	39	0	.91	-	 < 0.01	1.00E00
protein localization to cell periphery (GO:1990778)	52	0	1.21	-	 < 0.01	6.35E-01
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	.07	-	 < 0.01	1.00E00
lipid oxidation (GO:0034440)	23	0	.53	-	 < 0.01	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	.05	-	 < 0.01	1.00E00
myeloid cell differentiation (GO:0030099)	10	0	.23	-	 < 0.01	1.00E00
taxis (GO:0042330)	35	0	.81	-	 < 0.01	1.00E00
phytosteroid metabolic process (GO:0016128)	1	0	.02	-	 < 0.01	1.00E00
secondary metabolic process (GO:0019748)	5	0	.12	-	 < 0.01	1.00E00
lymphocyte differentiation (GO:0030098)	10	0	.23	-	 < 0.01	1.00E00
hemopoiesis (GO:0030097)	27	0	.63	-	 < 0.01	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	14	0	.32	-	 < 0.01	1.00E00
sterol biosynthetic process (GO:0016126)	12	0	.28	-	 < 0.01	1.00E00
sterol metabolic process (GO:0016125)	21	0	.49	-	 < 0.01	1.00E00
cytosolic transport (GO:0016482)	35	0	.81	-	 < 0.01	1.00E00
male meiotic nuclear division (GO:0007140)	4	0	.09	-	 < 0.01	1.00E00
macromolecule methylation (GO:0043414)	53	0	1.23	-	 < 0.01	6.37E-01
mitotic sister chromatid separation (GO:0051306)	1	0	.02	-	 < 0.01	1.00E00
positive regulation of MAPK cascade (GO:0043410)	68	0	1.58	-	 < 0.01	4.11E-01
chromosome separation (GO:0051304)	3	0	.07	-	 < 0.01	1.00E00
response to radiation (GO:0009314)	30	0	.70	-	 < 0.01	1.00E00
establishment of chromosome localization (GO:0051303)	13	0	.30	-	 < 0.01	1.00E00
regulation of cell division (GO:0051302)	7	0	.16	-	 < 0.01	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	2	0	.05	-	 < 0.01	1.00E00
cell division (GO:0051301)	37	0	.86	-	 < 0.01	1.00E00
negative regulation of phosphorylation (GO:0042326)	33	0	.77	-	 < 0.01	1.00E00
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	0	.07	-	 < 0.01	1.00E00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	.07	-	 < 0.01	1.00E00
carotenoid biosynthetic process (GO:0016117)	1	0	.02	-	 < 0.01	1.00E00
male gonad development (GO:0008584)	1	0	.02	-	 < 0.01	1.00E00
cholesterol efflux (GO:0033344)	8	0	.19	-	 < 0.01	1.00E00
terpenoid biosynthetic process (GO:0016114)	4	0	.09	-	 < 0.01	1.00E00
antimicrobial humoral response (GO:0019730)	1	0	.02	-	 < 0.01	1.00E00
methylation (GO:0032259)	53	0	1.23	-	 < 0.01	6.37E-01
mesoderm development (GO:0007498)	7	0	.16	-	 < 0.01	1.00E00
negative regulation of MAPK cascade (GO:0043409)	24	0	.56	-	 < 0.01	1.00E00
regulation of MAPK cascade (GO:0043408)	114	0	2.65	-	 < 0.01	1.17E-01
regulation of MAP kinase activity (GO:0043405)	20	0	.46	-	 < 0.01	1.00E00
endoderm development (GO:0007492)	7	0	.16	-	 < 0.01	1.00E00
amine metabolic process (GO:0009308)	18	0	.42	-	 < 0.01	1.00E00
regulation of centrosome duplication (GO:0010824)	6	0	.14	-	 < 0.01	1.00E00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	.07	-	 < 0.01	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	0	.12	-	 < 0.01	1.00E00
regulation of mitochondrion organization (GO:0010821)	10	0	.23	-	 < 0.01	1.00E00
establishment of organelle localization (GO:0051656)	85	0	1.97	-	 < 0.01	2.70E-01
rRNA transcription (GO:0009303)	6	0	.14	-	 < 0.01	1.00E00
rRNA methylation (GO:0031167)	10	0	.23	-	 < 0.01	1.00E00
spindle localization (GO:0051653)	17	0	.39	-	 < 0.01	1.00E00
negative regulation of phosphate metabolic process (GO:0045936)	37	0	.86	-	 < 0.01	1.00E00
maintenance of location in cell (GO:0051651)	18	0	.42	-	 < 0.01	1.00E00
establishment of vesicle localization (GO:0051650)	34	0	.79	-	 < 0.01	1.00E00
amino sugar metabolic process (GO:0006040)	14	0	.32	-	 < 0.01	1.00E00
regulation of blood pressure (GO:0008217)	13	0	.30	-	 < 0.01	1.00E00
positive regulation of mitotic cell cycle (GO:0045931)	15	0	.35	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	.21	-	 < 0.01	1.00E00
insulin secretion (GO:0030073)	2	0	.05	-	 < 0.01	1.00E00
homologous chromosome pairing at meiosis (GO:0007129)	6	0	.14	-	 < 0.01	1.00E00
calcium-mediated signaling (GO:0019722)	30	0	.70	-	 < 0.01	1.00E00
peptide hormone secretion (GO:0030072)	3	0	.07	-	 < 0.01	1.00E00
diterpenoid metabolic process (GO:0016101)	5	0	.12	-	 < 0.01	1.00E00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	.37	-	 < 0.01	1.00E00
cell cycle G1/S phase transition (GO:0044843)	18	0	.42	-	 < 0.01	1.00E00
regulation of hormone levels (GO:0010817)	24	0	.56	-	 < 0.01	1.00E00
vesicle localization (GO:0051648)	35	0	.81	-	 < 0.01	1.00E00
positive regulation of cell-substrate adhesion (GO:0010811)	11	0	.26	-	 < 0.01	1.00E00
regulation of cell-substrate adhesion (GO:0010810)	13	0	.30	-	 < 0.01	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	5	0	.12	-	 < 0.01	1.00E00
positive regulation of growth (GO:0045927)	4	0	.09	-	 < 0.01	1.00E00
centrosome localization (GO:0051642)	8	0	.19	-	 < 0.01	1.00E00
mitochondrial transcription (GO:0006390)	6	0	.14	-	 < 0.01	1.00E00
cholesterol metabolic process (GO:0008203)	15	0	.35	-	 < 0.01	1.00E00
cell cycle G2/M phase transition (GO:0044839)	3	0	.07	-	 < 0.01	1.00E00
steroid metabolic process (GO:0008202)	27	0	.63	-	 < 0.01	1.00E00
proteoglycan metabolic process (GO:0006029)	29	0	.67	-	 < 0.01	1.00E00
left/right pattern formation (GO:0060972)	2	0	.05	-	 < 0.01	1.00E00
glucose transmembrane transport (GO:1904659)	7	0	.16	-	 < 0.01	1.00E00
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	0	.09	-	 < 0.01	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	14	0	.32	-	 < 0.01	1.00E00
aminoglycan biosynthetic process (GO:0006023)	18	0	.42	-	 < 0.01	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	8	0	.19	-	 < 0.01	1.00E00
aminoglycan metabolic process (GO:0006022)	25	0	.58	-	 < 0.01	1.00E00
kidney development (GO:0001822)	8	0	.19	-	 < 0.01	1.00E00
transcription by RNA polymerase III (GO:0006383)	14	0	.32	-	 < 0.01	1.00E00
adenosine to inosine editing (GO:0006382)	4	0	.09	-	 < 0.01	1.00E00
negative regulation of DNA recombination (GO:0045910)	5	0	.12	-	 < 0.01	1.00E00
mitotic DNA replication checkpoint signaling (GO:0033314)	3	0	.07	-	 < 0.01	1.00E00
DNA synthesis involved in DNA repair (GO:0000731)	13	0	.30	-	 < 0.01	1.00E00
somatic cell DNA recombination (GO:0016444)	2	0	.05	-	 < 0.01	1.00E00
regulation of organelle assembly (GO:1902115)	21	0	.49	-	 < 0.01	1.00E00
positive regulation of cytokine production (GO:0001819)	9	0	.21	-	 < 0.01	1.00E00
regulation of cytokine production (GO:0001817)	23	0	.53	-	 < 0.01	1.00E00
mRNA polyadenylation (GO:0006378)	5	0	.12	-	 < 0.01	1.00E00
response to toxic substance (GO:0009636)	8	0	.19	-	 < 0.01	1.00E00
cytokine production (GO:0001816)	5	0	.12	-	 < 0.01	1.00E00
negative regulation of chromosome segregation (GO:0051985)	9	0	.21	-	 < 0.01	1.00E00
iron ion transmembrane transport (GO:0034755)	5	0	.12	-	 < 0.01	1.00E00
regulation of chromosome segregation (GO:0051983)	21	0	.49	-	 < 0.01	1.00E00
DNA double-strand break processing (GO:0000729)	4	0	.09	-	 < 0.01	1.00E00
double-strand break repair via break-induced replication (GO:0000727)	9	0	.21	-	 < 0.01	1.00E00
actin filament-based movement (GO:0030048)	16	0	.37	-	 < 0.01	1.00E00
epidermis development (GO:0008544)	4	0	.09	-	 < 0.01	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	12	0	.28	-	 < 0.01	1.00E00
fibroblast growth factor receptor signaling pathway (GO:0008543)	24	0	.56	-	 < 0.01	1.00E00
actin filament depolymerization (GO:0030042)	8	0	.19	-	 < 0.01	1.00E00
actin filament polymerization (GO:0030041)	10	0	.23	-	 < 0.01	1.00E00
regulation of peptide hormone secretion (GO:0090276)	5	0	.12	-	 < 0.01	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	.21	-	 < 0.01	1.00E00
response to abiotic stimulus (GO:0009628)	72	0	1.67	-	 < 0.01	4.17E-01
glucose metabolic process (GO:0006006)	17	0	.39	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase II (GO:0006368)	9	0	.21	-	 < 0.01	1.00E00
cell-cell recognition (GO:0009988)	1	0	.02	-	 < 0.01	1.00E00
transcription initiation at RNA polymerase II promoter (GO:0006367)	22	0	.51	-	 < 0.01	1.00E00
regulation of potassium ion transmembrane transport (GO:1901379)	14	0	.32	-	 < 0.01	1.00E00
transcription by RNA polymerase II (GO:0006366)	49	0	1.14	-	 < 0.01	6.31E-01
mRNA 3'-end processing (GO:0031124)	16	0	.37	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase I (GO:0006362)	2	0	.05	-	 < 0.01	1.00E00
transcription by RNA polymerase I (GO:0006360)	10	0	.23	-	 < 0.01	1.00E00
lipid homeostasis (GO:0055088)	25	0	.58	-	 < 0.01	1.00E00
cholesterol homeostasis (GO:0042632)	8	0	.19	-	 < 0.01	1.00E00
respiratory chain complex IV assembly (GO:0008535)	1	0	.02	-	 < 0.01	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	11	0	.26	-	 < 0.01	1.00E00
intracellular chemical homeostasis (GO:0055082)	117	0	2.72	-	 < 0.01	1.18E-01
regulation of postsynapse organization (GO:0099175)	9	0	.21	-	 < 0.01	1.00E00
postsynapse organization (GO:0099173)	6	0	.14	-	 < 0.01	1.00E00
quaternary ammonium group transport (GO:0015697)	5	0	.12	-	 < 0.01	1.00E00
organic cation transport (GO:0015695)	6	0	.14	-	 < 0.01	1.00E00
defense response to virus (GO:0051607)	4	0	.09	-	 < 0.01	1.00E00
response to bacterium (GO:0009617)	16	0	.37	-	 < 0.01	1.00E00
detection of stimulus (GO:0051606)	24	0	.56	-	 < 0.01	1.00E00
response to virus (GO:0009615)	4	0	.09	-	 < 0.01	1.00E00
regulation of synaptic transmission, glutamatergic (GO:0051966)	13	0	.30	-	 < 0.01	1.00E00
regulation of transcription by RNA polymerase I (GO:0006356)	4	0	.09	-	 < 0.01	1.00E00
positive regulation of synapse assembly (GO:0051965)	9	0	.21	-	 < 0.01	1.00E00
DNA-templated transcription elongation (GO:0006354)	11	0	.26	-	 < 0.01	1.00E00
response to mechanical stimulus (GO:0009612)	9	0	.21	-	 < 0.01	1.00E00
DNA-templated transcription initiation (GO:0006352)	33	0	.77	-	 < 0.01	1.00E00
DNA-templated transcription (GO:0006351)	80	0	1.86	-	 < 0.01	2.67E-01
sodium ion homeostasis (GO:0055078)	11	0	.26	-	 < 0.01	1.00E00
nervous system process (GO:0050877)	61	0	1.42	-	 < 0.01	4.06E-01
positive regulation of secretion by cell (GO:1903532)	7	0	.16	-	 < 0.01	1.00E00
positive regulation of T cell activation (GO:0050870)	3	0	.07	-	 < 0.01	1.00E00
regulation of secretion by cell (GO:1903530)	42	0	.97	-	 < 0.01	6.27E-01
regulation of muscle system process (GO:0090257)	11	0	.26	-	 < 0.01	1.00E00
nucleosome organization (GO:0034728)	11	0	.26	-	 < 0.01	1.00E00
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	.05	-	 < 0.01	1.00E00
negative regulation of T cell activation (GO:0050868)	4	0	.09	-	 < 0.01	1.00E00
negative regulation of cell activation (GO:0050866)	6	0	.14	-	 < 0.01	1.00E00
regulation of T cell activation (GO:0050863)	6	0	.14	-	 < 0.01	1.00E00
response to lipid (GO:0033993)	34	0	.79	-	 < 0.01	1.00E00
adenosine metabolic process (GO:0046085)	4	0	.09	-	 < 0.01	1.00E00
establishment of cell polarity (GO:0030010)	22	0	.51	-	 < 0.01	1.00E00
sensory organ development (GO:0007423)	46	0	1.07	-	 < 0.01	6.28E-01
peripheral nervous system development (GO:0007422)	2	0	.05	-	 < 0.01	1.00E00
brain development (GO:0007420)	44	0	1.02	-	 < 0.01	6.27E-01
mitochondrial translation (GO:0032543)	12	0	.28	-	 < 0.01	1.00E00
mRNA stabilization (GO:0048255)	13	0	.30	-	 < 0.01	1.00E00
nucleosome assembly (GO:0006334)	9	0	.21	-	 < 0.01	1.00E00
cholesterol biosynthetic process (GO:0006695)	7	0	.16	-	 < 0.01	1.00E00
dorsal/ventral pattern formation (GO:0009953)	7	0	.16	-	 < 0.01	1.00E00
steroid biosynthetic process (GO:0006694)	15	0	.35	-	 < 0.01	1.00E00
anterior/posterior pattern specification (GO:0009952)	38	0	.88	-	 < 0.01	1.00E00
regulation of systemic arterial blood pressure (GO:0003073)	9	0	.21	-	 < 0.01	1.00E00
prostaglandin metabolic process (GO:0006693)	5	0	.12	-	 < 0.01	1.00E00
icosanoid metabolic process (GO:0006690)	10	0	.23	-	 < 0.01	1.00E00
regulation of cell adhesion mediated by integrin (GO:0033628)	5	0	.12	-	 < 0.01	1.00E00
cell adhesion mediated by integrin (GO:0033627)	21	0	.49	-	 < 0.01	1.00E00
B cell receptor signaling pathway (GO:0050853)	9	0	.21	-	 < 0.01	1.00E00
T cell receptor signaling pathway (GO:0050852)	17	0	.39	-	 < 0.01	1.00E00
intracellular monoatomic cation homeostasis (GO:0030003)	106	0	2.46	-	 < 0.01	1.82E-01
antigen receptor-mediated signaling pathway (GO:0050851)	22	0	.51	-	 < 0.01	1.00E00
central nervous system development (GO:0007417)	76	0	1.76	-	 < 0.01	4.26E-01
synapse assembly (GO:0007416)	23	0	.53	-	 < 0.01	1.00E00
macrophage chemotaxis (GO:0048246)	1	0	.02	-	 < 0.01	1.00E00
sensory organ morphogenesis (GO:0090596)	8	0	.19	-	 < 0.01	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	11	0	.26	-	 < 0.01	1.00E00
sperm capacitation (GO:0048240)	1	0	.02	-	 < 0.01	1.00E00
positive regulation of establishment of protein localization (GO:1904951)	6	0	.14	-	 < 0.01	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	.02	-	 < 0.01	1.00E00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	.07	-	 < 0.01	1.00E00
protein localization to cell junction (GO:1902414)	17	0	.39	-	 < 0.01	1.00E00
embryonic morphogenesis (GO:0048598)	40	0	.93	-	 < 0.01	1.00E00
mitotic cytokinetic process (GO:1902410)	2	0	.05	-	 < 0.01	1.00E00
male gamete generation (GO:0048232)	18	0	.42	-	 < 0.01	1.00E00
camera-type eye morphogenesis (GO:0048593)	4	0	.09	-	 < 0.01	1.00E00
eye morphogenesis (GO:0048592)	6	0	.14	-	 < 0.01	1.00E00
mitotic recombination (GO:0006312)	6	0	.14	-	 < 0.01	1.00E00
P-body assembly (GO:0033962)	9	0	.21	-	 < 0.01	1.00E00
developmental growth (GO:0048589)	7	0	.16	-	 < 0.01	1.00E00
developmental cell growth (GO:0048588)	5	0	.12	-	 < 0.01	1.00E00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	0	.44	-	 < 0.01	1.00E00
DNA catabolic process (GO:0006308)	4	0	.09	-	 < 0.01	1.00E00
DNA methylation (GO:0006306)	5	0	.12	-	 < 0.01	1.00E00
DNA alkylation (GO:0006305)	5	0	.12	-	 < 0.01	1.00E00
DNA modification (GO:0006304)	12	0	.28	-	 < 0.01	1.00E00
double-strand break repair via nonhomologous end joining (GO:0006303)	16	0	.37	-	 < 0.01	1.00E00
postreplication repair (GO:0006301)	14	0	.32	-	 < 0.01	1.00E00
dipeptide transport (GO:0042938)	2	0	.05	-	 < 0.01	1.00E00
vesicle transport along microtubule (GO:0047496)	16	0	.37	-	 < 0.01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	1	0	.02	-	 < 0.01	1.00E00
negative regulation of cell migration (GO:0030336)	10	0	.23	-	 < 0.01	1.00E00
positive regulation of cell migration (GO:0030335)	48	0	1.11	-	 < 0.01	6.30E-01
regulation of cell migration (GO:0030334)	91	0	2.11	-	 < 0.01	2.78E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	24	0	.56	-	 < 0.01	1.00E00
DNA duplex unwinding (GO:0032508)	12	0	.28	-	 < 0.01	1.00E00
cellular response to insulin stimulus (GO:0032869)	16	0	.37	-	 < 0.01	1.00E00
cytokinetic process (GO:0032506)	10	0	.23	-	 < 0.01	1.00E00
response to insulin (GO:0032868)	18	0	.42	-	 < 0.01	1.00E00
multicellular organism reproduction (GO:0032504)	29	0	.67	-	 < 0.01	1.00E00
hormone transport (GO:0009914)	3	0	.07	-	 < 0.01	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	.05	-	 < 0.01	1.00E00
epidermal cell differentiation (GO:0009913)	2	0	.05	-	 < 0.01	1.00E00
negative regulation of coagulation (GO:0050819)	5	0	.12	-	 < 0.01	1.00E00
regulation of coagulation (GO:0050818)	7	0	.16	-	 < 0.01	1.00E00
regulation of cellular response to stress (GO:0080135)	30	0	.70	-	 < 0.01	1.00E00
ATP metabolic process (GO:0046034)	18	0	.42	-	 < 0.01	1.00E00
embryonic organ development (GO:0048568)	28	0	.65	-	 < 0.01	1.00E00
glycosyl compound catabolic process (GO:1901658)	13	0	.30	-	 < 0.01	1.00E00
glycosyl compound metabolic process (GO:1901657)	23	0	.53	-	 < 0.01	1.00E00
triglyceride metabolic process (GO:0006641)	16	0	.37	-	 < 0.01	1.00E00
cellular response to peptide (GO:1901653)	25	0	.58	-	 < 0.01	1.00E00
establishment of protein localization to endoplasmic reticulum (GO:0072599)	12	0	.28	-	 < 0.01	1.00E00
response to peptide (GO:1901652)	30	0	.70	-	 < 0.01	1.00E00
synapse organization (GO:0050808)	64	0	1.49	-	 < 0.01	4.07E-01
negative regulation of protein modification process (GO:0031400)	43	0	1.00	-	 < 0.01	6.27E-01
cardiac muscle cell differentiation (GO:0055007)	7	0	.16	-	 < 0.01	1.00E00
regulation of synapse organization (GO:0050807)	18	0	.42	-	 < 0.01	1.00E00
positive regulation of protein localization (GO:1903829)	12	0	.28	-	 < 0.01	1.00E00
melanocyte differentiation (GO:0030318)	1	0	.02	-	 < 0.01	1.00E00
flagellated sperm motility (GO:0030317)	1	0	.02	-	 < 0.01	1.00E00
regulation of synapse structure or activity (GO:0050803)	19	0	.44	-	 < 0.01	1.00E00
osteoclast differentiation (GO:0030316)	4	0	.09	-	 < 0.01	1.00E00
acylglycerol metabolic process (GO:0006639)	22	0	.51	-	 < 0.01	1.00E00
neutral lipid metabolic process (GO:0006638)	22	0	.51	-	 < 0.01	1.00E00
nuclear envelope organization (GO:0006998)	9	0	.21	-	 < 0.01	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	6	0	.14	-	 < 0.01	1.00E00
fatty acid beta-oxidation (GO:0006635)	21	0	.49	-	 < 0.01	1.00E00
nucleus organization (GO:0006997)	14	0	.32	-	 < 0.01	1.00E00
heart process (GO:0003015)	20	0	.46	-	 < 0.01	1.00E00
mRNA cis splicing, via spliceosome (GO:0045292)	4	0	.09	-	 < 0.01	1.00E00
circulatory system process (GO:0003013)	42	0	.97	-	 < 0.01	6.27E-01
muscle system process (GO:0003012)	32	0	.74	-	 < 0.01	1.00E00
chaperone-mediated protein folding (GO:0061077)	12	0	.28	-	 < 0.01	1.00E00
ERBB signaling pathway (GO:0038127)	15	0	.35	-	 < 0.01	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	23	0	.53	-	 < 0.01	1.00E00
T cell activation involved in immune response (GO:0002286)	2	0	.05	-	 < 0.01	1.00E00
lymphocyte activation involved in immune response (GO:0002285)	2	0	.05	-	 < 0.01	1.00E00
DNA demethylation (GO:0080111)	6	0	.14	-	 < 0.01	1.00E00
cholesterol transport (GO:0030301)	11	0	.26	-	 < 0.01	1.00E00
macrophage activation involved in immune response (GO:0002281)	1	0	.02	-	 < 0.01	1.00E00
response to steroid hormone (GO:0048545)	8	0	.19	-	 < 0.01	1.00E00
skeletal muscle contraction (GO:0003009)	8	0	.19	-	 < 0.01	1.00E00
system process (GO:0003008)	111	0	2.58	-	 < 0.01	1.89E-01
negative regulation of chromosome organization (GO:2001251)	10	0	.23	-	 < 0.01	1.00E00
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	31	0	.72	-	 < 0.01	1.00E00
heart morphogenesis (GO:0003007)	12	0	.28	-	 < 0.01	1.00E00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	.02	-	 < 0.01	1.00E00
developmental process involved in reproduction (GO:0003006)	26	0	.60	-	 < 0.01	1.00E00
response to unfolded protein (GO:0006986)	19	0	.44	-	 < 0.01	1.00E00
regionalization (GO:0003002)	47	0	1.09	-	 < 0.01	6.29E-01
protein targeting to lysosome (GO:0006622)	2	0	.05	-	 < 0.01	1.00E00
positive regulation of cell-cell adhesion (GO:0022409)	9	0	.21	-	 < 0.01	1.00E00
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	7	0	.16	-	 < 0.01	1.00E00
negative regulation of cell-cell adhesion (GO:0022408)	7	0	.16	-	 < 0.01	1.00E00
regulation of cell-cell adhesion (GO:0022407)	15	0	.35	-	 < 0.01	1.00E00
myeloid leukocyte activation (GO:0002274)	2	0	.05	-	 < 0.01	1.00E00
visual system development (GO:0150063)	31	0	.72	-	 < 0.01	1.00E00
cellular response to light stimulus (GO:0071482)	8	0	.19	-	 < 0.01	1.00E00
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	4	0	.09	-	 < 0.01	1.00E00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	7	0	.16	-	 < 0.01	1.00E00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	7	0	.16	-	 < 0.01	1.00E00
interstrand cross-link repair (GO:0036297)	11	0	.26	-	 < 0.01	1.00E00
cotranslational protein targeting to membrane (GO:0006613)	7	0	.16	-	 < 0.01	1.00E00
protein targeting to membrane (GO:0006612)	30	0	.70	-	 < 0.01	1.00E00
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	2	0	.05	-	 < 0.01	1.00E00
response to osmotic stress (GO:0006970)	4	0	.09	-	 < 0.01	1.00E00
cell activation involved in immune response (GO:0002263)	3	0	.07	-	 < 0.01	1.00E00
regulation of cellular pH (GO:0030641)	27	0	.63	-	 < 0.01	1.00E00
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4	0	.09	-	 < 0.01	1.00E00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	0	.26	-	 < 0.01	1.00E00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	0	.35	-	 < 0.01	1.00E00
positive regulation of apoptotic signaling pathway (GO:2001235)	8	0	.19	-	 < 0.01	1.00E00
negative regulation of apoptotic signaling pathway (GO:2001234)	16	0	.37	-	 < 0.01	1.00E00
regulation of apoptotic signaling pathway (GO:2001233)	24	0	.56	-	 < 0.01	1.00E00
NLS-bearing protein import into nucleus (GO:0006607)	10	0	.23	-	 < 0.01	1.00E00
protein import into nucleus (GO:0006606)	36	0	.84	-	 < 0.01	1.00E00
organic hydroxy compound biosynthetic process (GO:1901617)	42	0	.97	-	 < 0.01	6.27E-01
organic hydroxy compound metabolic process (GO:1901615)	77	0	1.79	-	 < 0.01	4.28E-01
sensory system development (GO:0048880)	31	0	.72	-	 < 0.01	1.00E00
positive regulation of cell motility (GO:2000147)	51	0	1.18	-	 < 0.01	6.34E-01
G2/M transition of mitotic cell cycle (GO:0000086)	3	0	.07	-	 < 0.01	1.00E00
negative regulation of cell motility (GO:2000146)	10	0	.23	-	 < 0.01	1.00E00
regulation of cell motility (GO:2000145)	94	0	2.18	-	 < 0.01	2.84E-01
cilium movement (GO:0003341)	19	0	.44	-	 < 0.01	1.00E00
G1/S transition of mitotic cell cycle (GO:0000082)	18	0	.42	-	 < 0.01	1.00E00
regulation of wound healing (GO:0061041)	6	0	.14	-	 < 0.01	1.00E00
miRNA processing (GO:0035196)	12	0	.28	-	 < 0.01	1.00E00
amino sugar catabolic process (GO:0046348)	3	0	.07	-	 < 0.01	1.00E00
activation of immune response (GO:0002253)	41	0	.95	-	 < 0.01	1.00E00
protein K48-linked deubiquitination (GO:0071108)	3	0	.07	-	 < 0.01	1.00E00
immune effector process (GO:0002252)	9	0	.21	-	 < 0.01	1.00E00
