PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(417)	(expected)	(over/under)	(fold Enrichment)	P-value
mesoderm morphogenesis (GO:0048332)	7	0	.25	-	 < 0.01	1.00E00
porphyrin-containing compound metabolic process (GO:0006778)	10	0	.35	-	 < 0.01	1.00E00
translational termination (GO:0006415)	3	0	.11	-	 < 0.01	1.00E00
translational elongation (GO:0006414)	20	0	.70	-	 < 0.01	1.00E00
regulation of complement activation (GO:0030449)	1	0	.04	-	 < 0.01	1.00E00
citrate transport (GO:0015746)	4	0	.14	-	 < 0.01	1.00E00
succinate transport (GO:0015744)	3	0	.11	-	 < 0.01	1.00E00
C4-dicarboxylate transport (GO:0015740)	12	0	.42	-	 < 0.01	1.00E00
folic acid-containing compound metabolic process (GO:0006760)	10	0	.35	-	 < 0.01	1.00E00
pigment biosynthetic process (GO:0046148)	10	0	.35	-	 < 0.01	1.00E00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	7	0	.25	-	 < 0.01	1.00E00
regulated exocytosis (GO:0045055)	30	0	1.05	-	 < 0.01	6.26E-01
axon extension (GO:0048675)	2	0	.07	-	 < 0.01	1.00E00
sensory perception of bitter taste (GO:0050913)	1	0	.04	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	.04	-	 < 0.01	1.00E00
chemical synaptic transmission, postsynaptic (GO:0099565)	4	0	.14	-	 < 0.01	1.00E00
siRNA processing (GO:0030422)	1	0	.04	-	 < 0.01	1.00E00
nicotinamide nucleotide metabolic process (GO:0046496)	30	0	1.05	-	 < 0.01	6.26E-01
synaptic membrane adhesion (GO:0099560)	5	0	.18	-	 < 0.01	1.00E00
protein insertion into ER membrane (GO:0045048)	3	0	.11	-	 < 0.01	1.00E00
heterochromatin formation (GO:0031507)	20	0	.70	-	 < 0.01	1.00E00
ubiquinone biosynthetic process (GO:0006744)	5	0	.18	-	 < 0.01	1.00E00
sensory perception of taste (GO:0050909)	2	0	.07	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	.07	-	 < 0.01	1.00E00
detection of stimulus involved in sensory perception (GO:0050906)	6	0	.21	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	4	0	.14	-	 < 0.01	1.00E00
signal transduction by p53 class mediator (GO:0072331)	5	0	.18	-	 < 0.01	1.00E00
leukocyte migration (GO:0050900)	9	0	.32	-	 < 0.01	1.00E00
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	.11	-	 < 0.01	1.00E00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	.18	-	 < 0.01	1.00E00
mononuclear cell proliferation (GO:0032943)	1	0	.04	-	 < 0.01	1.00E00
NADP metabolic process (GO:0006739)	4	0	.14	-	 < 0.01	1.00E00
regulation of sodium ion transport (GO:0002028)	20	0	.70	-	 < 0.01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	8	0	.28	-	 < 0.01	1.00E00
phosphatidylcholine metabolic process (GO:0046470)	7	0	.25	-	 < 0.01	1.00E00
SREBP signaling pathway (GO:0032933)	6	0	.21	-	 < 0.01	1.00E00
early endosome to late endosome transport (GO:0045022)	4	0	.14	-	 < 0.01	1.00E00
terpenoid metabolic process (GO:0006721)	9	0	.32	-	 < 0.01	1.00E00
lymphocyte migration (GO:0072676)	3	0	.11	-	 < 0.01	1.00E00
acylglycerol catabolic process (GO:0046464)	9	0	.32	-	 < 0.01	1.00E00
neutral lipid catabolic process (GO:0046461)	9	0	.32	-	 < 0.01	1.00E00
activin receptor signaling pathway (GO:0032924)	3	0	.11	-	 < 0.01	1.00E00
circadian regulation of gene expression (GO:0032922)	20	0	.70	-	 < 0.01	1.00E00
morphogenesis of an epithelium (GO:0002009)	13	0	.46	-	 < 0.01	1.00E00
establishment of protein localization to vacuole (GO:0072666)	24	0	.84	-	 < 0.01	1.00E00
autophagosome maturation (GO:0097352)	7	0	.25	-	 < 0.01	1.00E00
protein localization to vacuole (GO:0072665)	26	0	.91	-	 < 0.01	1.00E00
leukocyte activation involved in immune response (GO:0002366)	3	0	.11	-	 < 0.01	1.00E00
TORC2 signaling (GO:0038203)	4	0	.14	-	 < 0.01	1.00E00
TORC1 signaling (GO:0038202)	1	0	.04	-	 < 0.01	1.00E00
icosanoid biosynthetic process (GO:0046456)	7	0	.25	-	 < 0.01	1.00E00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	.28	-	 < 0.01	1.00E00
leucine biosynthetic process (GO:0009098)	1	0	.04	-	 < 0.01	1.00E00
regulation of cell cycle G1/S phase transition (GO:1902806)	18	0	.63	-	 < 0.01	1.00E00
chaperone cofactor-dependent protein refolding (GO:0051085)	6	0	.21	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	12	0	.42	-	 < 0.01	1.00E00
sulfur compound catabolic process (GO:0044273)	7	0	.25	-	 < 0.01	1.00E00
glycogen biosynthetic process (GO:0005978)	2	0	.07	-	 < 0.01	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	16	0	.56	-	 < 0.01	1.00E00
glycogen metabolic process (GO:0005977)	6	0	.21	-	 < 0.01	1.00E00
lysine biosynthetic process (GO:0009085)	1	0	.04	-	 < 0.01	1.00E00
cellular response to transforming growth factor beta stimulus (GO:0071560)	20	0	.70	-	 < 0.01	1.00E00
branched-chain amino acid biosynthetic process (GO:0009082)	2	0	.07	-	 < 0.01	1.00E00
branched-chain amino acid metabolic process (GO:0009081)	9	0	.32	-	 < 0.01	1.00E00
rRNA base methylation (GO:0070475)	5	0	.18	-	 < 0.01	1.00E00
receptor signaling pathway via STAT (GO:0097696)	8	0	.28	-	 < 0.01	1.00E00
cardiac muscle contraction (GO:0060048)	15	0	.53	-	 < 0.01	1.00E00
synaptic vesicle cycle (GO:0099504)	49	0	1.72	-	 < 0.01	4.19E-01
response to transforming growth factor beta (GO:0071559)	20	0	.70	-	 < 0.01	1.00E00
organophosphate catabolic process (GO:0046434)	44	0	1.54	-	 < 0.01	4.07E-01
vesicle fusion to plasma membrane (GO:0099500)	6	0	.21	-	 < 0.01	1.00E00
retina development in camera-type eye (GO:0060041)	1	0	.04	-	 < 0.01	1.00E00
cellular response to amino acid starvation (GO:0034198)	9	0	.32	-	 < 0.01	1.00E00
peptide catabolic process (GO:0043171)	10	0	.35	-	 < 0.01	1.00E00
reproductive structure development (GO:0048608)	2	0	.07	-	 < 0.01	1.00E00
MAPK cascade (GO:0000165)	19	0	.67	-	 < 0.01	1.00E00
regulation of immune effector process (GO:0002697)	5	0	.18	-	 < 0.01	1.00E00
positive regulation of leukocyte activation (GO:0002696)	5	0	.18	-	 < 0.01	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	2	0	.07	-	 < 0.01	1.00E00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	6	0	.21	-	 < 0.01	1.00E00
microtubule polymerization (GO:0046785)	19	0	.67	-	 < 0.01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	10	0	.35	-	 < 0.01	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	8	0	.28	-	 < 0.01	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	11	0	.39	-	 < 0.01	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	12	0	.42	-	 < 0.01	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	13	0	.46	-	 < 0.01	1.00E00
negative regulation of transport (GO:0051051)	30	0	1.05	-	 < 0.01	6.26E-01
aerobic respiration (GO:0009060)	28	0	.98	-	 < 0.01	6.25E-01
cellular respiration (GO:0045333)	33	0	1.16	-	 < 0.01	6.30E-01
rRNA modification (GO:0000154)	17	0	.60	-	 < 0.01	1.00E00
protein O-linked mannosylation (GO:0035269)	5	0	.18	-	 < 0.01	1.00E00
protein mannosylation (GO:0035268)	8	0	.28	-	 < 0.01	1.00E00
DNA biosynthetic process (GO:0071897)	19	0	.67	-	 < 0.01	1.00E00
positive regulation of secretion (GO:0051047)	7	0	.25	-	 < 0.01	1.00E00
detoxification (GO:0098754)	6	0	.21	-	 < 0.01	1.00E00
gliogenesis (GO:0042063)	16	0	.56	-	 < 0.01	1.00E00
protein localization to lysosome (GO:0061462)	6	0	.21	-	 < 0.01	1.00E00
stress fiber assembly (GO:0043149)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of phosphorus metabolic process (GO:0010563)	37	0	1.30	-	 < 0.01	6.41E-01
neuron projection extension (GO:1990138)	5	0	.18	-	 < 0.01	1.00E00
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	11	0	.39	-	 < 0.01	1.00E00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	.04	-	 < 0.01	1.00E00
reproductive system development (GO:0061458)	2	0	.07	-	 < 0.01	1.00E00
establishment of mitotic spindle orientation (GO:0000132)	9	0	.32	-	 < 0.01	1.00E00
microtubule bundle formation (GO:0001578)	22	0	.77	-	 < 0.01	1.00E00
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	0	.28	-	 < 0.01	1.00E00
phospholipid catabolic process (GO:0009395)	12	0	.42	-	 < 0.01	1.00E00
kinetochore organization (GO:0051383)	8	0	.28	-	 < 0.01	1.00E00
kinetochore assembly (GO:0051382)	6	0	.21	-	 < 0.01	1.00E00
fluid transport (GO:0042044)	7	0	.25	-	 < 0.01	1.00E00
vasculogenesis (GO:0001570)	4	0	.14	-	 < 0.01	1.00E00
exocytic process (GO:0140029)	13	0	.46	-	 < 0.01	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	112	0	3.93	-	 < 0.01	3.48E-02
barbed-end actin filament capping (GO:0051016)	17	0	.60	-	 < 0.01	1.00E00
toll-like receptor 4 signaling pathway (GO:0034142)	5	0	.18	-	 < 0.01	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	4	0	.14	-	 < 0.01	1.00E00
maturation of LSU-rRNA (GO:0000470)	17	0	.60	-	 < 0.01	1.00E00
bone development (GO:0060348)	7	0	.25	-	 < 0.01	1.00E00
regulation of protein localization to membrane (GO:1905475)	10	0	.35	-	 < 0.01	1.00E00
regulation of cellular localization (GO:0060341)	47	0	1.65	-	 < 0.01	4.13E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	.32	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	.35	-	 < 0.01	1.00E00
negative regulation of sister chromatid segregation (GO:0033046)	9	0	.32	-	 < 0.01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	14	0	.49	-	 < 0.01	1.00E00
cell population proliferation (GO:0008283)	7	0	.25	-	 < 0.01	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	11	0	.39	-	 < 0.01	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	17	0	.60	-	 < 0.01	1.00E00
triglyceride catabolic process (GO:0019433)	3	0	.11	-	 < 0.01	1.00E00
triglyceride biosynthetic process (GO:0019432)	10	0	.35	-	 < 0.01	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	4	0	.14	-	 < 0.01	1.00E00
type I interferon-mediated signaling pathway (GO:0060337)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	.07	-	 < 0.01	1.00E00
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	0	.56	-	 < 0.01	1.00E00
positive regulation of myeloid cell differentiation (GO:0045639)	4	0	.14	-	 < 0.01	1.00E00
regulation of myeloid cell differentiation (GO:0045637)	6	0	.21	-	 < 0.01	1.00E00
negative regulation of lyase activity (GO:0051350)	2	0	.07	-	 < 0.01	1.00E00
cell chemotaxis (GO:0060326)	16	0	.56	-	 < 0.01	1.00E00
regulation of phospholipase activity (GO:0010517)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of lyase activity (GO:0051349)	9	0	.32	-	 < 0.01	1.00E00
head development (GO:0060322)	44	0	1.54	-	 < 0.01	4.07E-01
cilium or flagellum-dependent cell motility (GO:0001539)	14	0	.49	-	 < 0.01	1.00E00
tricarboxylic acid cycle (GO:0006099)	16	0	.56	-	 < 0.01	1.00E00
negative regulation of hydrolase activity (GO:0051346)	25	0	.88	-	 < 0.01	1.00E00
glycolytic process (GO:0006096)	16	0	.56	-	 < 0.01	1.00E00
retina homeostasis (GO:0001895)	2	0	.07	-	 < 0.01	1.00E00
tissue homeostasis (GO:0001894)	4	0	.14	-	 < 0.01	1.00E00
amino acid import across plasma membrane (GO:0089718)	9	0	.32	-	 < 0.01	1.00E00
generation of precursor metabolites and energy (GO:0006091)	64	0	2.24	-	 < 0.01	1.75E-01
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	2	0	.07	-	 < 0.01	1.00E00
transforming growth factor beta receptor signaling pathway (GO:0007179)	20	0	.70	-	 < 0.01	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	31	0	1.09	-	 < 0.01	6.27E-01
positive regulation of autophagy (GO:0010508)	16	0	.56	-	 < 0.01	1.00E00
negative regulation of autophagy (GO:0010507)	9	0	.32	-	 < 0.01	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	14	0	.49	-	 < 0.01	1.00E00
regulation of autophagy (GO:0010506)	35	0	1.23	-	 < 0.01	6.35E-01
regulation of lyase activity (GO:0051339)	12	0	.42	-	 < 0.01	1.00E00
homotypic cell-cell adhesion (GO:0034109)	7	0	.25	-	 < 0.01	1.00E00
liver development (GO:0001889)	2	0	.07	-	 < 0.01	1.00E00
regulation of tissue remodeling (GO:0034103)	3	0	.11	-	 < 0.01	1.00E00
retinoid metabolic process (GO:0001523)	5	0	.18	-	 < 0.01	1.00E00
regulation of autophagosome maturation (GO:1901096)	5	0	.18	-	 < 0.01	1.00E00
pseudouridine synthesis (GO:0001522)	11	0	.39	-	 < 0.01	1.00E00
tetrapyrrole metabolic process (GO:0033013)	12	0	.42	-	 < 0.01	1.00E00
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	.28	-	 < 0.01	1.00E00
glycerol-3-phosphate metabolic process (GO:0006072)	5	0	.18	-	 < 0.01	1.00E00
mitophagy (GO:0000423)	11	0	.39	-	 < 0.01	1.00E00
secretory granule organization (GO:0033363)	2	0	.07	-	 < 0.01	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	1	0	.04	-	 < 0.01	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	25	0	.88	-	 < 0.01	1.00E00
positive regulation of protein polymerization (GO:0032273)	13	0	.46	-	 < 0.01	1.00E00
negative regulation of protein polymerization (GO:0032272)	22	0	.77	-	 < 0.01	1.00E00
regulation of protein polymerization (GO:0032271)	48	0	1.68	-	 < 0.01	4.16E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	.18	-	 < 0.01	1.00E00
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	.11	-	 < 0.01	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	.07	-	 < 0.01	1.00E00
myeloid cell differentiation (GO:0030099)	10	0	.35	-	 < 0.01	1.00E00
phytosteroid metabolic process (GO:0016128)	1	0	.04	-	 < 0.01	1.00E00
secondary metabolic process (GO:0019748)	5	0	.18	-	 < 0.01	1.00E00
lymphocyte differentiation (GO:0030098)	10	0	.35	-	 < 0.01	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	14	0	.49	-	 < 0.01	1.00E00
sterol biosynthetic process (GO:0016126)	12	0	.42	-	 < 0.01	1.00E00
sterol metabolic process (GO:0016125)	21	0	.74	-	 < 0.01	1.00E00
cytosolic transport (GO:0016482)	35	0	1.23	-	 < 0.01	6.35E-01
male meiotic nuclear division (GO:0007140)	4	0	.14	-	 < 0.01	1.00E00
telomere maintenance via telomere lengthening (GO:0010833)	8	0	.28	-	 < 0.01	1.00E00
mitotic sister chromatid separation (GO:0051306)	1	0	.04	-	 < 0.01	1.00E00
chromosome separation (GO:0051304)	3	0	.11	-	 < 0.01	1.00E00
response to radiation (GO:0009314)	30	0	1.05	-	 < 0.01	6.26E-01
regulation of cell division (GO:0051302)	7	0	.25	-	 < 0.01	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of phosphorylation (GO:0042326)	33	0	1.16	-	 < 0.01	6.30E-01
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	0	.11	-	 < 0.01	1.00E00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	.11	-	 < 0.01	1.00E00
carotenoid biosynthetic process (GO:0016117)	1	0	.04	-	 < 0.01	1.00E00
male gonad development (GO:0008584)	1	0	.04	-	 < 0.01	1.00E00
cholesterol efflux (GO:0033344)	8	0	.28	-	 < 0.01	1.00E00
terpenoid biosynthetic process (GO:0016114)	4	0	.14	-	 < 0.01	1.00E00
antimicrobial humoral response (GO:0019730)	1	0	.04	-	 < 0.01	1.00E00
mesoderm development (GO:0007498)	7	0	.25	-	 < 0.01	1.00E00
reciprocal meiotic recombination (GO:0007131)	20	0	.70	-	 < 0.01	1.00E00
regulation of MAP kinase activity (GO:0043405)	20	0	.70	-	 < 0.01	1.00E00
regulation of centrosome duplication (GO:0010824)	6	0	.21	-	 < 0.01	1.00E00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	.11	-	 < 0.01	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	0	.18	-	 < 0.01	1.00E00
regulation of mitochondrion organization (GO:0010821)	10	0	.35	-	 < 0.01	1.00E00
rRNA transcription (GO:0009303)	6	0	.21	-	 < 0.01	1.00E00
rRNA methylation (GO:0031167)	10	0	.35	-	 < 0.01	1.00E00
phagolysosome assembly (GO:0001845)	9	0	.32	-	 < 0.01	1.00E00
spindle localization (GO:0051653)	17	0	.60	-	 < 0.01	1.00E00
negative regulation of phosphate metabolic process (GO:0045936)	37	0	1.30	-	 < 0.01	6.41E-01
maintenance of location in cell (GO:0051651)	18	0	.63	-	 < 0.01	1.00E00
establishment of vesicle localization (GO:0051650)	34	0	1.19	-	 < 0.01	6.32E-01
cell death (GO:0008219)	60	0	2.10	-	 < 0.01	2.75E-01
regulation of blood pressure (GO:0008217)	13	0	.46	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	.32	-	 < 0.01	1.00E00
diterpenoid metabolic process (GO:0016101)	5	0	.18	-	 < 0.01	1.00E00
cell cycle G1/S phase transition (GO:0044843)	18	0	.63	-	 < 0.01	1.00E00
vesicle localization (GO:0051648)	35	0	1.23	-	 < 0.01	6.35E-01
release of cytochrome c from mitochondria (GO:0001836)	5	0	.18	-	 < 0.01	1.00E00
positive regulation of growth (GO:0045927)	4	0	.14	-	 < 0.01	1.00E00
mitochondrial transcription (GO:0006390)	6	0	.21	-	 < 0.01	1.00E00
cholesterol metabolic process (GO:0008203)	15	0	.53	-	 < 0.01	1.00E00
cell cycle G2/M phase transition (GO:0044839)	3	0	.11	-	 < 0.01	1.00E00
positive regulation of actin filament bundle assembly (GO:0032233)	7	0	.25	-	 < 0.01	1.00E00
regulation of actin filament bundle assembly (GO:0032231)	10	0	.35	-	 < 0.01	1.00E00
left/right pattern formation (GO:0060972)	2	0	.07	-	 < 0.01	1.00E00
glucose transmembrane transport (GO:1904659)	7	0	.25	-	 < 0.01	1.00E00
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	0	.14	-	 < 0.01	1.00E00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	14	0	.49	-	 < 0.01	1.00E00
kidney development (GO:0001822)	8	0	.28	-	 < 0.01	1.00E00
adenosine to inosine editing (GO:0006382)	4	0	.14	-	 < 0.01	1.00E00
negative regulation of DNA recombination (GO:0045910)	5	0	.18	-	 < 0.01	1.00E00
mitotic DNA replication checkpoint signaling (GO:0033314)	3	0	.11	-	 < 0.01	1.00E00
DNA synthesis involved in DNA repair (GO:0000731)	13	0	.46	-	 < 0.01	1.00E00
somatic cell DNA recombination (GO:0016444)	2	0	.07	-	 < 0.01	1.00E00
regulation of organelle assembly (GO:1902115)	21	0	.74	-	 < 0.01	1.00E00
L-alpha-amino acid transmembrane transport (GO:1902475)	13	0	.46	-	 < 0.01	1.00E00
positive regulation of cytokine production (GO:0001819)	9	0	.32	-	 < 0.01	1.00E00
regulation of cytokine production (GO:0001817)	23	0	.81	-	 < 0.01	1.00E00
mRNA polyadenylation (GO:0006378)	5	0	.18	-	 < 0.01	1.00E00
response to toxic substance (GO:0009636)	8	0	.28	-	 < 0.01	1.00E00
negative regulation of chromosome segregation (GO:0051985)	9	0	.32	-	 < 0.01	1.00E00
iron ion transmembrane transport (GO:0034755)	5	0	.18	-	 < 0.01	1.00E00
response to extracellular stimulus (GO:0009991)	35	0	1.23	-	 < 0.01	6.35E-01
double-strand break repair via break-induced replication (GO:0000727)	9	0	.32	-	 < 0.01	1.00E00
actin filament-based movement (GO:0030048)	16	0	.56	-	 < 0.01	1.00E00
epidermis development (GO:0008544)	4	0	.14	-	 < 0.01	1.00E00
regulation of peptide hormone secretion (GO:0090276)	5	0	.18	-	 < 0.01	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	.32	-	 < 0.01	1.00E00
organelle fusion (GO:0048284)	55	0	1.93	-	 < 0.01	2.66E-01
glucose metabolic process (GO:0006006)	17	0	.60	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase II (GO:0006368)	9	0	.32	-	 < 0.01	1.00E00
cell-cell recognition (GO:0009988)	1	0	.04	-	 < 0.01	1.00E00
regulation of potassium ion transmembrane transport (GO:1901379)	14	0	.49	-	 < 0.01	1.00E00
mRNA 3'-end processing (GO:0031124)	16	0	.56	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase I (GO:0006362)	2	0	.07	-	 < 0.01	1.00E00
cytoplasmic microtubule organization (GO:0031122)	21	0	.74	-	 < 0.01	1.00E00
transcription by RNA polymerase I (GO:0006360)	10	0	.35	-	 < 0.01	1.00E00
lipid homeostasis (GO:0055088)	25	0	.88	-	 < 0.01	1.00E00
cholesterol homeostasis (GO:0042632)	8	0	.28	-	 < 0.01	1.00E00
contractile actin filament bundle assembly (GO:0030038)	5	0	.18	-	 < 0.01	1.00E00
respiratory chain complex IV assembly (GO:0008535)	1	0	.04	-	 < 0.01	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	11	0	.39	-	 < 0.01	1.00E00
regulation of postsynapse organization (GO:0099175)	9	0	.32	-	 < 0.01	1.00E00
postsynapse organization (GO:0099173)	6	0	.21	-	 < 0.01	1.00E00
homologous recombination (GO:0035825)	20	0	.70	-	 < 0.01	1.00E00
regulation of telomere maintenance (GO:0032204)	6	0	.21	-	 < 0.01	1.00E00
quaternary ammonium group transport (GO:0015697)	5	0	.18	-	 < 0.01	1.00E00
organic cation transport (GO:0015695)	6	0	.21	-	 < 0.01	1.00E00
detection of stimulus (GO:0051606)	24	0	.84	-	 < 0.01	1.00E00
regulation of transcription by RNA polymerase I (GO:0006356)	4	0	.14	-	 < 0.01	1.00E00
positive regulation of synapse assembly (GO:0051965)	9	0	.32	-	 < 0.01	1.00E00
DNA-templated transcription elongation (GO:0006354)	11	0	.39	-	 < 0.01	1.00E00
response to mechanical stimulus (GO:0009612)	9	0	.32	-	 < 0.01	1.00E00
regulation of microtubule polymerization or depolymerization (GO:0031110)	20	0	.70	-	 < 0.01	1.00E00
sodium ion homeostasis (GO:0055078)	11	0	.39	-	 < 0.01	1.00E00
regulation of body fluid levels (GO:0050878)	14	0	.49	-	 < 0.01	1.00E00
regulation of apoptotic process (GO:0042981)	93	0	3.26	-	 < 0.01	8.03E-02
positive regulation of secretion by cell (GO:1903532)	7	0	.25	-	 < 0.01	1.00E00
positive regulation of T cell activation (GO:0050870)	3	0	.11	-	 < 0.01	1.00E00
regulation of secretion by cell (GO:1903530)	42	0	1.47	-	 < 0.01	4.04E-01
regulation of muscle system process (GO:0090257)	11	0	.39	-	 < 0.01	1.00E00
microtubule polymerization or depolymerization (GO:0031109)	29	0	1.02	-	 < 0.01	6.25E-01
nucleosome organization (GO:0034728)	11	0	.39	-	 < 0.01	1.00E00
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	.07	-	 < 0.01	1.00E00
negative regulation of T cell activation (GO:0050868)	4	0	.14	-	 < 0.01	1.00E00
positive regulation of cell activation (GO:0050867)	5	0	.18	-	 < 0.01	1.00E00
regulation of T cell activation (GO:0050863)	6	0	.21	-	 < 0.01	1.00E00
adenosine metabolic process (GO:0046085)	4	0	.14	-	 < 0.01	1.00E00
peripheral nervous system development (GO:0007422)	2	0	.07	-	 < 0.01	1.00E00
brain development (GO:0007420)	44	0	1.54	-	 < 0.01	4.07E-01
nucleosome assembly (GO:0006334)	9	0	.32	-	 < 0.01	1.00E00
cholesterol biosynthetic process (GO:0006695)	7	0	.25	-	 < 0.01	1.00E00
steroid biosynthetic process (GO:0006694)	15	0	.53	-	 < 0.01	1.00E00
regulation of systemic arterial blood pressure (GO:0003073)	9	0	.32	-	 < 0.01	1.00E00
prostaglandin metabolic process (GO:0006693)	5	0	.18	-	 < 0.01	1.00E00
icosanoid metabolic process (GO:0006690)	10	0	.35	-	 < 0.01	1.00E00
regulation of cell adhesion mediated by integrin (GO:0033628)	5	0	.18	-	 < 0.01	1.00E00
B cell receptor signaling pathway (GO:0050853)	9	0	.32	-	 < 0.01	1.00E00
lytic vacuole organization (GO:0080171)	14	0	.49	-	 < 0.01	1.00E00
macrophage chemotaxis (GO:0048246)	1	0	.04	-	 < 0.01	1.00E00
sensory organ morphogenesis (GO:0090596)	8	0	.28	-	 < 0.01	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	11	0	.39	-	 < 0.01	1.00E00
sperm capacitation (GO:0048240)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of establishment of protein localization (GO:1904951)	6	0	.21	-	 < 0.01	1.00E00
membrane protein proteolysis (GO:0033619)	14	0	.49	-	 < 0.01	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	.04	-	 < 0.01	1.00E00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	.11	-	 < 0.01	1.00E00
regulation of protein localization (GO:0032880)	37	0	1.30	-	 < 0.01	6.41E-01
camera-type eye morphogenesis (GO:0048593)	4	0	.14	-	 < 0.01	1.00E00
eye morphogenesis (GO:0048592)	6	0	.21	-	 < 0.01	1.00E00
mitotic recombination (GO:0006312)	6	0	.21	-	 < 0.01	1.00E00
ceramide metabolic process (GO:0006672)	37	0	1.30	-	 < 0.01	6.41E-01
P-body assembly (GO:0033962)	9	0	.32	-	 < 0.01	1.00E00
developmental growth (GO:0048589)	7	0	.25	-	 < 0.01	1.00E00
developmental cell growth (GO:0048588)	5	0	.18	-	 < 0.01	1.00E00
DNA catabolic process (GO:0006308)	4	0	.14	-	 < 0.01	1.00E00
DNA methylation (GO:0006306)	5	0	.18	-	 < 0.01	1.00E00
DNA alkylation (GO:0006305)	5	0	.18	-	 < 0.01	1.00E00
DNA modification (GO:0006304)	12	0	.42	-	 < 0.01	1.00E00
