PANTHER GO-Slim Biological Process	background_genes.cra_all.raisd.txt - REFLIST (11273)	(136)	(expected)	(over/under)	(fold Enrichment)	P-value
actin filament polymerization (GO:0030041)	10	0	.12	-	 < 0.01	1.00E00
regulation of peptide hormone secretion (GO:0090276)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	.11	-	 < 0.01	1.00E00
organelle fission (GO:0048285)	77	0	.93	-	 < 0.01	1.00E00
response to abiotic stimulus (GO:0009628)	69	0	.83	-	 < 0.01	1.00E00
glucose metabolic process (GO:0006006)	14	0	.17	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase II (GO:0006368)	9	0	.11	-	 < 0.01	1.00E00
cell-cell recognition (GO:0009988)	1	0	.01	-	 < 0.01	1.00E00
transcription initiation at RNA polymerase II promoter (GO:0006367)	21	0	.25	-	 < 0.01	1.00E00
regulation of potassium ion transmembrane transport (GO:1901379)	13	0	.16	-	 < 0.01	1.00E00
transcription by RNA polymerase II (GO:0006366)	46	0	.55	-	 < 0.01	1.00E00
rRNA processing (GO:0006364)	80	0	.97	-	 < 0.01	1.00E00
mRNA 3'-end processing (GO:0031124)	16	0	.19	-	 < 0.01	1.00E00
RNA 3'-end processing (GO:0031123)	40	0	.48	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase I (GO:0006362)	2	0	.02	-	 < 0.01	1.00E00
cytoplasmic microtubule organization (GO:0031122)	21	0	.25	-	 < 0.01	1.00E00
transcription by RNA polymerase I (GO:0006360)	10	0	.12	-	 < 0.01	1.00E00
lipid homeostasis (GO:0055088)	23	0	.28	-	 < 0.01	1.00E00
cholesterol homeostasis (GO:0042632)	8	0	.10	-	 < 0.01	1.00E00
contractile actin filament bundle assembly (GO:0030038)	5	0	.06	-	 < 0.01	1.00E00
respiratory chain complex IV assembly (GO:0008535)	1	0	.01	-	 < 0.01	1.00E00
regulation of trans-synaptic signaling (GO:0099177)	77	0	.93	-	 < 0.01	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	11	0	.13	-	 < 0.01	1.00E00
regulation of postsynapse organization (GO:0099175)	7	0	.08	-	 < 0.01	1.00E00
postsynapse organization (GO:0099173)	4	0	.05	-	 < 0.01	1.00E00
homologous recombination (GO:0035825)	20	0	.24	-	 < 0.01	1.00E00
regulation of telomere maintenance (GO:0032204)	6	0	.07	-	 < 0.01	1.00E00
inorganic anion transport (GO:0015698)	45	0	.54	-	 < 0.01	1.00E00
quaternary ammonium group transport (GO:0015697)	5	0	.06	-	 < 0.01	1.00E00
organic cation transport (GO:0015695)	6	0	.07	-	 < 0.01	1.00E00
defense response to virus (GO:0051607)	3	0	.04	-	 < 0.01	1.00E00
response to bacterium (GO:0009617)	14	0	.17	-	 < 0.01	1.00E00
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	0	.24	-	 < 0.01	1.00E00
detection of stimulus (GO:0051606)	23	0	.28	-	 < 0.01	1.00E00
response to virus (GO:0009615)	3	0	.04	-	 < 0.01	1.00E00
regulation of synaptic transmission, glutamatergic (GO:0051966)	13	0	.16	-	 < 0.01	1.00E00
regulation of transcription by RNA polymerase I (GO:0006356)	4	0	.05	-	 < 0.01	1.00E00
positive regulation of synapse assembly (GO:0051965)	9	0	.11	-	 < 0.01	1.00E00
DNA-templated transcription elongation (GO:0006354)	11	0	.13	-	 < 0.01	1.00E00
response to mechanical stimulus (GO:0009612)	8	0	.10	-	 < 0.01	1.00E00
positive regulation of nervous system development (GO:0051962)	25	0	.30	-	 < 0.01	1.00E00
DNA-templated transcription initiation (GO:0006352)	32	0	.39	-	 < 0.01	1.00E00
DNA-templated transcription (GO:0006351)	75	0	.90	-	 < 0.01	1.00E00
regulation of nervous system development (GO:0051960)	42	0	.51	-	 < 0.01	1.00E00
regulation of microtubule polymerization or depolymerization (GO:0031110)	16	0	.19	-	 < 0.01	1.00E00
sodium ion homeostasis (GO:0055078)	11	0	.13	-	 < 0.01	1.00E00
nervous system process (GO:0050877)	56	0	.68	-	 < 0.01	1.00E00
regulation of apoptotic process (GO:0042981)	90	0	1.09	-	 < 0.01	6.30E-01
calcium ion homeostasis (GO:0055074)	58	0	.70	-	 < 0.01	1.00E00
positive regulation of secretion by cell (GO:1903532)	6	0	.07	-	 < 0.01	1.00E00
positive regulation of T cell activation (GO:0050870)	3	0	.04	-	 < 0.01	1.00E00
regulation of muscle system process (GO:0090257)	9	0	.11	-	 < 0.01	1.00E00
response to biotic stimulus (GO:0009607)	40	0	.48	-	 < 0.01	1.00E00
microtubule polymerization or depolymerization (GO:0031109)	28	0	.34	-	 < 0.01	1.00E00
negative regulation of signal transduction (GO:0009968)	148	0	1.79	-	 < 0.01	4.29E-01
nucleosome organization (GO:0034728)	11	0	.13	-	 < 0.01	1.00E00
positive regulation of signal transduction (GO:0009967)	162	0	1.95	-	 < 0.01	2.70E-01
piecemeal microautophagy of the nucleus (GO:0034727)	16	0	.19	-	 < 0.01	1.00E00
regulation of signal transduction (GO:0009966)	432	0	5.21	-	 < 0.01	1.07E-02
negative regulation of T cell activation (GO:0050868)	4	0	.05	-	 < 0.01	1.00E00
positive regulation of cell activation (GO:0050867)	5	0	.06	-	 < 0.01	1.00E00
negative regulation of cell activation (GO:0050866)	6	0	.07	-	 < 0.01	1.00E00
regulation of cell activation (GO:0050865)	13	0	.16	-	 < 0.01	1.00E00
regulation of T cell activation (GO:0050863)	6	0	.07	-	 < 0.01	1.00E00
response to lipid (GO:0033993)	32	0	.39	-	 < 0.01	1.00E00
adenosine metabolic process (GO:0046085)	4	0	.05	-	 < 0.01	1.00E00
establishment of cell polarity (GO:0030010)	22	0	.27	-	 < 0.01	1.00E00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	.07	-	 < 0.01	1.00E00
sensory organ development (GO:0007423)	42	0	.51	-	 < 0.01	1.00E00
peripheral nervous system development (GO:0007422)	1	0	.01	-	 < 0.01	1.00E00
brain development (GO:0007420)	45	0	.54	-	 < 0.01	1.00E00
mitochondrial translation (GO:0032543)	12	0	.14	-	 < 0.01	1.00E00
mRNA stabilization (GO:0048255)	11	0	.13	-	 < 0.01	1.00E00
nucleosome assembly (GO:0006334)	9	0	.11	-	 < 0.01	1.00E00
cholesterol biosynthetic process (GO:0006695)	7	0	.08	-	 < 0.01	1.00E00
steroid biosynthetic process (GO:0006694)	15	0	.18	-	 < 0.01	1.00E00
anterior/posterior pattern specification (GO:0009952)	29	0	.35	-	 < 0.01	1.00E00
regulation of systemic arterial blood pressure (GO:0003073)	8	0	.10	-	 < 0.01	1.00E00
prostaglandin metabolic process (GO:0006693)	3	0	.04	-	 < 0.01	1.00E00
regulation of vasculature development (GO:1901342)	21	0	.25	-	 < 0.01	1.00E00
icosanoid metabolic process (GO:0006690)	8	0	.10	-	 < 0.01	1.00E00
cell adhesion mediated by integrin (GO:0033627)	19	0	.23	-	 < 0.01	1.00E00
B cell receptor signaling pathway (GO:0050853)	9	0	.11	-	 < 0.01	1.00E00
T cell receptor signaling pathway (GO:0050852)	17	0	.21	-	 < 0.01	1.00E00
antigen receptor-mediated signaling pathway (GO:0050851)	22	0	.27	-	 < 0.01	1.00E00
lytic vacuole organization (GO:0080171)	14	0	.17	-	 < 0.01	1.00E00
central nervous system development (GO:0007417)	73	0	.88	-	 < 0.01	1.00E00
synapse assembly (GO:0007416)	20	0	.24	-	 < 0.01	1.00E00
regulation of cellular component size (GO:0032535)	53	0	.64	-	 < 0.01	1.00E00
axon guidance (GO:0007411)	99	0	1.19	-	 < 0.01	6.35E-01
macrophage chemotaxis (GO:0048246)	1	0	.01	-	 < 0.01	1.00E00
sensory organ morphogenesis (GO:0090596)	7	0	.08	-	 < 0.01	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	11	0	.13	-	 < 0.01	1.00E00
cellular response to nitrogen compound (GO:1901699)	63	0	.76	-	 < 0.01	1.00E00
sperm capacitation (GO:0048240)	1	0	.01	-	 < 0.01	1.00E00
response to nitrogen compound (GO:1901698)	100	0	1.21	-	 < 0.01	6.36E-01
positive regulation of establishment of protein localization (GO:1904951)	5	0	.06	-	 < 0.01	1.00E00
liposaccharide metabolic process (GO:1903509)	35	0	.42	-	 < 0.01	1.00E00
membrane protein proteolysis (GO:0033619)	14	0	.17	-	 < 0.01	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	.01	-	 < 0.01	1.00E00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	.04	-	 < 0.01	1.00E00
axonogenesis (GO:0007409)	115	0	1.39	-	 < 0.01	6.51E-01
protein localization to cell junction (GO:1902414)	17	0	.21	-	 < 0.01	1.00E00
regulation of microtubule-based process (GO:0032886)	41	0	.49	-	 < 0.01	1.00E00
embryonic morphogenesis (GO:0048598)	33	0	.40	-	 < 0.01	1.00E00
mitotic cytokinetic process (GO:1902410)	2	0	.02	-	 < 0.01	1.00E00
male gamete generation (GO:0048232)	17	0	.21	-	 < 0.01	1.00E00
camera-type eye morphogenesis (GO:0048593)	4	0	.05	-	 < 0.01	1.00E00
eye morphogenesis (GO:0048592)	5	0	.06	-	 < 0.01	1.00E00
regulation of calcium ion transport (GO:0051924)	18	0	.22	-	 < 0.01	1.00E00
mitotic recombination (GO:0006312)	6	0	.07	-	 < 0.01	1.00E00
ceramide metabolic process (GO:0006672)	34	0	.41	-	 < 0.01	1.00E00
DNA recombination (GO:0006310)	76	0	.92	-	 < 0.01	1.00E00
P-body assembly (GO:0033962)	8	0	.10	-	 < 0.01	1.00E00
developmental growth (GO:0048589)	7	0	.08	-	 < 0.01	1.00E00
developmental cell growth (GO:0048588)	5	0	.06	-	 < 0.01	1.00E00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	16	0	.19	-	 < 0.01	1.00E00
DNA catabolic process (GO:0006308)	4	0	.05	-	 < 0.01	1.00E00
positive regulation of response to stimulus (GO:0048584)	226	0	2.73	-	 < 0.01	1.18E-01
cellular response to hormone stimulus (GO:0032870)	58	0	.70	-	 < 0.01	1.00E00
sphingolipid metabolic process (GO:0006665)	50	0	.60	-	 < 0.01	1.00E00
double-strand break repair via nonhomologous end joining (GO:0006303)	16	0	.19	-	 < 0.01	1.00E00
glycolipid metabolic process (GO:0006664)	34	0	.41	-	 < 0.01	1.00E00
double-strand break repair (GO:0006302)	91	0	1.10	-	 < 0.01	6.30E-01
postreplication repair (GO:0006301)	14	0	.17	-	 < 0.01	1.00E00
dipeptide transport (GO:0042938)	2	0	.02	-	 < 0.01	1.00E00
vesicle transport along microtubule (GO:0047496)	16	0	.19	-	 < 0.01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of cell migration (GO:0030336)	10	0	.12	-	 < 0.01	1.00E00
positive regulation of cell migration (GO:0030335)	44	0	.53	-	 < 0.01	1.00E00
regulation of cell migration (GO:0030334)	86	0	1.04	-	 < 0.01	6.29E-01
protein stabilization (GO:0050821)	12	0	.14	-	 < 0.01	1.00E00
microtubule-based transport (GO:0099111)	52	0	.63	-	 < 0.01	1.00E00
endosome transport via multivesicular body sorting pathway (GO:0032509)	21	0	.25	-	 < 0.01	1.00E00
DNA duplex unwinding (GO:0032508)	12	0	.14	-	 < 0.01	1.00E00
cellular response to insulin stimulus (GO:0032869)	16	0	.19	-	 < 0.01	1.00E00
cytokinetic process (GO:0032506)	9	0	.11	-	 < 0.01	1.00E00
response to insulin (GO:0032868)	16	0	.19	-	 < 0.01	1.00E00
IMP metabolic process (GO:0046040)	9	0	.11	-	 < 0.01	1.00E00
multicellular organism reproduction (GO:0032504)	28	0	.34	-	 < 0.01	1.00E00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	15	0	.18	-	 < 0.01	1.00E00
hormone transport (GO:0009914)	3	0	.04	-	 < 0.01	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	.02	-	 < 0.01	1.00E00
epidermal cell differentiation (GO:0009913)	2	0	.02	-	 < 0.01	1.00E00
regulation of cellular response to stress (GO:0080135)	30	0	.36	-	 < 0.01	1.00E00
ATP metabolic process (GO:0046034)	16	0	.19	-	 < 0.01	1.00E00
carboxylic acid catabolic process (GO:0046395)	68	0	.82	-	 < 0.01	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	53	0	.64	-	 < 0.01	1.00E00
regulation of cell cycle G2/M phase transition (GO:1902749)	21	0	.25	-	 < 0.01	1.00E00
embryonic organ development (GO:0048568)	21	0	.25	-	 < 0.01	1.00E00
glycosyl compound catabolic process (GO:1901658)	13	0	.16	-	 < 0.01	1.00E00
glycosyl compound metabolic process (GO:1901657)	23	0	.28	-	 < 0.01	1.00E00
membrane lipid metabolic process (GO:0006643)	68	0	.82	-	 < 0.01	1.00E00
triglyceride metabolic process (GO:0006641)	15	0	.18	-	 < 0.01	1.00E00
cellular response to peptide (GO:1901653)	22	0	.27	-	 < 0.01	1.00E00
positive regulation of protein modification process (GO:0031401)	71	0	.86	-	 < 0.01	1.00E00
response to peptide (GO:1901652)	24	0	.29	-	 < 0.01	1.00E00
negative regulation of protein modification process (GO:0031400)	41	0	.49	-	 < 0.01	1.00E00
cardiac muscle cell differentiation (GO:0055007)	6	0	.07	-	 < 0.01	1.00E00
regulation of synapse organization (GO:0050807)	16	0	.19	-	 < 0.01	1.00E00
positive regulation of protein localization (GO:1903829)	11	0	.13	-	 < 0.01	1.00E00
positive regulation of synaptic transmission (GO:0050806)	20	0	.24	-	 < 0.01	1.00E00
melanocyte differentiation (GO:0030318)	1	0	.01	-	 < 0.01	1.00E00
modulation of chemical synaptic transmission (GO:0050804)	77	0	.93	-	 < 0.01	1.00E00
flagellated sperm motility (GO:0030317)	1	0	.01	-	 < 0.01	1.00E00
striated muscle cell development (GO:0055002)	22	0	.27	-	 < 0.01	1.00E00
regulation of synapse structure or activity (GO:0050803)	17	0	.21	-	 < 0.01	1.00E00
osteoclast differentiation (GO:0030316)	3	0	.04	-	 < 0.01	1.00E00
muscle cell development (GO:0055001)	31	0	.37	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	0	.04	-	 < 0.01	1.00E00
acylglycerol metabolic process (GO:0006639)	21	0	.25	-	 < 0.01	1.00E00
neutral lipid metabolic process (GO:0006638)	21	0	.25	-	 < 0.01	1.00E00
acyl-CoA metabolic process (GO:0006637)	17	0	.21	-	 < 0.01	1.00E00
nuclear envelope organization (GO:0006998)	9	0	.11	-	 < 0.01	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	4	0	.05	-	 < 0.01	1.00E00
fatty acid beta-oxidation (GO:0006635)	21	0	.25	-	 < 0.01	1.00E00
nucleus organization (GO:0006997)	14	0	.17	-	 < 0.01	1.00E00
heart process (GO:0003015)	18	0	.22	-	 < 0.01	1.00E00
mRNA cis splicing, via spliceosome (GO:0045292)	4	0	.05	-	 < 0.01	1.00E00
fatty acid biosynthetic process (GO:0006633)	25	0	.30	-	 < 0.01	1.00E00
circulatory system process (GO:0003013)	38	0	.46	-	 < 0.01	1.00E00
muscle system process (GO:0003012)	27	0	.33	-	 < 0.01	1.00E00
chaperone-mediated protein folding (GO:0061077)	12	0	.14	-	 < 0.01	1.00E00
fatty acid metabolic process (GO:0006631)	76	0	.92	-	 < 0.01	1.00E00
reproductive process (GO:0022414)	74	0	.89	-	 < 0.01	1.00E00
ERBB signaling pathway (GO:0038127)	12	0	.14	-	 < 0.01	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	23	0	.28	-	 < 0.01	1.00E00
T cell activation involved in immune response (GO:0002286)	2	0	.02	-	 < 0.01	1.00E00
lymphocyte activation involved in immune response (GO:0002285)	2	0	.02	-	 < 0.01	1.00E00
DNA demethylation (GO:0080111)	5	0	.06	-	 < 0.01	1.00E00
cholesterol transport (GO:0030301)	10	0	.12	-	 < 0.01	1.00E00
macrophage activation involved in immune response (GO:0002281)	1	0	.01	-	 < 0.01	1.00E00
cellular response to endogenous stimulus (GO:0071495)	154	0	1.86	-	 < 0.01	2.68E-01
positive regulation of cation channel activity (GO:2001259)	4	0	.05	-	 < 0.01	1.00E00
response to steroid hormone (GO:0048545)	8	0	.10	-	 < 0.01	1.00E00
skeletal muscle contraction (GO:0003009)	7	0	.08	-	 < 0.01	1.00E00
system process (GO:0003008)	99	0	1.19	-	 < 0.01	6.35E-01
negative regulation of chromosome organization (GO:2001251)	10	0	.12	-	 < 0.01	1.00E00
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	30	0	.36	-	 < 0.01	1.00E00
heart morphogenesis (GO:0003007)	11	0	.13	-	 < 0.01	1.00E00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	.01	-	 < 0.01	1.00E00
protein targeting to mitochondrion (GO:0006626)	19	0	.23	-	 < 0.01	1.00E00
developmental process involved in reproduction (GO:0003006)	25	0	.30	-	 < 0.01	1.00E00
response to unfolded protein (GO:0006986)	19	0	.23	-	 < 0.01	1.00E00
protein targeting to lysosome (GO:0006622)	2	0	.02	-	 < 0.01	1.00E00
negative regulation of cell-cell adhesion (GO:0022408)	7	0	.08	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	28	0	.34	-	 < 0.01	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	51	0	.62	-	 < 0.01	1.00E00
cell cycle process (GO:0022402)	215	0	2.59	-	 < 0.01	1.18E-01
myeloid leukocyte activation (GO:0002274)	2	0	.02	-	 < 0.01	1.00E00
visual system development (GO:0150063)	28	0	.34	-	 < 0.01	1.00E00
cellular response to light stimulus (GO:0071482)	8	0	.10	-	 < 0.01	1.00E00
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	4	0	.05	-	 < 0.01	1.00E00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	7	0	.08	-	 < 0.01	1.00E00
response to oxidative stress (GO:0006979)	22	0	.27	-	 < 0.01	1.00E00
negative regulation of cell cycle phase transition (GO:1901988)	44	0	.53	-	 < 0.01	1.00E00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	7	0	.08	-	 < 0.01	1.00E00
interstrand cross-link repair (GO:0036297)	11	0	.13	-	 < 0.01	1.00E00
regulation of cell cycle phase transition (GO:1901987)	72	0	.87	-	 < 0.01	1.00E00
cotranslational protein targeting to membrane (GO:0006613)	7	0	.08	-	 < 0.01	1.00E00
protein export from nucleus (GO:0006611)	10	0	.12	-	 < 0.01	1.00E00
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	2	0	.02	-	 < 0.01	1.00E00
response to osmotic stress (GO:0006970)	3	0	.04	-	 < 0.01	1.00E00
cell activation involved in immune response (GO:0002263)	3	0	.04	-	 < 0.01	1.00E00
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4	0	.05	-	 < 0.01	1.00E00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	0	.13	-	 < 0.01	1.00E00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	0	.18	-	 < 0.01	1.00E00
positive regulation of apoptotic signaling pathway (GO:2001235)	8	0	.10	-	 < 0.01	1.00E00
negative regulation of apoptotic signaling pathway (GO:2001234)	16	0	.19	-	 < 0.01	1.00E00
regulation of apoptotic signaling pathway (GO:2001233)	24	0	.29	-	 < 0.01	1.00E00
NLS-bearing protein import into nucleus (GO:0006607)	10	0	.12	-	 < 0.01	1.00E00
organic hydroxy compound biosynthetic process (GO:1901617)	41	0	.49	-	 < 0.01	1.00E00
sensory system development (GO:0048880)	28	0	.34	-	 < 0.01	1.00E00
positive regulation of cell motility (GO:2000147)	47	0	.57	-	 < 0.01	1.00E00
G2/M transition of mitotic cell cycle (GO:0000086)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of cell motility (GO:2000146)	10	0	.12	-	 < 0.01	1.00E00
regulation of cell motility (GO:2000145)	89	0	1.07	-	 < 0.01	6.30E-01
cilium movement (GO:0003341)	18	0	.22	-	 < 0.01	1.00E00
G1/S transition of mitotic cell cycle (GO:0000082)	17	0	.21	-	 < 0.01	1.00E00
miRNA processing (GO:0035196)	11	0	.13	-	 < 0.01	1.00E00
amino sugar catabolic process (GO:0046348)	3	0	.04	-	 < 0.01	1.00E00
activation of immune response (GO:0002253)	40	0	.48	-	 < 0.01	1.00E00
protein K48-linked deubiquitination (GO:0071108)	3	0	.04	-	 < 0.01	1.00E00
immune effector process (GO:0002252)	9	0	.11	-	 < 0.01	1.00E00
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	9	0	.11	-	 < 0.01	1.00E00
regulation of GTPase activity (GO:0043087)	66	0	.80	-	 < 0.01	1.00E00
negative regulation of catalytic activity (GO:0043086)	58	0	.70	-	 < 0.01	1.00E00
adaptive immune response (GO:0002250)	8	0	.10	-	 < 0.01	1.00E00
DNA conformation change (GO:0071103)	15	0	.18	-	 < 0.01	1.00E00
spermatid differentiation (GO:0048515)	4	0	.05	-	 < 0.01	1.00E00
blood vessel morphogenesis (GO:0048514)	34	0	.41	-	 < 0.01	1.00E00
humoral immune response (GO:0006959)	7	0	.08	-	 < 0.01	1.00E00
nucleobase-containing compound transport (GO:0015931)	53	0	.64	-	 < 0.01	1.00E00
rhythmic process (GO:0048511)	22	0	.27	-	 < 0.01	1.00E00
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	23	0	.28	-	 < 0.01	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	23	0	.28	-	 < 0.01	1.00E00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	12	0	.14	-	 < 0.01	1.00E00
multicellular organismal-level homeostasis (GO:0048871)	11	0	.13	-	 < 0.01	1.00E00
complement activation (GO:0006956)	4	0	.05	-	 < 0.01	1.00E00
immune response (GO:0006955)	53	0	.64	-	 < 0.01	1.00E00
alpha-amino acid metabolic process (GO:1901605)	72	0	.87	-	 < 0.01	1.00E00
DNA damage checkpoint signaling (GO:0000077)	19	0	.23	-	 < 0.01	1.00E00
regulation of ERK1 and ERK2 cascade (GO:0070372)	16	0	.19	-	 < 0.01	1.00E00
DNA replication checkpoint signaling (GO:0000076)	7	0	.08	-	 < 0.01	1.00E00
inflammatory response (GO:0006954)	19	0	.23	-	 < 0.01	1.00E00
cell cycle checkpoint signaling (GO:0000075)	35	0	.42	-	 < 0.01	1.00E00
defense response (GO:0006952)	53	0	.64	-	 < 0.01	1.00E00
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	6	0	.07	-	 < 0.01	1.00E00
mitotic sister chromatid segregation (GO:0000070)	34	0	.41	-	 < 0.01	1.00E00
hematopoietic progenitor cell differentiation (GO:0002244)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of JNK cascade (GO:0046330)	8	0	.10	-	 < 0.01	1.00E00
syncytium formation (GO:0006949)	3	0	.04	-	 < 0.01	1.00E00
striated muscle contraction (GO:0006941)	18	0	.22	-	 < 0.01	1.00E00
response to molecule of bacterial origin (GO:0002237)	12	0	.14	-	 < 0.01	1.00E00
regulation of JNK cascade (GO:0046328)	11	0	.13	-	 < 0.01	1.00E00
positive regulation of programmed cell death (GO:0043068)	32	0	.39	-	 < 0.01	1.00E00
negative regulation of apoptotic process (GO:0043066)	47	0	.57	-	 < 0.01	1.00E00
positive regulation of apoptotic process (GO:0043065)	31	0	.37	-	 < 0.01	1.00E00
cilium movement involved in cell motility (GO:0060294)	10	0	.12	-	 < 0.01	1.00E00
sterol transport (GO:0015918)	15	0	.18	-	 < 0.01	1.00E00
phospholipid transport (GO:0015914)	30	0	.36	-	 < 0.01	1.00E00
positive regulation of cell differentiation (GO:0045597)	47	0	.57	-	 < 0.01	1.00E00
regulation of cell differentiation (GO:0045595)	86	0	1.04	-	 < 0.01	6.29E-01
inorganic anion transmembrane transport (GO:0098661)	37	0	.45	-	 < 0.01	1.00E00
regulation of muscle contraction (GO:0006937)	7	0	.08	-	 < 0.01	1.00E00
muscle contraction (GO:0006936)	26	0	.31	-	 < 0.01	1.00E00
chemotaxis (GO:0006935)	33	0	.40	-	 < 0.01	1.00E00
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	3	0	.04	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity (GO:2000116)	20	0	.24	-	 < 0.01	1.00E00
ribosomal subunit export from nucleus (GO:0000054)	8	0	.10	-	 < 0.01	1.00E00
pyridine-containing compound metabolic process (GO:0072524)	28	0	.34	-	 < 0.01	1.00E00
purine-containing compound catabolic process (GO:0072523)	22	0	.27	-	 < 0.01	1.00E00
endoplasmic reticulum unfolded protein response (GO:0030968)	18	0	.22	-	 < 0.01	1.00E00
toll-like receptor signaling pathway (GO:0002224)	4	0	.05	-	 < 0.01	1.00E00
pattern recognition receptor signaling pathway (GO:0002221)	11	0	.13	-	 < 0.01	1.00E00
cilium-dependent cell motility (GO:0060285)	12	0	.14	-	 < 0.01	1.00E00
regulation of cell development (GO:0060284)	46	0	.55	-	 < 0.01	1.00E00
long-chain fatty acid transport (GO:0015909)	3	0	.04	-	 < 0.01	1.00E00
fatty acid transport (GO:0015908)	18	0	.22	-	 < 0.01	1.00E00
monoatomic anion transmembrane transport (GO:0098656)	37	0	.45	-	 < 0.01	1.00E00
transition metal ion transport (GO:0000041)	31	0	.37	-	 < 0.01	1.00E00
activation of innate immune response (GO:0002218)	12	0	.14	-	 < 0.01	1.00E00
negative regulation of peptidase activity (GO:0010466)	22	0	.27	-	 < 0.01	1.00E00
endoplasmic reticulum tubular network organization (GO:0071786)	9	0	.11	-	 < 0.01	1.00E00
centrosome duplication (GO:0051298)	10	0	.12	-	 < 0.01	1.00E00
male sex differentiation (GO:0046661)	1	0	.01	-	 < 0.01	1.00E00
protein localization to Golgi apparatus (GO:0034067)	9	0	.11	-	 < 0.01	1.00E00
inner ear development (GO:0048839)	2	0	.02	-	 < 0.01	1.00E00
establishment of spindle orientation (GO:0051294)	10	0	.12	-	 < 0.01	1.00E00
cell-cell junction organization (GO:0045216)	38	0	.46	-	 < 0.01	1.00E00
establishment of spindle localization (GO:0051293)	17	0	.21	-	 < 0.01	1.00E00
sarcomere organization (GO:0045214)	15	0	.18	-	 < 0.01	1.00E00
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	12	0	.14	-	 < 0.01	1.00E00
apoptotic process (GO:0006915)	53	0	.64	-	 < 0.01	1.00E00
phagocytosis, engulfment (GO:0006911)	5	0	.06	-	 < 0.01	1.00E00
pyridine nucleotide metabolic process (GO:0019362)	27	0	.33	-	 < 0.01	1.00E00
protein N-linked glycosylation via asparagine (GO:0018279)	10	0	.12	-	 < 0.01	1.00E00
cellular response to organonitrogen compound (GO:0071417)	43	0	.52	-	 < 0.01	1.00E00
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	2	0	.02	-	 < 0.01	1.00E00
somatic diversification of immune receptors (GO:0002200)	2	0	.02	-	 < 0.01	1.00E00
response to fibroblast growth factor (GO:0071774)	24	0	.29	-	 < 0.01	1.00E00
regulation of macrophage activation (GO:0043030)	1	0	.01	-	 < 0.01	1.00E00
cellular response to BMP stimulus (GO:0071773)	15	0	.18	-	 < 0.01	1.00E00
response to BMP (GO:0071772)	15	0	.18	-	 < 0.01	1.00E00
triglyceride homeostasis (GO:0070328)	5	0	.06	-	 < 0.01	1.00E00
phagocytosis (GO:0006909)	17	0	.21	-	 < 0.01	1.00E00
ribosomal large subunit assembly (GO:0000027)	8	0	.10	-	 < 0.01	1.00E00
spliceosomal snRNP assembly (GO:0000387)	13	0	.16	-	 < 0.01	1.00E00
vesicle targeting (GO:0006903)	6	0	.07	-	 < 0.01	1.00E00
