PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(327)	(expected)	(over/under)	(fold Enrichment)	P-value
toll-like receptor 4 signaling pathway (GO:0034142)	5	0	.14	-	 < 0.01	1.00E00
isoprenoid biosynthetic process (GO:0008299)	11	0	.30	-	 < 0.01	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	4	0	.11	-	 < 0.01	1.00E00
mitotic nuclear division (GO:0140014)	41	0	1.13	-	 < 0.01	6.30E-01
meiotic nuclear division (GO:0140013)	33	0	.91	-	 < 0.01	1.00E00
maturation of LSU-rRNA (GO:0000470)	17	0	.47	-	 < 0.01	1.00E00
snRNA processing (GO:0016180)	19	0	.52	-	 < 0.01	1.00E00
bone development (GO:0060348)	7	0	.19	-	 < 0.01	1.00E00
pigmentation (GO:0043473)	13	0	.36	-	 < 0.01	1.00E00
regulation of cell growth (GO:0001558)	11	0	.30	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	.25	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	.28	-	 < 0.01	1.00E00
insulin receptor signaling pathway (GO:0008286)	7	0	.19	-	 < 0.01	1.00E00
negative regulation of sister chromatid segregation (GO:0033046)	9	0	.25	-	 < 0.01	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	7	0	.19	-	 < 0.01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	14	0	.39	-	 < 0.01	1.00E00
regulation of sister chromatid segregation (GO:0033045)	19	0	.52	-	 < 0.01	1.00E00
regulation of chromosome organization (GO:0033044)	30	0	.83	-	 < 0.01	1.00E00
cell population proliferation (GO:0008283)	7	0	.19	-	 < 0.01	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	11	0	.30	-	 < 0.01	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	17	0	.47	-	 < 0.01	1.00E00
triglyceride catabolic process (GO:0019433)	3	0	.08	-	 < 0.01	1.00E00
triglyceride biosynthetic process (GO:0019432)	10	0	.28	-	 < 0.01	1.00E00
maturation of 5.8S rRNA (GO:0000460)	15	0	.41	-	 < 0.01	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	4	0	.11	-	 < 0.01	1.00E00
type I interferon-mediated signaling pathway (GO:0060337)	2	0	.06	-	 < 0.01	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	.06	-	 < 0.01	1.00E00
positive regulation of myeloid cell differentiation (GO:0045639)	4	0	.11	-	 < 0.01	1.00E00
regulation of myeloid cell differentiation (GO:0045637)	6	0	.17	-	 < 0.01	1.00E00
negative regulation of lyase activity (GO:0051350)	2	0	.06	-	 < 0.01	1.00E00
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	17	0	.47	-	 < 0.01	1.00E00
non-canonical Wnt signaling pathway (GO:0035567)	26	0	.72	-	 < 0.01	1.00E00
cell chemotaxis (GO:0060326)	16	0	.44	-	 < 0.01	1.00E00
regulation of phospholipase activity (GO:0010517)	1	0	.03	-	 < 0.01	1.00E00
positive regulation of lyase activity (GO:0051349)	9	0	.25	-	 < 0.01	1.00E00
head development (GO:0060322)	44	0	1.21	-	 < 0.01	6.35E-01
cilium or flagellum-dependent cell motility (GO:0001539)	14	0	.39	-	 < 0.01	1.00E00
tricarboxylic acid cycle (GO:0006099)	16	0	.44	-	 < 0.01	1.00E00
glycolytic process (GO:0006096)	16	0	.44	-	 < 0.01	1.00E00
retina homeostasis (GO:0001895)	2	0	.06	-	 < 0.01	1.00E00
tissue homeostasis (GO:0001894)	4	0	.11	-	 < 0.01	1.00E00
snRNA 3'-end processing (GO:0034472)	17	0	.47	-	 < 0.01	1.00E00
amino acid import across plasma membrane (GO:0089718)	9	0	.25	-	 < 0.01	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	2	0	.06	-	 < 0.01	1.00E00
negative regulation of autophagy (GO:0010507)	9	0	.25	-	 < 0.01	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	14	0	.39	-	 < 0.01	1.00E00
regulation of lyase activity (GO:0051339)	12	0	.33	-	 < 0.01	1.00E00
homotypic cell-cell adhesion (GO:0034109)	7	0	.19	-	 < 0.01	1.00E00
protein-DNA complex organization (GO:0071824)	118	0	3.25	-	 < 0.01	8.08E-02
liver development (GO:0001889)	2	0	.06	-	 < 0.01	1.00E00
regulation of tissue remodeling (GO:0034103)	3	0	.08	-	 < 0.01	1.00E00
retinoid metabolic process (GO:0001523)	5	0	.14	-	 < 0.01	1.00E00
regulation of autophagosome maturation (GO:1901096)	5	0	.14	-	 < 0.01	1.00E00
pseudouridine synthesis (GO:0001522)	11	0	.30	-	 < 0.01	1.00E00
tetrapyrrole metabolic process (GO:0033013)	12	0	.33	-	 < 0.01	1.00E00
negative regulation of cell adhesion (GO:0007162)	10	0	.28	-	 < 0.01	1.00E00
cell-matrix adhesion (GO:0007160)	30	0	.83	-	 < 0.01	1.00E00
response to peptide hormone (GO:0043434)	30	0	.83	-	 < 0.01	1.00E00
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	.22	-	 < 0.01	1.00E00
meiotic cell cycle (GO:0051321)	51	0	1.40	-	 < 0.01	4.05E-01
glycerol-3-phosphate metabolic process (GO:0006072)	5	0	.14	-	 < 0.01	1.00E00
secretory granule organization (GO:0033363)	2	0	.06	-	 < 0.01	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	1	0	.03	-	 < 0.01	1.00E00
positive regulation of protein polymerization (GO:0032273)	13	0	.36	-	 < 0.01	1.00E00
protein transmembrane transport (GO:0071806)	27	0	.74	-	 < 0.01	1.00E00
negative regulation of protein polymerization (GO:0032272)	22	0	.61	-	 < 0.01	1.00E00
regulation of protein polymerization (GO:0032271)	48	0	1.32	-	 < 0.01	6.44E-01
action potential (GO:0001508)	33	0	.91	-	 < 0.01	1.00E00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	.14	-	 < 0.01	1.00E00
substrate adhesion-dependent cell spreading (GO:0034446)	13	0	.36	-	 < 0.01	1.00E00
ossification (GO:0001503)	13	0	.36	-	 < 0.01	1.00E00
metaphase chromosome alignment (GO:0051310)	9	0	.25	-	 < 0.01	1.00E00
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	.08	-	 < 0.01	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	.06	-	 < 0.01	1.00E00
muscle cell differentiation (GO:0042692)	40	0	1.10	-	 < 0.01	6.29E-01
phytosteroid metabolic process (GO:0016128)	1	0	.03	-	 < 0.01	1.00E00
secondary metabolic process (GO:0019748)	5	0	.14	-	 < 0.01	1.00E00
sterol biosynthetic process (GO:0016126)	12	0	.33	-	 < 0.01	1.00E00
regulation of Notch signaling pathway (GO:0008593)	12	0	.33	-	 < 0.01	1.00E00
sterol metabolic process (GO:0016125)	21	0	.58	-	 < 0.01	1.00E00
cytosolic transport (GO:0016482)	35	0	.96	-	 < 0.01	1.00E00
male meiotic nuclear division (GO:0007140)	4	0	.11	-	 < 0.01	1.00E00
macromolecule glycosylation (GO:0043413)	88	0	2.42	-	 < 0.01	1.80E-01
telomere maintenance via telomere lengthening (GO:0010833)	8	0	.22	-	 < 0.01	1.00E00
mitotic sister chromatid separation (GO:0051306)	1	0	.03	-	 < 0.01	1.00E00
chromosome separation (GO:0051304)	3	0	.08	-	 < 0.01	1.00E00
response to radiation (GO:0009314)	30	0	.83	-	 < 0.01	1.00E00
establishment of chromosome localization (GO:0051303)	13	0	.36	-	 < 0.01	1.00E00
regulation of cell division (GO:0051302)	7	0	.19	-	 < 0.01	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	2	0	.06	-	 < 0.01	1.00E00
negative regulation of phosphorylation (GO:0042326)	33	0	.91	-	 < 0.01	1.00E00
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	0	.08	-	 < 0.01	1.00E00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	.08	-	 < 0.01	1.00E00
carotenoid biosynthetic process (GO:0016117)	1	0	.03	-	 < 0.01	1.00E00
male gonad development (GO:0008584)	1	0	.03	-	 < 0.01	1.00E00
cholesterol efflux (GO:0033344)	8	0	.22	-	 < 0.01	1.00E00
terpenoid biosynthetic process (GO:0016114)	4	0	.11	-	 < 0.01	1.00E00
antimicrobial humoral response (GO:0019730)	1	0	.03	-	 < 0.01	1.00E00
mesoderm development (GO:0007498)	7	0	.19	-	 < 0.01	1.00E00
negative regulation of MAPK cascade (GO:0043409)	24	0	.66	-	 < 0.01	1.00E00
reciprocal meiotic recombination (GO:0007131)	20	0	.55	-	 < 0.01	1.00E00
amine metabolic process (GO:0009308)	18	0	.50	-	 < 0.01	1.00E00
regulation of centrosome duplication (GO:0010824)	6	0	.17	-	 < 0.01	1.00E00
protein secretion (GO:0009306)	19	0	.52	-	 < 0.01	1.00E00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	.08	-	 < 0.01	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	0	.14	-	 < 0.01	1.00E00
regulation of mitochondrion organization (GO:0010821)	10	0	.28	-	 < 0.01	1.00E00
establishment of organelle localization (GO:0051656)	85	0	2.34	-	 < 0.01	1.77E-01
rRNA transcription (GO:0009303)	6	0	.17	-	 < 0.01	1.00E00
rRNA methylation (GO:0031167)	10	0	.28	-	 < 0.01	1.00E00
phagolysosome assembly (GO:0001845)	9	0	.25	-	 < 0.01	1.00E00
spindle localization (GO:0051653)	17	0	.47	-	 < 0.01	1.00E00
negative regulation of phosphate metabolic process (GO:0045936)	37	0	1.02	-	 < 0.01	6.27E-01
maintenance of location in cell (GO:0051651)	18	0	.50	-	 < 0.01	1.00E00
establishment of vesicle localization (GO:0051650)	34	0	.94	-	 < 0.01	1.00E00
amino sugar metabolic process (GO:0006040)	14	0	.39	-	 < 0.01	1.00E00
cell death (GO:0008219)	60	0	1.65	-	 < 0.01	4.15E-01
regulation of blood pressure (GO:0008217)	13	0	.36	-	 < 0.01	1.00E00
positive regulation of mitotic cell cycle (GO:0045931)	15	0	.41	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle (GO:0045930)	37	0	1.02	-	 < 0.01	6.27E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	.25	-	 < 0.01	1.00E00
insulin secretion (GO:0030073)	2	0	.06	-	 < 0.01	1.00E00
homologous chromosome pairing at meiosis (GO:0007129)	6	0	.17	-	 < 0.01	1.00E00
calcium-mediated signaling (GO:0019722)	30	0	.83	-	 < 0.01	1.00E00
peptide hormone secretion (GO:0030072)	3	0	.08	-	 < 0.01	1.00E00
diterpenoid metabolic process (GO:0016101)	5	0	.14	-	 < 0.01	1.00E00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	.44	-	 < 0.01	1.00E00
meiosis I (GO:0007127)	25	0	.69	-	 < 0.01	1.00E00
regulation of hormone levels (GO:0010817)	24	0	.66	-	 < 0.01	1.00E00
vesicle localization (GO:0051648)	35	0	.96	-	 < 0.01	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	5	0	.14	-	 < 0.01	1.00E00
positive regulation of growth (GO:0045927)	4	0	.11	-	 < 0.01	1.00E00
centrosome localization (GO:0051642)	8	0	.22	-	 < 0.01	1.00E00
mitochondrial transcription (GO:0006390)	6	0	.17	-	 < 0.01	1.00E00
reticulophagy (GO:0061709)	8	0	.22	-	 < 0.01	1.00E00
cholesterol metabolic process (GO:0008203)	15	0	.41	-	 < 0.01	1.00E00
cell cycle G2/M phase transition (GO:0044839)	3	0	.08	-	 < 0.01	1.00E00
steroid metabolic process (GO:0008202)	27	0	.74	-	 < 0.01	1.00E00
positive regulation of actin filament bundle assembly (GO:0032233)	7	0	.19	-	 < 0.01	1.00E00
regulation of actin filament bundle assembly (GO:0032231)	10	0	.28	-	 < 0.01	1.00E00
left/right pattern formation (GO:0060972)	2	0	.06	-	 < 0.01	1.00E00
glucose transmembrane transport (GO:1904659)	7	0	.19	-	 < 0.01	1.00E00
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	0	.11	-	 < 0.01	1.00E00
glycosaminoglycan biosynthetic process (GO:0006024)	14	0	.39	-	 < 0.01	1.00E00
aminoglycan biosynthetic process (GO:0006023)	18	0	.50	-	 < 0.01	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	8	0	.22	-	 < 0.01	1.00E00
regulation of monoatomic ion transmembrane transport (GO:0034765)	59	0	1.62	-	 < 0.01	4.13E-01
aminoglycan metabolic process (GO:0006022)	25	0	.69	-	 < 0.01	1.00E00
kidney development (GO:0001822)	8	0	.22	-	 < 0.01	1.00E00
transcription by RNA polymerase III (GO:0006383)	14	0	.39	-	 < 0.01	1.00E00
adenosine to inosine editing (GO:0006382)	4	0	.11	-	 < 0.01	1.00E00
regulation of transmembrane transport (GO:0034762)	69	0	1.90	-	 < 0.01	2.67E-01
mitotic DNA replication checkpoint signaling (GO:0033314)	3	0	.08	-	 < 0.01	1.00E00
somatic cell DNA recombination (GO:0016444)	2	0	.06	-	 < 0.01	1.00E00
mRNA polyadenylation (GO:0006378)	5	0	.14	-	 < 0.01	1.00E00
response to toxic substance (GO:0009636)	8	0	.22	-	 < 0.01	1.00E00
cytokine production (GO:0001816)	5	0	.14	-	 < 0.01	1.00E00
mRNA splice site recognition (GO:0006376)	12	0	.33	-	 < 0.01	1.00E00
negative regulation of chromosome segregation (GO:0051985)	9	0	.25	-	 < 0.01	1.00E00
iron ion transmembrane transport (GO:0034755)	5	0	.14	-	 < 0.01	1.00E00
regulation of chromosome segregation (GO:0051983)	21	0	.58	-	 < 0.01	1.00E00
DNA double-strand break processing (GO:0000729)	4	0	.11	-	 < 0.01	1.00E00
epidermis development (GO:0008544)	4	0	.11	-	 < 0.01	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	12	0	.33	-	 < 0.01	1.00E00
fibroblast growth factor receptor signaling pathway (GO:0008543)	24	0	.66	-	 < 0.01	1.00E00
actin filament depolymerization (GO:0030042)	8	0	.22	-	 < 0.01	1.00E00
actin filament polymerization (GO:0030041)	10	0	.28	-	 < 0.01	1.00E00
regulation of peptide hormone secretion (GO:0090276)	5	0	.14	-	 < 0.01	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	.25	-	 < 0.01	1.00E00
organelle fission (GO:0048285)	81	0	2.23	-	 < 0.01	1.76E-01
glucose metabolic process (GO:0006006)	17	0	.47	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase II (GO:0006368)	9	0	.25	-	 < 0.01	1.00E00
cell-cell recognition (GO:0009988)	1	0	.03	-	 < 0.01	1.00E00
regulation of potassium ion transmembrane transport (GO:1901379)	14	0	.39	-	 < 0.01	1.00E00
rRNA processing (GO:0006364)	81	0	2.23	-	 < 0.01	1.76E-01
mRNA 3'-end processing (GO:0031124)	16	0	.44	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase I (GO:0006362)	2	0	.06	-	 < 0.01	1.00E00
cytoplasmic microtubule organization (GO:0031122)	21	0	.58	-	 < 0.01	1.00E00
transcription by RNA polymerase I (GO:0006360)	10	0	.28	-	 < 0.01	1.00E00
lipid homeostasis (GO:0055088)	25	0	.69	-	 < 0.01	1.00E00
cholesterol homeostasis (GO:0042632)	8	0	.22	-	 < 0.01	1.00E00
contractile actin filament bundle assembly (GO:0030038)	5	0	.14	-	 < 0.01	1.00E00
respiratory chain complex IV assembly (GO:0008535)	1	0	.03	-	 < 0.01	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	11	0	.30	-	 < 0.01	1.00E00
regulation of postsynapse organization (GO:0099175)	9	0	.25	-	 < 0.01	1.00E00
postsynapse organization (GO:0099173)	6	0	.17	-	 < 0.01	1.00E00
homologous recombination (GO:0035825)	20	0	.55	-	 < 0.01	1.00E00
regulation of telomere maintenance (GO:0032204)	6	0	.17	-	 < 0.01	1.00E00
quaternary ammonium group transport (GO:0015697)	5	0	.14	-	 < 0.01	1.00E00
organic cation transport (GO:0015695)	6	0	.17	-	 < 0.01	1.00E00
defense response to virus (GO:0051607)	4	0	.11	-	 < 0.01	1.00E00
response to bacterium (GO:0009617)	16	0	.44	-	 < 0.01	1.00E00
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	0	.55	-	 < 0.01	1.00E00
detection of stimulus (GO:0051606)	24	0	.66	-	 < 0.01	1.00E00
response to virus (GO:0009615)	4	0	.11	-	 < 0.01	1.00E00
regulation of transcription by RNA polymerase I (GO:0006356)	4	0	.11	-	 < 0.01	1.00E00
positive regulation of synapse assembly (GO:0051965)	9	0	.25	-	 < 0.01	1.00E00
DNA-templated transcription elongation (GO:0006354)	11	0	.30	-	 < 0.01	1.00E00
response to mechanical stimulus (GO:0009612)	9	0	.25	-	 < 0.01	1.00E00
positive regulation of nervous system development (GO:0051962)	30	0	.83	-	 < 0.01	1.00E00
regulation of actin filament organization (GO:0110053)	60	0	1.65	-	 < 0.01	4.15E-01
regulation of nervous system development (GO:0051960)	48	0	1.32	-	 < 0.01	6.44E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	20	0	.55	-	 < 0.01	1.00E00
sodium ion homeostasis (GO:0055078)	11	0	.30	-	 < 0.01	1.00E00
nervous system process (GO:0050877)	61	0	1.68	-	 < 0.01	4.17E-01
positive regulation of secretion by cell (GO:1903532)	7	0	.19	-	 < 0.01	1.00E00
regulation of muscle system process (GO:0090257)	11	0	.30	-	 < 0.01	1.00E00
nucleosome organization (GO:0034728)	11	0	.30	-	 < 0.01	1.00E00
piecemeal microautophagy of the nucleus (GO:0034727)	16	0	.44	-	 < 0.01	1.00E00
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	.06	-	 < 0.01	1.00E00
negative regulation of T cell activation (GO:0050868)	4	0	.11	-	 < 0.01	1.00E00
negative regulation of cell activation (GO:0050866)	6	0	.17	-	 < 0.01	1.00E00
response to lipid (GO:0033993)	34	0	.94	-	 < 0.01	1.00E00
adenosine metabolic process (GO:0046085)	4	0	.11	-	 < 0.01	1.00E00
establishment of cell polarity (GO:0030010)	22	0	.61	-	 < 0.01	1.00E00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	.17	-	 < 0.01	1.00E00
sensory organ development (GO:0007423)	46	0	1.27	-	 < 0.01	6.39E-01
peripheral nervous system development (GO:0007422)	2	0	.06	-	 < 0.01	1.00E00
brain development (GO:0007420)	44	0	1.21	-	 < 0.01	6.35E-01
mitochondrial translation (GO:0032543)	12	0	.33	-	 < 0.01	1.00E00
chromatin remodeling (GO:0006338)	93	0	2.56	-	 < 0.01	1.87E-01
nucleosome assembly (GO:0006334)	9	0	.25	-	 < 0.01	1.00E00
cholesterol biosynthetic process (GO:0006695)	7	0	.19	-	 < 0.01	1.00E00
dorsal/ventral pattern formation (GO:0009953)	7	0	.19	-	 < 0.01	1.00E00
steroid biosynthetic process (GO:0006694)	15	0	.41	-	 < 0.01	1.00E00
anterior/posterior pattern specification (GO:0009952)	38	0	1.05	-	 < 0.01	6.27E-01
regulation of systemic arterial blood pressure (GO:0003073)	9	0	.25	-	 < 0.01	1.00E00
prostaglandin metabolic process (GO:0006693)	5	0	.14	-	 < 0.01	1.00E00
icosanoid metabolic process (GO:0006690)	10	0	.28	-	 < 0.01	1.00E00
regulation of cell adhesion mediated by integrin (GO:0033628)	5	0	.14	-	 < 0.01	1.00E00
cell adhesion mediated by integrin (GO:0033627)	21	0	.58	-	 < 0.01	1.00E00
B cell receptor signaling pathway (GO:0050853)	9	0	.25	-	 < 0.01	1.00E00
T cell receptor signaling pathway (GO:0050852)	17	0	.47	-	 < 0.01	1.00E00
antigen receptor-mediated signaling pathway (GO:0050851)	22	0	.61	-	 < 0.01	1.00E00
lytic vacuole organization (GO:0080171)	14	0	.39	-	 < 0.01	1.00E00
synapse assembly (GO:0007416)	23	0	.63	-	 < 0.01	1.00E00
regulation of cellular component size (GO:0032535)	56	0	1.54	-	 < 0.01	4.08E-01
macrophage chemotaxis (GO:0048246)	1	0	.03	-	 < 0.01	1.00E00
sensory organ morphogenesis (GO:0090596)	8	0	.22	-	 < 0.01	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	11	0	.30	-	 < 0.01	1.00E00
chromatin organization (GO:0006325)	100	0	2.75	-	 < 0.01	1.18E-01
sperm capacitation (GO:0048240)	1	0	.03	-	 < 0.01	1.00E00
positive regulation of establishment of protein localization (GO:1904951)	6	0	.17	-	 < 0.01	1.00E00
membrane protein proteolysis (GO:0033619)	14	0	.39	-	 < 0.01	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	.03	-	 < 0.01	1.00E00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	.08	-	 < 0.01	1.00E00
mitotic cytokinetic process (GO:1902410)	2	0	.06	-	 < 0.01	1.00E00
male gamete generation (GO:0048232)	18	0	.50	-	 < 0.01	1.00E00
camera-type eye morphogenesis (GO:0048593)	4	0	.11	-	 < 0.01	1.00E00
eye morphogenesis (GO:0048592)	6	0	.17	-	 < 0.01	1.00E00
regulation of calcium ion transport (GO:0051924)	20	0	.55	-	 < 0.01	1.00E00
mitotic recombination (GO:0006312)	6	0	.17	-	 < 0.01	1.00E00
ceramide metabolic process (GO:0006672)	37	0	1.02	-	 < 0.01	6.27E-01
P-body assembly (GO:0033962)	9	0	.25	-	 < 0.01	1.00E00
developmental growth (GO:0048589)	7	0	.19	-	 < 0.01	1.00E00
developmental cell growth (GO:0048588)	5	0	.14	-	 < 0.01	1.00E00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	0	.52	-	 < 0.01	1.00E00
DNA catabolic process (GO:0006308)	4	0	.11	-	 < 0.01	1.00E00
cellular response to hormone stimulus (GO:0032870)	63	0	1.73	-	 < 0.01	4.22E-01
DNA methylation (GO:0006306)	5	0	.14	-	 < 0.01	1.00E00
DNA alkylation (GO:0006305)	5	0	.14	-	 < 0.01	1.00E00
double-strand break repair via nonhomologous end joining (GO:0006303)	16	0	.44	-	 < 0.01	1.00E00
dipeptide transport (GO:0042938)	2	0	.06	-	 < 0.01	1.00E00
vesicle transport along microtubule (GO:0047496)	16	0	.44	-	 < 0.01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	1	0	.03	-	 < 0.01	1.00E00
negative regulation of cell migration (GO:0030336)	10	0	.28	-	 < 0.01	1.00E00
protein stabilization (GO:0050821)	12	0	.33	-	 < 0.01	1.00E00
microtubule-based transport (GO:0099111)	53	0	1.46	-	 < 0.01	4.06E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	24	0	.66	-	 < 0.01	1.00E00
DNA duplex unwinding (GO:0032508)	12	0	.33	-	 < 0.01	1.00E00
cellular response to insulin stimulus (GO:0032869)	16	0	.44	-	 < 0.01	1.00E00
cytokinetic process (GO:0032506)	10	0	.28	-	 < 0.01	1.00E00
response to insulin (GO:0032868)	18	0	.50	-	 < 0.01	1.00E00
IMP metabolic process (GO:0046040)	9	0	.25	-	 < 0.01	1.00E00
multicellular organism reproduction (GO:0032504)	29	0	.80	-	 < 0.01	1.00E00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	0	.44	-	 < 0.01	1.00E00
hormone transport (GO:0009914)	3	0	.08	-	 < 0.01	1.00E00
epidermal cell differentiation (GO:0009913)	2	0	.06	-	 < 0.01	1.00E00
negative regulation of coagulation (GO:0050819)	5	0	.14	-	 < 0.01	1.00E00
ATP metabolic process (GO:0046034)	18	0	.50	-	 < 0.01	1.00E00
embryonic organ development (GO:0048568)	28	0	.77	-	 < 0.01	1.00E00
triglyceride metabolic process (GO:0006641)	16	0	.44	-	 < 0.01	1.00E00
cellular response to peptide (GO:1901653)	25	0	.69	-	 < 0.01	1.00E00
response to peptide (GO:1901652)	30	0	.83	-	 < 0.01	1.00E00
negative regulation of protein modification process (GO:0031400)	43	0	1.18	-	 < 0.01	6.33E-01
cardiac muscle cell differentiation (GO:0055007)	7	0	.19	-	 < 0.01	1.00E00
regulation of synapse organization (GO:0050807)	18	0	.50	-	 < 0.01	1.00E00
melanocyte differentiation (GO:0030318)	1	0	.03	-	 < 0.01	1.00E00
flagellated sperm motility (GO:0030317)	1	0	.03	-	 < 0.01	1.00E00
striated muscle cell development (GO:0055002)	25	0	.69	-	 < 0.01	1.00E00
regulation of synapse structure or activity (GO:0050803)	19	0	.52	-	 < 0.01	1.00E00
osteoclast differentiation (GO:0030316)	4	0	.11	-	 < 0.01	1.00E00
muscle cell development (GO:0055001)	34	0	.94	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	0	.08	-	 < 0.01	1.00E00
acylglycerol metabolic process (GO:0006639)	22	0	.61	-	 < 0.01	1.00E00
neutral lipid metabolic process (GO:0006638)	22	0	.61	-	 < 0.01	1.00E00
acyl-CoA metabolic process (GO:0006637)	17	0	.47	-	 < 0.01	1.00E00
nuclear envelope organization (GO:0006998)	9	0	.25	-	 < 0.01	1.00E00
nucleus organization (GO:0006997)	14	0	.39	-	 < 0.01	1.00E00
heart process (GO:0003015)	20	0	.55	-	 < 0.01	1.00E00
mRNA cis splicing, via spliceosome (GO:0045292)	4	0	.11	-	 < 0.01	1.00E00
circulatory system process (GO:0003013)	42	0	1.16	-	 < 0.01	6.31E-01
reproductive process (GO:0022414)	77	0	2.12	-	 < 0.01	2.78E-01
ERBB signaling pathway (GO:0038127)	15	0	.41	-	 < 0.01	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	23	0	.63	-	 < 0.01	1.00E00
clathrin-dependent endocytosis (GO:0072583)	11	0	.30	-	 < 0.01	1.00E00
T cell activation involved in immune response (GO:0002286)	2	0	.06	-	 < 0.01	1.00E00
lymphocyte activation involved in immune response (GO:0002285)	2	0	.06	-	 < 0.01	1.00E00
cholesterol transport (GO:0030301)	11	0	.30	-	 < 0.01	1.00E00
macrophage activation involved in immune response (GO:0002281)	1	0	.03	-	 < 0.01	1.00E00
positive regulation of cation channel activity (GO:2001259)	5	0	.14	-	 < 0.01	1.00E00
response to steroid hormone (GO:0048545)	8	0	.22	-	 < 0.01	1.00E00
skeletal muscle contraction (GO:0003009)	8	0	.22	-	 < 0.01	1.00E00
negative regulation of chromosome organization (GO:2001251)	10	0	.28	-	 < 0.01	1.00E00
heart morphogenesis (GO:0003007)	12	0	.33	-	 < 0.01	1.00E00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	.03	-	 < 0.01	1.00E00
protein targeting to mitochondrion (GO:0006626)	18	0	.50	-	 < 0.01	1.00E00
developmental process involved in reproduction (GO:0003006)	26	0	.72	-	 < 0.01	1.00E00
response to unfolded protein (GO:0006986)	19	0	.52	-	 < 0.01	1.00E00
protein targeting to vacuole (GO:0006623)	13	0	.36	-	 < 0.01	1.00E00
regionalization (GO:0003002)	47	0	1.29	-	 < 0.01	6.41E-01
protein targeting to lysosome (GO:0006622)	2	0	.06	-	 < 0.01	1.00E00
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	7	0	.19	-	 < 0.01	1.00E00
negative regulation of cell-cell adhesion (GO:0022408)	7	0	.19	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	29	0	.80	-	 < 0.01	1.00E00
