PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(457)	(expected)	(over/under)	(fold Enrichment)	P-value
ncRNA transcription (GO:0098781)	14	0	.54	-	 < 0.01	1.00E00
receptor signaling pathway via STAT (GO:0097696)	8	0	.31	-	 < 0.01	1.00E00
cardiac muscle contraction (GO:0060048)	15	0	.58	-	 < 0.01	1.00E00
heart contraction (GO:0060047)	19	0	.73	-	 < 0.01	1.00E00
synaptic vesicle cycle (GO:0099504)	49	0	1.88	-	 < 0.01	2.64E-01
response to transforming growth factor beta (GO:0071559)	20	0	.77	-	 < 0.01	1.00E00
vesicle fusion to plasma membrane (GO:0099500)	6	0	.23	-	 < 0.01	1.00E00
retina development in camera-type eye (GO:0060041)	1	0	.04	-	 < 0.01	1.00E00
peptide catabolic process (GO:0043171)	10	0	.38	-	 < 0.01	1.00E00
reproductive structure development (GO:0048608)	2	0	.08	-	 < 0.01	1.00E00
aromatic amino acid family catabolic process (GO:0009074)	9	0	.35	-	 < 0.01	1.00E00
aromatic amino acid metabolic process (GO:0009072)	12	0	.46	-	 < 0.01	1.00E00
regulation of immune effector process (GO:0002697)	5	0	.19	-	 < 0.01	1.00E00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	2	0	.08	-	 < 0.01	1.00E00
negative regulation of leukocyte activation (GO:0002695)	6	0	.23	-	 < 0.01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	10	0	.38	-	 < 0.01	1.00E00
positive regulation of leukocyte chemotaxis (GO:0002690)	8	0	.31	-	 < 0.01	1.00E00
aspartate family amino acid biosynthetic process (GO:0009067)	8	0	.31	-	 < 0.01	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	11	0	.42	-	 < 0.01	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	13	0	.50	-	 < 0.01	1.00E00
amino acid catabolic process (GO:0009063)	31	0	1.19	-	 < 0.01	6.32E-01
regulation of DNA metabolic process (GO:0051052)	34	0	1.31	-	 < 0.01	6.41E-01
aerobic respiration (GO:0009060)	28	0	1.08	-	 < 0.01	6.26E-01
cellular respiration (GO:0045333)	33	0	1.27	-	 < 0.01	6.38E-01
rRNA modification (GO:0000154)	17	0	.65	-	 < 0.01	1.00E00
protein O-linked mannosylation (GO:0035269)	5	0	.19	-	 < 0.01	1.00E00
protein mannosylation (GO:0035268)	8	0	.31	-	 < 0.01	1.00E00
positive regulation of leukocyte migration (GO:0002687)	12	0	.46	-	 < 0.01	1.00E00
regulation of leukocyte migration (GO:0002685)	15	0	.58	-	 < 0.01	1.00E00
DNA biosynthetic process (GO:0071897)	19	0	.73	-	 < 0.01	1.00E00
detoxification (GO:0098754)	6	0	.23	-	 < 0.01	1.00E00
late endosome to vacuole transport (GO:0045324)	27	0	1.04	-	 < 0.01	6.25E-01
gliogenesis (GO:0042063)	16	0	.61	-	 < 0.01	1.00E00
leukocyte activation (GO:0045321)	18	0	.69	-	 < 0.01	1.00E00
stress fiber assembly (GO:0043149)	5	0	.19	-	 < 0.01	1.00E00
regulation of double-strand break repair via homologous recombination (GO:0010569)	6	0	.23	-	 < 0.01	1.00E00
positive regulation of phosphorus metabolic process (GO:0010562)	116	0	4.46	-	 < 0.01	2.41E-02
neuron projection extension (GO:1990138)	5	0	.19	-	 < 0.01	1.00E00
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	68	0	2.61	-	 < 0.01	1.15E-01
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	.04	-	 < 0.01	1.00E00
reproductive system development (GO:0061458)	2	0	.08	-	 < 0.01	1.00E00
establishment of mitotic spindle orientation (GO:0000132)	9	0	.35	-	 < 0.01	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	17	0	.65	-	 < 0.01	1.00E00
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	0	.31	-	 < 0.01	1.00E00
phospholipid catabolic process (GO:0009395)	12	0	.46	-	 < 0.01	1.00E00
kinetochore organization (GO:0051383)	8	0	.31	-	 < 0.01	1.00E00
kinetochore assembly (GO:0051382)	6	0	.23	-	 < 0.01	1.00E00
fluid transport (GO:0042044)	7	0	.27	-	 < 0.01	1.00E00
vasculogenesis (GO:0001570)	4	0	.15	-	 < 0.01	1.00E00
exocytic process (GO:0140029)	13	0	.50	-	 < 0.01	1.00E00
RNA stabilization (GO:0043489)	14	0	.54	-	 < 0.01	1.00E00
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	.19	-	 < 0.01	1.00E00
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	22	0	.85	-	 < 0.01	1.00E00
regulation of canonical NF-kappaB signal transduction (GO:0043122)	31	0	1.19	-	 < 0.01	6.32E-01
barbed-end actin filament capping (GO:0051016)	17	0	.65	-	 < 0.01	1.00E00
toll-like receptor 4 signaling pathway (GO:0034142)	5	0	.19	-	 < 0.01	1.00E00
isoprenoid biosynthetic process (GO:0008299)	11	0	.42	-	 < 0.01	1.00E00
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	4	0	.15	-	 < 0.01	1.00E00
regulation of membrane potential (GO:0042391)	95	0	3.65	-	 < 0.01	5.33E-02
maturation of LSU-rRNA (GO:0000470)	17	0	.65	-	 < 0.01	1.00E00
bone development (GO:0060348)	7	0	.27	-	 < 0.01	1.00E00
regulation of protein localization to membrane (GO:1905475)	10	0	.38	-	 < 0.01	1.00E00
receptor clustering (GO:0043113)	8	0	.31	-	 < 0.01	1.00E00
pigmentation (GO:0043473)	13	0	.50	-	 < 0.01	1.00E00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	.35	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	.38	-	 < 0.01	1.00E00
insulin receptor signaling pathway (GO:0008286)	7	0	.27	-	 < 0.01	1.00E00
negative regulation of sister chromatid segregation (GO:0033046)	9	0	.35	-	 < 0.01	1.00E00
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	7	0	.27	-	 < 0.01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	14	0	.54	-	 < 0.01	1.00E00
regulation of sister chromatid segregation (GO:0033045)	19	0	.73	-	 < 0.01	1.00E00
positive regulation of cell population proliferation (GO:0008284)	62	0	2.38	-	 < 0.01	1.77E-01
regulation of chromosome organization (GO:0033044)	30	0	1.15	-	 < 0.01	6.30E-01
cell population proliferation (GO:0008283)	7	0	.27	-	 < 0.01	1.00E00
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	11	0	.42	-	 < 0.01	1.00E00
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	17	0	.65	-	 < 0.01	1.00E00
triglyceride catabolic process (GO:0019433)	3	0	.12	-	 < 0.01	1.00E00
triglyceride biosynthetic process (GO:0019432)	10	0	.38	-	 < 0.01	1.00E00
maturation of 5.8S rRNA (GO:0000460)	15	0	.58	-	 < 0.01	1.00E00
secondary metabolite biosynthetic process (GO:0044550)	4	0	.15	-	 < 0.01	1.00E00
type I interferon-mediated signaling pathway (GO:0060337)	2	0	.08	-	 < 0.01	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	.08	-	 < 0.01	1.00E00
positive regulation of myeloid cell differentiation (GO:0045639)	4	0	.15	-	 < 0.01	1.00E00
negative regulation of lyase activity (GO:0051350)	2	0	.08	-	 < 0.01	1.00E00
non-canonical Wnt signaling pathway (GO:0035567)	26	0	1.00	-	 < 0.01	6.24E-01
regulation of phospholipase activity (GO:0010517)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of lyase activity (GO:0051349)	9	0	.35	-	 < 0.01	1.00E00
head development (GO:0060322)	44	0	1.69	-	 < 0.01	4.16E-01
positive regulation of transferase activity (GO:0051347)	72	0	2.77	-	 < 0.01	1.17E-01
tricarboxylic acid cycle (GO:0006099)	16	0	.61	-	 < 0.01	1.00E00
glycolytic process (GO:0006096)	16	0	.61	-	 < 0.01	1.00E00
retina homeostasis (GO:0001895)	2	0	.08	-	 < 0.01	1.00E00
tissue homeostasis (GO:0001894)	4	0	.15	-	 < 0.01	1.00E00
amino acid import across plasma membrane (GO:0089718)	9	0	.35	-	 < 0.01	1.00E00
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	2	0	.08	-	 < 0.01	1.00E00
transforming growth factor beta receptor signaling pathway (GO:0007179)	20	0	.77	-	 < 0.01	1.00E00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	31	0	1.19	-	 < 0.01	6.32E-01
positive regulation of autophagy (GO:0010508)	16	0	.61	-	 < 0.01	1.00E00
negative regulation of autophagy (GO:0010507)	9	0	.35	-	 < 0.01	1.00E00
epidermal growth factor receptor signaling pathway (GO:0007173)	14	0	.54	-	 < 0.01	1.00E00
regulation of autophagy (GO:0010506)	35	0	1.34	-	 < 0.01	6.45E-01
protein-RNA complex organization (GO:0071826)	71	0	2.73	-	 < 0.01	1.16E-01
regulation of lyase activity (GO:0051339)	12	0	.46	-	 < 0.01	1.00E00
homotypic cell-cell adhesion (GO:0034109)	7	0	.27	-	 < 0.01	1.00E00
liver development (GO:0001889)	2	0	.08	-	 < 0.01	1.00E00
retinoid metabolic process (GO:0001523)	5	0	.19	-	 < 0.01	1.00E00
regulation of autophagosome maturation (GO:1901096)	5	0	.19	-	 < 0.01	1.00E00
pseudouridine synthesis (GO:0001522)	11	0	.42	-	 < 0.01	1.00E00
tetrapyrrole metabolic process (GO:0033013)	12	0	.46	-	 < 0.01	1.00E00
negative regulation of cell adhesion (GO:0007162)	10	0	.38	-	 < 0.01	1.00E00
response to peptide hormone (GO:0043434)	30	0	1.15	-	 < 0.01	6.30E-01
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	.31	-	 < 0.01	1.00E00
glycerol-3-phosphate metabolic process (GO:0006072)	5	0	.19	-	 < 0.01	1.00E00
mitophagy (GO:0000423)	11	0	.42	-	 < 0.01	1.00E00
secretory granule organization (GO:0033363)	2	0	.08	-	 < 0.01	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	1	0	.04	-	 < 0.01	1.00E00
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	0	.58	-	 < 0.01	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	25	0	.96	-	 < 0.01	6.24E-01
negative regulation of protein polymerization (GO:0032272)	22	0	.85	-	 < 0.01	1.00E00
action potential (GO:0001508)	33	0	1.27	-	 < 0.01	6.38E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	.19	-	 < 0.01	1.00E00
ossification (GO:0001503)	13	0	.50	-	 < 0.01	1.00E00
skeletal system development (GO:0001501)	39	0	1.50	-	 < 0.01	4.04E-01
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	.12	-	 < 0.01	1.00E00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	.08	-	 < 0.01	1.00E00
myeloid cell differentiation (GO:0030099)	10	0	.38	-	 < 0.01	1.00E00
muscle cell differentiation (GO:0042692)	40	0	1.54	-	 < 0.01	4.06E-01
phytosteroid metabolic process (GO:0016128)	1	0	.04	-	 < 0.01	1.00E00
secondary metabolic process (GO:0019748)	5	0	.19	-	 < 0.01	1.00E00
lymphocyte differentiation (GO:0030098)	10	0	.38	-	 < 0.01	1.00E00
hemopoiesis (GO:0030097)	27	0	1.04	-	 < 0.01	6.25E-01
sterol biosynthetic process (GO:0016126)	12	0	.46	-	 < 0.01	1.00E00
regulation of Notch signaling pathway (GO:0008593)	12	0	.46	-	 < 0.01	1.00E00
sterol metabolic process (GO:0016125)	21	0	.81	-	 < 0.01	1.00E00
mitotic sister chromatid separation (GO:0051306)	1	0	.04	-	 < 0.01	1.00E00
chromosome separation (GO:0051304)	3	0	.12	-	 < 0.01	1.00E00
regulation of cell division (GO:0051302)	7	0	.27	-	 < 0.01	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	2	0	.08	-	 < 0.01	1.00E00
positive regulation of phosphorylation (GO:0042327)	112	0	4.30	-	 < 0.01	2.31E-02
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	0	.12	-	 < 0.01	1.00E00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	.12	-	 < 0.01	1.00E00
carotenoid biosynthetic process (GO:0016117)	1	0	.04	-	 < 0.01	1.00E00
male gonad development (GO:0008584)	1	0	.04	-	 < 0.01	1.00E00
cholesterol efflux (GO:0033344)	8	0	.31	-	 < 0.01	1.00E00
terpenoid biosynthetic process (GO:0016114)	4	0	.15	-	 < 0.01	1.00E00
antimicrobial humoral response (GO:0019730)	1	0	.04	-	 < 0.01	1.00E00
mesoderm development (GO:0007498)	7	0	.27	-	 < 0.01	1.00E00
negative regulation of MAPK cascade (GO:0043409)	24	0	.92	-	 < 0.01	1.00E00
reciprocal meiotic recombination (GO:0007131)	20	0	.77	-	 < 0.01	1.00E00
regulation of MAP kinase activity (GO:0043405)	20	0	.77	-	 < 0.01	1.00E00
endoderm development (GO:0007492)	7	0	.27	-	 < 0.01	1.00E00
amine metabolic process (GO:0009308)	18	0	.69	-	 < 0.01	1.00E00
regulation of centrosome duplication (GO:0010824)	6	0	.23	-	 < 0.01	1.00E00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	.12	-	 < 0.01	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	0	.19	-	 < 0.01	1.00E00
regulation of mitochondrion organization (GO:0010821)	10	0	.38	-	 < 0.01	1.00E00
rRNA transcription (GO:0009303)	6	0	.23	-	 < 0.01	1.00E00
rRNA methylation (GO:0031167)	10	0	.38	-	 < 0.01	1.00E00
phagolysosome assembly (GO:0001845)	9	0	.35	-	 < 0.01	1.00E00
spindle localization (GO:0051653)	17	0	.65	-	 < 0.01	1.00E00
positive regulation of phosphate metabolic process (GO:0045937)	116	0	4.46	-	 < 0.01	2.41E-02
maintenance of location in cell (GO:0051651)	18	0	.69	-	 < 0.01	1.00E00
amino sugar metabolic process (GO:0006040)	14	0	.54	-	 < 0.01	1.00E00
regulation of blood pressure (GO:0008217)	13	0	.50	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle (GO:0045930)	37	0	1.42	-	 < 0.01	4.03E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	.35	-	 < 0.01	1.00E00
insulin secretion (GO:0030073)	2	0	.08	-	 < 0.01	1.00E00
homologous chromosome pairing at meiosis (GO:0007129)	6	0	.23	-	 < 0.01	1.00E00
peptide hormone secretion (GO:0030072)	3	0	.12	-	 < 0.01	1.00E00
diterpenoid metabolic process (GO:0016101)	5	0	.19	-	 < 0.01	1.00E00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	.61	-	 < 0.01	1.00E00
meiosis I (GO:0007127)	25	0	.96	-	 < 0.01	6.24E-01
regulation of hormone levels (GO:0010817)	24	0	.92	-	 < 0.01	1.00E00
release of cytochrome c from mitochondria (GO:0001836)	5	0	.19	-	 < 0.01	1.00E00
positive regulation of growth (GO:0045927)	4	0	.15	-	 < 0.01	1.00E00
centrosome localization (GO:0051642)	8	0	.31	-	 < 0.01	1.00E00
mitochondrial transcription (GO:0006390)	6	0	.23	-	 < 0.01	1.00E00
reticulophagy (GO:0061709)	8	0	.31	-	 < 0.01	1.00E00
cholesterol metabolic process (GO:0008203)	15	0	.58	-	 < 0.01	1.00E00
cell cycle G2/M phase transition (GO:0044839)	3	0	.12	-	 < 0.01	1.00E00
positive regulation of actin filament bundle assembly (GO:0032233)	7	0	.27	-	 < 0.01	1.00E00
regulation of actin filament bundle assembly (GO:0032231)	10	0	.38	-	 < 0.01	1.00E00
left/right pattern formation (GO:0060972)	2	0	.08	-	 < 0.01	1.00E00
glucose transmembrane transport (GO:1904659)	7	0	.27	-	 < 0.01	1.00E00
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	0	.15	-	 < 0.01	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	8	0	.31	-	 < 0.01	1.00E00
kidney development (GO:0001822)	8	0	.31	-	 < 0.01	1.00E00
transcription by RNA polymerase III (GO:0006383)	14	0	.54	-	 < 0.01	1.00E00
adenosine to inosine editing (GO:0006382)	4	0	.15	-	 < 0.01	1.00E00
negative regulation of DNA recombination (GO:0045910)	5	0	.19	-	 < 0.01	1.00E00
mitotic DNA replication checkpoint signaling (GO:0033314)	3	0	.12	-	 < 0.01	1.00E00
positive regulation of kinase activity (GO:0033674)	71	0	2.73	-	 < 0.01	1.16E-01
DNA synthesis involved in DNA repair (GO:0000731)	13	0	.50	-	 < 0.01	1.00E00
somatic cell DNA recombination (GO:0016444)	2	0	.08	-	 < 0.01	1.00E00
regulation of organelle assembly (GO:1902115)	21	0	.81	-	 < 0.01	1.00E00
L-alpha-amino acid transmembrane transport (GO:1902475)	13	0	.50	-	 < 0.01	1.00E00
positive regulation of cytokine production (GO:0001819)	9	0	.35	-	 < 0.01	1.00E00
mRNA polyadenylation (GO:0006378)	5	0	.19	-	 < 0.01	1.00E00
response to toxic substance (GO:0009636)	8	0	.31	-	 < 0.01	1.00E00
mRNA splice site recognition (GO:0006376)	12	0	.46	-	 < 0.01	1.00E00
negative regulation of chromosome segregation (GO:0051985)	9	0	.35	-	 < 0.01	1.00E00
iron ion transmembrane transport (GO:0034755)	5	0	.19	-	 < 0.01	1.00E00
regulation of chromosome segregation (GO:0051983)	21	0	.81	-	 < 0.01	1.00E00
DNA double-strand break processing (GO:0000729)	4	0	.15	-	 < 0.01	1.00E00
actin filament-based movement (GO:0030048)	16	0	.61	-	 < 0.01	1.00E00
epidermis development (GO:0008544)	4	0	.15	-	 < 0.01	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	12	0	.46	-	 < 0.01	1.00E00
actin filament depolymerization (GO:0030042)	8	0	.31	-	 < 0.01	1.00E00
actin filament polymerization (GO:0030041)	10	0	.38	-	 < 0.01	1.00E00
regulation of peptide hormone secretion (GO:0090276)	5	0	.19	-	 < 0.01	1.00E00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	.35	-	 < 0.01	1.00E00
glucose metabolic process (GO:0006006)	17	0	.65	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase II (GO:0006368)	9	0	.35	-	 < 0.01	1.00E00
cell-cell recognition (GO:0009988)	1	0	.04	-	 < 0.01	1.00E00
transcription initiation at RNA polymerase II promoter (GO:0006367)	22	0	.85	-	 < 0.01	1.00E00
transcription by RNA polymerase II (GO:0006366)	49	0	1.88	-	 < 0.01	2.64E-01
rRNA processing (GO:0006364)	81	0	3.11	-	 < 0.01	7.72E-02
mRNA 3'-end processing (GO:0031124)	16	0	.61	-	 < 0.01	1.00E00
transcription elongation by RNA polymerase I (GO:0006362)	2	0	.08	-	 < 0.01	1.00E00
transcription by RNA polymerase I (GO:0006360)	10	0	.38	-	 < 0.01	1.00E00
contractile actin filament bundle assembly (GO:0030038)	5	0	.19	-	 < 0.01	1.00E00
respiratory chain complex IV assembly (GO:0008535)	1	0	.04	-	 < 0.01	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	11	0	.42	-	 < 0.01	1.00E00
regulation of postsynapse organization (GO:0099175)	9	0	.35	-	 < 0.01	1.00E00
postsynapse organization (GO:0099173)	6	0	.23	-	 < 0.01	1.00E00
homologous recombination (GO:0035825)	20	0	.77	-	 < 0.01	1.00E00
regulation of telomere maintenance (GO:0032204)	6	0	.23	-	 < 0.01	1.00E00
quaternary ammonium group transport (GO:0015697)	5	0	.19	-	 < 0.01	1.00E00
organic cation transport (GO:0015695)	6	0	.23	-	 < 0.01	1.00E00
defense response to virus (GO:0051607)	4	0	.15	-	 < 0.01	1.00E00
response to bacterium (GO:0009617)	16	0	.61	-	 < 0.01	1.00E00
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	0	.77	-	 < 0.01	1.00E00
response to virus (GO:0009615)	4	0	.15	-	 < 0.01	1.00E00
regulation of synaptic transmission, glutamatergic (GO:0051966)	13	0	.50	-	 < 0.01	1.00E00
regulation of transcription by RNA polymerase I (GO:0006356)	4	0	.15	-	 < 0.01	1.00E00
positive regulation of synapse assembly (GO:0051965)	9	0	.35	-	 < 0.01	1.00E00
DNA-templated transcription elongation (GO:0006354)	11	0	.42	-	 < 0.01	1.00E00
response to mechanical stimulus (GO:0009612)	9	0	.35	-	 < 0.01	1.00E00
DNA-templated transcription initiation (GO:0006352)	33	0	1.27	-	 < 0.01	6.38E-01
regulation of actin filament organization (GO:0110053)	60	0	2.31	-	 < 0.01	1.75E-01
DNA-templated transcription (GO:0006351)	80	0	3.07	-	 < 0.01	7.68E-02
regulation of microtubule polymerization or depolymerization (GO:0031110)	20	0	.77	-	 < 0.01	1.00E00
positive regulation of T cell activation (GO:0050870)	3	0	.12	-	 < 0.01	1.00E00
regulation of muscle system process (GO:0090257)	11	0	.42	-	 < 0.01	1.00E00
response to biotic stimulus (GO:0009607)	44	0	1.69	-	 < 0.01	4.16E-01
nucleosome organization (GO:0034728)	11	0	.42	-	 < 0.01	1.00E00
piecemeal microautophagy of the nucleus (GO:0034727)	16	0	.61	-	 < 0.01	1.00E00
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	.08	-	 < 0.01	1.00E00
negative regulation of T cell activation (GO:0050868)	4	0	.15	-	 < 0.01	1.00E00
negative regulation of cell activation (GO:0050866)	6	0	.23	-	 < 0.01	1.00E00
regulation of T cell activation (GO:0050863)	6	0	.23	-	 < 0.01	1.00E00
response to lipid (GO:0033993)	34	0	1.31	-	 < 0.01	6.41E-01
adenosine metabolic process (GO:0046085)	4	0	.15	-	 < 0.01	1.00E00
establishment of cell polarity (GO:0030010)	22	0	.85	-	 < 0.01	1.00E00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	.23	-	 < 0.01	1.00E00
sensory organ development (GO:0007423)	46	0	1.77	-	 < 0.01	4.24E-01
peripheral nervous system development (GO:0007422)	2	0	.08	-	 < 0.01	1.00E00
brain development (GO:0007420)	44	0	1.69	-	 < 0.01	4.16E-01
mitochondrial translation (GO:0032543)	12	0	.46	-	 < 0.01	1.00E00
mRNA stabilization (GO:0048255)	13	0	.50	-	 < 0.01	1.00E00
nucleosome assembly (GO:0006334)	9	0	.35	-	 < 0.01	1.00E00
cholesterol biosynthetic process (GO:0006695)	7	0	.27	-	 < 0.01	1.00E00
steroid biosynthetic process (GO:0006694)	15	0	.58	-	 < 0.01	1.00E00
anterior/posterior pattern specification (GO:0009952)	38	0	1.46	-	 < 0.01	4.03E-01
regulation of systemic arterial blood pressure (GO:0003073)	9	0	.35	-	 < 0.01	1.00E00
prostaglandin metabolic process (GO:0006693)	5	0	.19	-	 < 0.01	1.00E00
regulation of vasculature development (GO:1901342)	21	0	.81	-	 < 0.01	1.00E00
icosanoid metabolic process (GO:0006690)	10	0	.38	-	 < 0.01	1.00E00
regulation of cell adhesion mediated by integrin (GO:0033628)	5	0	.19	-	 < 0.01	1.00E00
cell adhesion mediated by integrin (GO:0033627)	21	0	.81	-	 < 0.01	1.00E00
B cell receptor signaling pathway (GO:0050853)	9	0	.35	-	 < 0.01	1.00E00
lytic vacuole organization (GO:0080171)	14	0	.54	-	 < 0.01	1.00E00
central nervous system development (GO:0007417)	76	0	2.92	-	 < 0.01	1.22E-01
macrophage chemotaxis (GO:0048246)	1	0	.04	-	 < 0.01	1.00E00
sensory organ morphogenesis (GO:0090596)	8	0	.31	-	 < 0.01	1.00E00
sperm capacitation (GO:0048240)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of establishment of protein localization (GO:1904951)	6	0	.23	-	 < 0.01	1.00E00
membrane protein proteolysis (GO:0033619)	14	0	.54	-	 < 0.01	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	.04	-	 < 0.01	1.00E00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	.12	-	 < 0.01	1.00E00
embryonic morphogenesis (GO:0048598)	40	0	1.54	-	 < 0.01	4.06E-01
mitotic cytokinetic process (GO:1902410)	2	0	.08	-	 < 0.01	1.00E00
camera-type eye morphogenesis (GO:0048593)	4	0	.15	-	 < 0.01	1.00E00
eye morphogenesis (GO:0048592)	6	0	.23	-	 < 0.01	1.00E00
mitotic recombination (GO:0006312)	6	0	.23	-	 < 0.01	1.00E00
P-body assembly (GO:0033962)	9	0	.35	-	 < 0.01	1.00E00
developmental growth (GO:0048589)	7	0	.27	-	 < 0.01	1.00E00
developmental cell growth (GO:0048588)	5	0	.19	-	 < 0.01	1.00E00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	0	.73	-	 < 0.01	1.00E00
DNA catabolic process (GO:0006308)	4	0	.15	-	 < 0.01	1.00E00
DNA methylation (GO:0006306)	5	0	.19	-	 < 0.01	1.00E00
DNA alkylation (GO:0006305)	5	0	.19	-	 < 0.01	1.00E00
DNA modification (GO:0006304)	12	0	.46	-	 < 0.01	1.00E00
double-strand break repair via nonhomologous end joining (GO:0006303)	16	0	.61	-	 < 0.01	1.00E00
postreplication repair (GO:0006301)	14	0	.54	-	 < 0.01	1.00E00
dipeptide transport (GO:0042938)	2	0	.08	-	 < 0.01	1.00E00
vesicle transport along microtubule (GO:0047496)	16	0	.61	-	 < 0.01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	1	0	.04	-	 < 0.01	1.00E00
positive regulation of cell migration (GO:0030335)	48	0	1.84	-	 < 0.01	2.64E-01
protein stabilization (GO:0050821)	12	0	.46	-	 < 0.01	1.00E00
endosome transport via multivesicular body sorting pathway (GO:0032509)	24	0	.92	-	 < 0.01	1.00E00
cellular response to insulin stimulus (GO:0032869)	16	0	.61	-	 < 0.01	1.00E00
cytokinetic process (GO:0032506)	10	0	.38	-	 < 0.01	1.00E00
response to insulin (GO:0032868)	18	0	.69	-	 < 0.01	1.00E00
IMP metabolic process (GO:0046040)	9	0	.35	-	 < 0.01	1.00E00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	0	.61	-	 < 0.01	1.00E00
hormone transport (GO:0009914)	3	0	.12	-	 < 0.01	1.00E00
epidermal cell differentiation (GO:0009913)	2	0	.08	-	 < 0.01	1.00E00
coagulation (GO:0050817)	9	0	.35	-	 < 0.01	1.00E00
regulation of cellular response to stress (GO:0080135)	30	0	1.15	-	 < 0.01	6.30E-01
ATP metabolic process (GO:0046034)	18	0	.69	-	 < 0.01	1.00E00
regulation of cell cycle G2/M phase transition (GO:1902749)	23	0	.88	-	 < 0.01	1.00E00
embryonic organ development (GO:0048568)	28	0	1.08	-	 < 0.01	6.26E-01
glycosyl compound catabolic process (GO:1901658)	13	0	.50	-	 < 0.01	1.00E00
glycosyl compound metabolic process (GO:1901657)	24	0	.92	-	 < 0.01	1.00E00
triglyceride metabolic process (GO:0006641)	16	0	.61	-	 < 0.01	1.00E00
cellular response to peptide (GO:1901653)	25	0	.96	-	 < 0.01	6.24E-01
positive regulation of protein modification process (GO:0031401)	72	0	2.77	-	 < 0.01	1.17E-01
response to peptide (GO:1901652)	30	0	1.15	-	 < 0.01	6.30E-01
cardiac muscle cell differentiation (GO:0055007)	7	0	.27	-	 < 0.01	1.00E00
regulation of synapse organization (GO:0050807)	18	0	.69	-	 < 0.01	1.00E00
