PANTHER GO-Slim Biological Process	background_genes.par_all.raisd.txt - REFLIST (10833)	(146)	(expected)	(over/under)	(fold Enrichment)	P-value
contractile actin filament bundle assembly (GO:0030038)	5	0	.07	-	 < 0.01	1.00E00
respiratory chain complex IV assembly (GO:0008535)	1	0	.01	-	 < 0.01	1.00E00
resolution of meiotic recombination intermediates (GO:0000712)	11	0	.15	-	 < 0.01	1.00E00
regulation of postsynapse organization (GO:0099175)	7	0	.09	-	 < 0.01	1.00E00
postsynapse organization (GO:0099173)	4	0	.05	-	 < 0.01	1.00E00
homologous recombination (GO:0035825)	20	0	.27	-	 < 0.01	1.00E00
inorganic anion transport (GO:0015698)	45	0	.61	-	 < 0.01	1.00E00
quaternary ammonium group transport (GO:0015697)	5	0	.07	-	 < 0.01	1.00E00
telomere organization (GO:0032200)	23	0	.31	-	 < 0.01	1.00E00
organic cation transport (GO:0015695)	6	0	.08	-	 < 0.01	1.00E00
defense response to virus (GO:0051607)	4	0	.05	-	 < 0.01	1.00E00
response to bacterium (GO:0009617)	13	0	.18	-	 < 0.01	1.00E00
detection of stimulus (GO:0051606)	21	0	.28	-	 < 0.01	1.00E00
response to virus (GO:0009615)	4	0	.05	-	 < 0.01	1.00E00
regulation of transcription by RNA polymerase I (GO:0006356)	4	0	.05	-	 < 0.01	1.00E00
positive regulation of synapse assembly (GO:0051965)	9	0	.12	-	 < 0.01	1.00E00
DNA-templated transcription elongation (GO:0006354)	11	0	.15	-	 < 0.01	1.00E00
response to mechanical stimulus (GO:0009612)	9	0	.12	-	 < 0.01	1.00E00
positive regulation of nervous system development (GO:0051962)	24	0	.32	-	 < 0.01	1.00E00
DNA-templated transcription initiation (GO:0006352)	30	0	.40	-	 < 0.01	1.00E00
DNA-templated transcription (GO:0006351)	73	0	.98	-	 < 0.01	6.28E-01
organic cyclic compound biosynthetic process (GO:1901362)	192	0	2.59	-	 < 0.01	1.18E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	15	0	.20	-	 < 0.01	1.00E00
organic cyclic compound catabolic process (GO:1901361)	110	0	1.48	-	 < 0.01	4.08E-01
sodium ion homeostasis (GO:0055078)	11	0	.15	-	 < 0.01	1.00E00
nervous system process (GO:0050877)	55	0	.74	-	 < 0.01	1.00E00
calcium ion homeostasis (GO:0055074)	55	0	.74	-	 < 0.01	1.00E00
positive regulation of secretion by cell (GO:1903532)	6	0	.08	-	 < 0.01	1.00E00
positive regulation of T cell activation (GO:0050870)	3	0	.04	-	 < 0.01	1.00E00
regulation of secretion by cell (GO:1903530)	39	0	.53	-	 < 0.01	1.00E00
regulation of muscle system process (GO:0090257)	9	0	.12	-	 < 0.01	1.00E00
response to biotic stimulus (GO:0009607)	37	0	.50	-	 < 0.01	1.00E00
nucleosome organization (GO:0034728)	9	0	.12	-	 < 0.01	1.00E00
response to external stimulus (GO:0009605)	121	0	1.63	-	 < 0.01	4.15E-01
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	.03	-	 < 0.01	1.00E00
negative regulation of T cell activation (GO:0050868)	4	0	.05	-	 < 0.01	1.00E00
positive regulation of cell activation (GO:0050867)	5	0	.07	-	 < 0.01	1.00E00
negative regulation of cell activation (GO:0050866)	6	0	.08	-	 < 0.01	1.00E00
regulation of cell activation (GO:0050865)	13	0	.18	-	 < 0.01	1.00E00
regulation of T cell activation (GO:0050863)	6	0	.08	-	 < 0.01	1.00E00
response to lipid (GO:0033993)	31	0	.42	-	 < 0.01	1.00E00
adenosine metabolic process (GO:0046085)	4	0	.05	-	 < 0.01	1.00E00
establishment of cell polarity (GO:0030010)	22	0	.30	-	 < 0.01	1.00E00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	.08	-	 < 0.01	1.00E00
sensory organ development (GO:0007423)	42	0	.57	-	 < 0.01	1.00E00
peripheral nervous system development (GO:0007422)	1	0	.01	-	 < 0.01	1.00E00
brain development (GO:0007420)	44	0	.59	-	 < 0.01	1.00E00
mitochondrial translation (GO:0032543)	12	0	.16	-	 < 0.01	1.00E00
mRNA stabilization (GO:0048255)	11	0	.15	-	 < 0.01	1.00E00
chromatin remodeling (GO:0006338)	80	0	1.08	-	 < 0.01	6.30E-01
nucleosome assembly (GO:0006334)	7	0	.09	-	 < 0.01	1.00E00
cholesterol biosynthetic process (GO:0006695)	6	0	.08	-	 < 0.01	1.00E00
dorsal/ventral pattern formation (GO:0009953)	7	0	.09	-	 < 0.01	1.00E00
steroid biosynthetic process (GO:0006694)	14	0	.19	-	 < 0.01	1.00E00
regulation of systemic arterial blood pressure (GO:0003073)	7	0	.09	-	 < 0.01	1.00E00
prostaglandin metabolic process (GO:0006693)	3	0	.04	-	 < 0.01	1.00E00
regulation of vasculature development (GO:1901342)	21	0	.28	-	 < 0.01	1.00E00
icosanoid metabolic process (GO:0006690)	8	0	.11	-	 < 0.01	1.00E00
cell adhesion mediated by integrin (GO:0033627)	20	0	.27	-	 < 0.01	1.00E00
B cell receptor signaling pathway (GO:0050853)	6	0	.08	-	 < 0.01	1.00E00
T cell receptor signaling pathway (GO:0050852)	17	0	.23	-	 < 0.01	1.00E00
antigen receptor-mediated signaling pathway (GO:0050851)	19	0	.26	-	 < 0.01	1.00E00
central nervous system development (GO:0007417)	68	0	.92	-	 < 0.01	1.00E00
synapse assembly (GO:0007416)	20	0	.27	-	 < 0.01	1.00E00
regulation of cellular component size (GO:0032535)	51	0	.69	-	 < 0.01	1.00E00
axon guidance (GO:0007411)	92	0	1.24	-	 < 0.01	6.38E-01
macrophage chemotaxis (GO:0048246)	1	0	.01	-	 < 0.01	1.00E00
sensory organ morphogenesis (GO:0090596)	6	0	.08	-	 < 0.01	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	10	0	.13	-	 < 0.01	1.00E00
cellular response to nitrogen compound (GO:1901699)	60	0	.81	-	 < 0.01	1.00E00
chromatin organization (GO:0006325)	87	0	1.17	-	 < 0.01	6.34E-01
sperm capacitation (GO:0048240)	1	0	.01	-	 < 0.01	1.00E00
response to nitrogen compound (GO:1901698)	94	0	1.27	-	 < 0.01	6.40E-01
positive regulation of establishment of protein localization (GO:1904951)	4	0	.05	-	 < 0.01	1.00E00
liposaccharide metabolic process (GO:1903509)	34	0	.46	-	 < 0.01	1.00E00
membrane protein proteolysis (GO:0033619)	13	0	.18	-	 < 0.01	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	.01	-	 < 0.01	1.00E00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	.04	-	 < 0.01	1.00E00
axonogenesis (GO:0007409)	107	0	1.44	-	 < 0.01	4.08E-01
protein localization to cell junction (GO:1902414)	16	0	.22	-	 < 0.01	1.00E00
regulation of microtubule-based process (GO:0032886)	38	0	.51	-	 < 0.01	1.00E00
mitotic cytokinetic process (GO:1902410)	1	0	.01	-	 < 0.01	1.00E00
male gamete generation (GO:0048232)	15	0	.20	-	 < 0.01	1.00E00
regulation of protein localization (GO:0032880)	33	0	.44	-	 < 0.01	1.00E00
camera-type eye morphogenesis (GO:0048593)	3	0	.04	-	 < 0.01	1.00E00
eye morphogenesis (GO:0048592)	4	0	.05	-	 < 0.01	1.00E00
regulation of calcium ion transport (GO:0051924)	18	0	.24	-	 < 0.01	1.00E00
mitotic recombination (GO:0006312)	6	0	.08	-	 < 0.01	1.00E00
ceramide metabolic process (GO:0006672)	32	0	.43	-	 < 0.01	1.00E00
DNA recombination (GO:0006310)	72	0	.97	-	 < 0.01	1.00E00
P-body assembly (GO:0033962)	6	0	.08	-	 < 0.01	1.00E00
developmental growth (GO:0048589)	7	0	.09	-	 < 0.01	1.00E00
developmental cell growth (GO:0048588)	5	0	.07	-	 < 0.01	1.00E00
DNA catabolic process (GO:0006308)	4	0	.05	-	 < 0.01	1.00E00
cellular response to hormone stimulus (GO:0032870)	57	0	.77	-	 < 0.01	1.00E00
DNA methylation (GO:0006306)	3	0	.04	-	 < 0.01	1.00E00
DNA alkylation (GO:0006305)	3	0	.04	-	 < 0.01	1.00E00
sphingolipid metabolic process (GO:0006665)	48	0	.65	-	 < 0.01	1.00E00
double-strand break repair via nonhomologous end joining (GO:0006303)	16	0	.22	-	 < 0.01	1.00E00
glycolipid metabolic process (GO:0006664)	33	0	.44	-	 < 0.01	1.00E00
double-strand break repair (GO:0006302)	87	0	1.17	-	 < 0.01	6.34E-01
postreplication repair (GO:0006301)	14	0	.19	-	 < 0.01	1.00E00
dipeptide transport (GO:0042938)	2	0	.03	-	 < 0.01	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	47	0	.63	-	 < 0.01	1.00E00
vesicle transport along microtubule (GO:0047496)	16	0	.22	-	 < 0.01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of cell migration (GO:0030336)	10	0	.13	-	 < 0.01	1.00E00
positive regulation of cell migration (GO:0030335)	42	0	.57	-	 < 0.01	1.00E00
regulation of cell migration (GO:0030334)	83	0	1.12	-	 < 0.01	6.31E-01
protein stabilization (GO:0050821)	11	0	.15	-	 < 0.01	1.00E00
microtubule-based transport (GO:0099111)	50	0	.67	-	 < 0.01	1.00E00
DNA duplex unwinding (GO:0032508)	9	0	.12	-	 < 0.01	1.00E00
cellular response to insulin stimulus (GO:0032869)	16	0	.22	-	 < 0.01	1.00E00
cytokinetic process (GO:0032506)	8	0	.11	-	 < 0.01	1.00E00
response to insulin (GO:0032868)	16	0	.22	-	 < 0.01	1.00E00
IMP metabolic process (GO:0046040)	9	0	.12	-	 < 0.01	1.00E00
multicellular organism reproduction (GO:0032504)	26	0	.35	-	 < 0.01	1.00E00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	15	0	.20	-	 < 0.01	1.00E00
hormone transport (GO:0009914)	3	0	.04	-	 < 0.01	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	.03	-	 < 0.01	1.00E00
epidermal cell differentiation (GO:0009913)	1	0	.01	-	 < 0.01	1.00E00
glycerophospholipid metabolic process (GO:0006650)	106	0	1.43	-	 < 0.01	4.07E-01
negative regulation of coagulation (GO:0050819)	5	0	.07	-	 < 0.01	1.00E00
regulation of cellular response to stress (GO:0080135)	29	0	.39	-	 < 0.01	1.00E00
ATP metabolic process (GO:0046034)	16	0	.22	-	 < 0.01	1.00E00
carboxylic acid catabolic process (GO:0046395)	66	0	.89	-	 < 0.01	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	53	0	.71	-	 < 0.01	1.00E00
regulation of cell cycle G2/M phase transition (GO:1902749)	21	0	.28	-	 < 0.01	1.00E00
ribose phosphate biosynthetic process (GO:0046390)	37	0	.50	-	 < 0.01	1.00E00
embryonic organ development (GO:0048568)	21	0	.28	-	 < 0.01	1.00E00
glycosyl compound catabolic process (GO:1901658)	13	0	.18	-	 < 0.01	1.00E00
energy derivation by oxidation of organic compounds (GO:0015980)	31	0	.42	-	 < 0.01	1.00E00
glycosyl compound metabolic process (GO:1901657)	23	0	.31	-	 < 0.01	1.00E00
phospholipid metabolic process (GO:0006644)	129	0	1.74	-	 < 0.01	4.24E-01
membrane lipid metabolic process (GO:0006643)	66	0	.89	-	 < 0.01	1.00E00
triglyceride metabolic process (GO:0006641)	15	0	.20	-	 < 0.01	1.00E00
cellular response to peptide (GO:1901653)	22	0	.30	-	 < 0.01	1.00E00
response to peptide (GO:1901652)	24	0	.32	-	 < 0.01	1.00E00
synapse organization (GO:0050808)	60	0	.81	-	 < 0.01	1.00E00
negative regulation of protein modification process (GO:0031400)	40	0	.54	-	 < 0.01	1.00E00
cardiac muscle cell differentiation (GO:0055007)	7	0	.09	-	 < 0.01	1.00E00
regulation of synapse organization (GO:0050807)	16	0	.22	-	 < 0.01	1.00E00
positive regulation of protein localization (GO:1903829)	10	0	.13	-	 < 0.01	1.00E00
melanocyte differentiation (GO:0030318)	1	0	.01	-	 < 0.01	1.00E00
flagellated sperm motility (GO:0030317)	1	0	.01	-	 < 0.01	1.00E00
organic acid transmembrane transport (GO:1903825)	52	0	.70	-	 < 0.01	1.00E00
regulation of synapse structure or activity (GO:0050803)	17	0	.23	-	 < 0.01	1.00E00
osteoclast differentiation (GO:0030316)	3	0	.04	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	0	.04	-	 < 0.01	1.00E00
acylglycerol metabolic process (GO:0006639)	21	0	.28	-	 < 0.01	1.00E00
neutral lipid metabolic process (GO:0006638)	21	0	.28	-	 < 0.01	1.00E00
acyl-CoA metabolic process (GO:0006637)	16	0	.22	-	 < 0.01	1.00E00
nuclear envelope organization (GO:0006998)	8	0	.11	-	 < 0.01	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	4	0	.05	-	 < 0.01	1.00E00
fatty acid beta-oxidation (GO:0006635)	19	0	.26	-	 < 0.01	1.00E00
heart process (GO:0003015)	19	0	.26	-	 < 0.01	1.00E00
mRNA cis splicing, via spliceosome (GO:0045292)	4	0	.05	-	 < 0.01	1.00E00
fatty acid biosynthetic process (GO:0006633)	25	0	.34	-	 < 0.01	1.00E00
circulatory system process (GO:0003013)	38	0	.51	-	 < 0.01	1.00E00
muscle system process (GO:0003012)	28	0	.38	-	 < 0.01	1.00E00
chaperone-mediated protein folding (GO:0061077)	10	0	.13	-	 < 0.01	1.00E00
fatty acid metabolic process (GO:0006631)	73	0	.98	-	 < 0.01	6.28E-01
reproductive process (GO:0022414)	70	0	.94	-	 < 0.01	1.00E00
ERBB signaling pathway (GO:0038127)	9	0	.12	-	 < 0.01	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	21	0	.28	-	 < 0.01	1.00E00
clathrin-dependent endocytosis (GO:0072583)	10	0	.13	-	 < 0.01	1.00E00
T cell activation involved in immune response (GO:0002286)	2	0	.03	-	 < 0.01	1.00E00
lymphocyte activation involved in immune response (GO:0002285)	2	0	.03	-	 < 0.01	1.00E00
cholesterol transport (GO:0030301)	8	0	.11	-	 < 0.01	1.00E00
cellular response to external stimulus (GO:0071496)	22	0	.30	-	 < 0.01	1.00E00
cellular response to endogenous stimulus (GO:0071495)	149	0	2.01	-	 < 0.01	2.72E-01
positive regulation of cation channel activity (GO:2001259)	4	0	.05	-	 < 0.01	1.00E00
response to steroid hormone (GO:0048545)	8	0	.11	-	 < 0.01	1.00E00
lipid metabolic process (GO:0006629)	302	0	4.07	-	 < 0.01	3.66E-02
skeletal muscle contraction (GO:0003009)	8	0	.11	-	 < 0.01	1.00E00
system process (GO:0003008)	98	0	1.32	-	 < 0.01	6.45E-01
negative regulation of chromosome organization (GO:2001251)	10	0	.13	-	 < 0.01	1.00E00
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	28	0	.38	-	 < 0.01	1.00E00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	.01	-	 < 0.01	1.00E00
protein targeting to mitochondrion (GO:0006626)	18	0	.24	-	 < 0.01	1.00E00
developmental process involved in reproduction (GO:0003006)	23	0	.31	-	 < 0.01	1.00E00
response to unfolded protein (GO:0006986)	18	0	.24	-	 < 0.01	1.00E00
protein targeting to vacuole (GO:0006623)	11	0	.15	-	 < 0.01	1.00E00
protein targeting to lysosome (GO:0006622)	2	0	.03	-	 < 0.01	1.00E00
positive regulation of cell-cell adhesion (GO:0022409)	9	0	.12	-	 < 0.01	1.00E00
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	6	0	.08	-	 < 0.01	1.00E00
negative regulation of cell-cell adhesion (GO:0022408)	7	0	.09	-	 < 0.01	1.00E00
regulation of cell-cell adhesion (GO:0022407)	15	0	.20	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	28	0	.38	-	 < 0.01	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	52	0	.70	-	 < 0.01	1.00E00
myeloid leukocyte activation (GO:0002274)	1	0	.01	-	 < 0.01	1.00E00
visual system development (GO:0150063)	27	0	.36	-	 < 0.01	1.00E00
cellular response to light stimulus (GO:0071482)	6	0	.08	-	 < 0.01	1.00E00
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	4	0	.05	-	 < 0.01	1.00E00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	7	0	.09	-	 < 0.01	1.00E00
negative regulation of cell cycle phase transition (GO:1901988)	41	0	.55	-	 < 0.01	1.00E00
interstrand cross-link repair (GO:0036297)	10	0	.13	-	 < 0.01	1.00E00
regulation of cell cycle phase transition (GO:1901987)	69	0	.93	-	 < 0.01	1.00E00
protein export from nucleus (GO:0006611)	7	0	.09	-	 < 0.01	1.00E00
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	2	0	.03	-	 < 0.01	1.00E00
response to osmotic stress (GO:0006970)	4	0	.05	-	 < 0.01	1.00E00
cell activation involved in immune response (GO:0002263)	2	0	.03	-	 < 0.01	1.00E00
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4	0	.05	-	 < 0.01	1.00E00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	0	.15	-	 < 0.01	1.00E00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	0	.20	-	 < 0.01	1.00E00
negative regulation of apoptotic signaling pathway (GO:2001234)	15	0	.20	-	 < 0.01	1.00E00
organic hydroxy compound biosynthetic process (GO:1901617)	38	0	.51	-	 < 0.01	1.00E00
organic hydroxy compound metabolic process (GO:1901615)	66	0	.89	-	 < 0.01	1.00E00
sensory system development (GO:0048880)	27	0	.36	-	 < 0.01	1.00E00
positive regulation of cell motility (GO:2000147)	45	0	.61	-	 < 0.01	1.00E00
G2/M transition of mitotic cell cycle (GO:0000086)	3	0	.04	-	 < 0.01	1.00E00
negative regulation of cell motility (GO:2000146)	10	0	.13	-	 < 0.01	1.00E00
regulation of cell motility (GO:2000145)	86	0	1.16	-	 < 0.01	6.33E-01
cilium movement (GO:0003341)	17	0	.23	-	 < 0.01	1.00E00
G1/S transition of mitotic cell cycle (GO:0000082)	17	0	.23	-	 < 0.01	1.00E00
miRNA processing (GO:0035196)	11	0	.15	-	 < 0.01	1.00E00
amino sugar catabolic process (GO:0046348)	3	0	.04	-	 < 0.01	1.00E00
activation of immune response (GO:0002253)	36	0	.49	-	 < 0.01	1.00E00
protein K48-linked deubiquitination (GO:0071108)	2	0	.03	-	 < 0.01	1.00E00
immune effector process (GO:0002252)	7	0	.09	-	 < 0.01	1.00E00
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	9	0	.12	-	 < 0.01	1.00E00
negative regulation of catalytic activity (GO:0043086)	59	0	.80	-	 < 0.01	1.00E00
adaptive immune response (GO:0002250)	8	0	.11	-	 < 0.01	1.00E00
DNA conformation change (GO:0071103)	12	0	.16	-	 < 0.01	1.00E00
spermatid differentiation (GO:0048515)	4	0	.05	-	 < 0.01	1.00E00
blood vessel morphogenesis (GO:0048514)	34	0	.46	-	 < 0.01	1.00E00
humoral immune response (GO:0006959)	6	0	.08	-	 < 0.01	1.00E00
nucleobase-containing compound transport (GO:0015931)	51	0	.69	-	 < 0.01	1.00E00
rhythmic process (GO:0048511)	20	0	.27	-	 < 0.01	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	23	0	.31	-	 < 0.01	1.00E00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	12	0	.16	-	 < 0.01	1.00E00
multicellular organismal-level homeostasis (GO:0048871)	12	0	.16	-	 < 0.01	1.00E00
complement activation (GO:0006956)	3	0	.04	-	 < 0.01	1.00E00
alpha-amino acid metabolic process (GO:1901605)	70	0	.94	-	 < 0.01	1.00E00
immune response (GO:0006955)	48	0	.65	-	 < 0.01	1.00E00
cell motility (GO:0048870)	173	0	2.33	-	 < 0.01	1.78E-01
DNA damage checkpoint signaling (GO:0000077)	16	0	.22	-	 < 0.01	1.00E00
regulation of ERK1 and ERK2 cascade (GO:0070372)	16	0	.22	-	 < 0.01	1.00E00
DNA replication checkpoint signaling (GO:0000076)	7	0	.09	-	 < 0.01	1.00E00
inflammatory response (GO:0006954)	19	0	.26	-	 < 0.01	1.00E00
amino acid transmembrane transport (GO:0003333)	42	0	.57	-	 < 0.01	1.00E00
cell cycle checkpoint signaling (GO:0000075)	32	0	.43	-	 < 0.01	1.00E00
defense response (GO:0006952)	51	0	.69	-	 < 0.01	1.00E00
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	6	0	.08	-	 < 0.01	1.00E00
mitotic sister chromatid segregation (GO:0000070)	33	0	.44	-	 < 0.01	1.00E00
hematopoietic progenitor cell differentiation (GO:0002244)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of JNK cascade (GO:0046330)	7	0	.09	-	 < 0.01	1.00E00
response to cytokine (GO:0034097)	43	0	.58	-	 < 0.01	1.00E00
stem cell development (GO:0048864)	24	0	.32	-	 < 0.01	1.00E00
syncytium formation (GO:0006949)	3	0	.04	-	 < 0.01	1.00E00
stem cell differentiation (GO:0048863)	24	0	.32	-	 < 0.01	1.00E00
membrane fusion (GO:0061025)	46	0	.62	-	 < 0.01	1.00E00
striated muscle contraction (GO:0006941)	19	0	.26	-	 < 0.01	1.00E00
response to molecule of bacterial origin (GO:0002237)	11	0	.15	-	 < 0.01	1.00E00
regulation of JNK cascade (GO:0046328)	10	0	.13	-	 < 0.01	1.00E00
negative regulation of programmed cell death (GO:0043069)	45	0	.61	-	 < 0.01	1.00E00
negative regulation of apoptotic process (GO:0043066)	44	0	.59	-	 < 0.01	1.00E00
cilium movement involved in cell motility (GO:0060294)	9	0	.12	-	 < 0.01	1.00E00
extracellular structure organization (GO:0043062)	95	0	1.28	-	 < 0.01	6.41E-01
sterol transport (GO:0015918)	13	0	.18	-	 < 0.01	1.00E00
cell projection morphogenesis (GO:0048858)	132	0	1.78	-	 < 0.01	4.28E-01
phospholipid transport (GO:0015914)	26	0	.35	-	 < 0.01	1.00E00
positive regulation of cell differentiation (GO:0045597)	45	0	.61	-	 < 0.01	1.00E00
inorganic anion transmembrane transport (GO:0098661)	36	0	.49	-	 < 0.01	1.00E00
regulation of muscle contraction (GO:0006937)	7	0	.09	-	 < 0.01	1.00E00
muscle contraction (GO:0006936)	27	0	.36	-	 < 0.01	1.00E00
chemotaxis (GO:0006935)	30	0	.40	-	 < 0.01	1.00E00
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	3	0	.04	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity (GO:2000116)	19	0	.26	-	 < 0.01	1.00E00
positive regulation of mRNA catabolic process (GO:0061014)	27	0	.36	-	 < 0.01	1.00E00
pyrimidine-containing compound metabolic process (GO:0072527)	23	0	.31	-	 < 0.01	1.00E00
regulation of mRNA catabolic process (GO:0061013)	48	0	.65	-	 < 0.01	1.00E00
pyridine-containing compound metabolic process (GO:0072524)	28	0	.38	-	 < 0.01	1.00E00
purine-containing compound catabolic process (GO:0072523)	22	0	.30	-	 < 0.01	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	48	0	.65	-	 < 0.01	1.00E00
endoplasmic reticulum unfolded protein response (GO:0030968)	17	0	.23	-	 < 0.01	1.00E00
toll-like receptor signaling pathway (GO:0002224)	4	0	.05	-	 < 0.01	1.00E00
pattern recognition receptor signaling pathway (GO:0002221)	11	0	.15	-	 < 0.01	1.00E00
cilium-dependent cell motility (GO:0060285)	11	0	.15	-	 < 0.01	1.00E00
long-chain fatty acid transport (GO:0015909)	3	0	.04	-	 < 0.01	1.00E00
fatty acid transport (GO:0015908)	18	0	.24	-	 < 0.01	1.00E00
external encapsulating structure organization (GO:0045229)	95	0	1.28	-	 < 0.01	6.41E-01
monoatomic anion transmembrane transport (GO:0098656)	37	0	.50	-	 < 0.01	1.00E00
activation of innate immune response (GO:0002218)	12	0	.16	-	 < 0.01	1.00E00
negative regulation of peptidase activity (GO:0010466)	22	0	.30	-	 < 0.01	1.00E00
endoplasmic reticulum tubular network organization (GO:0071786)	9	0	.12	-	 < 0.01	1.00E00
male sex differentiation (GO:0046661)	1	0	.01	-	 < 0.01	1.00E00
protein localization to Golgi apparatus (GO:0034067)	9	0	.12	-	 < 0.01	1.00E00
inner ear development (GO:0048839)	2	0	.03	-	 < 0.01	1.00E00
establishment of spindle orientation (GO:0051294)	10	0	.13	-	 < 0.01	1.00E00
cell-cell junction organization (GO:0045216)	40	0	.54	-	 < 0.01	1.00E00
establishment of spindle localization (GO:0051293)	17	0	.23	-	 < 0.01	1.00E00
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	11	0	.15	-	 < 0.01	1.00E00
apoptotic process (GO:0006915)	50	0	.67	-	 < 0.01	1.00E00
phagocytosis, engulfment (GO:0006911)	4	0	.05	-	 < 0.01	1.00E00
calcium ion transmembrane import into cytosol (GO:0097553)	28	0	.38	-	 < 0.01	1.00E00
carboxylic acid transmembrane transport (GO:1905039)	52	0	.70	-	 < 0.01	1.00E00
pyridine nucleotide metabolic process (GO:0019362)	27	0	.36	-	 < 0.01	1.00E00
protein N-linked glycosylation via asparagine (GO:0018279)	10	0	.13	-	 < 0.01	1.00E00
cellular response to organonitrogen compound (GO:0071417)	41	0	.55	-	 < 0.01	1.00E00
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	2	0	.03	-	 < 0.01	1.00E00
somatic diversification of immune receptors (GO:0002200)	2	0	.03	-	 < 0.01	1.00E00
response to fibroblast growth factor (GO:0071774)	24	0	.32	-	 < 0.01	1.00E00
lymphocyte proliferation (GO:0046651)	1	0	.01	-	 < 0.01	1.00E00
regulation of macrophage activation (GO:0043030)	1	0	.01	-	 < 0.01	1.00E00
cellular response to BMP stimulus (GO:0071773)	14	0	.19	-	 < 0.01	1.00E00
response to BMP (GO:0071772)	14	0	.19	-	 < 0.01	1.00E00
negative regulation of sequestering of calcium ion (GO:0051283)	21	0	.28	-	 < 0.01	1.00E00
triglyceride homeostasis (GO:0070328)	4	0	.05	-	 < 0.01	1.00E00
regulation of sequestering of calcium ion (GO:0051282)	25	0	.34	-	 < 0.01	1.00E00
phagocytosis (GO:0006909)	16	0	.22	-	 < 0.01	1.00E00
vesicle fusion (GO:0006906)	39	0	.53	-	 < 0.01	1.00E00
ribosomal large subunit assembly (GO:0000027)	7	0	.09	-	 < 0.01	1.00E00
spliceosomal snRNP assembly (GO:0000387)	13	0	.18	-	 < 0.01	1.00E00
alternative mRNA splicing, via spliceosome (GO:0000380)	5	0	.07	-	 < 0.01	1.00E00
lymphocyte activation (GO:0046649)	12	0	.16	-	 < 0.01	1.00E00
cellular response to organic cyclic compound (GO:0071407)	23	0	.31	-	 < 0.01	1.00E00
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	4	0	.05	-	 < 0.01	1.00E00
nuclear membrane organization (GO:0071763)	4	0	.05	-	 < 0.01	1.00E00
central nervous system neuron differentiation (GO:0021953)	6	0	.08	-	 < 0.01	1.00E00
dendrite morphogenesis (GO:0048813)	2	0	.03	-	 < 0.01	1.00E00
neuron projection morphogenesis (GO:0048812)	131	0	1.77	-	 < 0.01	4.27E-01
regulation of DNA recombination (GO:0000018)	6	0	.08	-	 < 0.01	1.00E00
granulocyte migration (GO:0097530)	3	0	.04	-	 < 0.01	1.00E00
anatomical structure homeostasis (GO:0060249)	4	0	.05	-	 < 0.01	1.00E00
camera-type eye development (GO:0043010)	21	0	.28	-	 < 0.01	1.00E00
protein depolymerization (GO:0051261)	22	0	.30	-	 < 0.01	1.00E00
myeloid leukocyte migration (GO:0097529)	3	0	.04	-	 < 0.01	1.00E00
regulation of leukocyte proliferation (GO:0070663)	5	0	.07	-	 < 0.01	1.00E00
reproduction (GO:0000003)	70	0	.94	-	 < 0.01	1.00E00
leukocyte proliferation (GO:0070661)	1	0	.01	-	 < 0.01	1.00E00
