PANTHER GO-Slim Biological Process	background_genes.for_all.raisd.txt - REFLIST (10898)	(91)	(expected)	(over/under)	(fold Enrichment)	P-value
sperm capacitation (GO:0048240)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of establishment of protein localization (GO:1904951)	4	0	.03	-	 < 0.01	1.00E00
liposaccharide metabolic process (GO:1903509)	34	0	.28	-	 < 0.01	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	.01	-	 < 0.01	1.00E00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	.03	-	 < 0.01	1.00E00
axonogenesis (GO:0007409)	110	0	.92	-	 < 0.01	1.00E00
protein localization to cell junction (GO:1902414)	16	0	.13	-	 < 0.01	1.00E00
regulation of microtubule-based process (GO:0032886)	41	0	.34	-	 < 0.01	1.00E00
embryonic morphogenesis (GO:0048598)	32	0	.27	-	 < 0.01	1.00E00
mitotic cytokinetic process (GO:1902410)	1	0	.01	-	 < 0.01	1.00E00
male gamete generation (GO:0048232)	16	0	.13	-	 < 0.01	1.00E00
regulation of protein localization (GO:0032880)	32	0	.27	-	 < 0.01	1.00E00
camera-type eye morphogenesis (GO:0048593)	3	0	.03	-	 < 0.01	1.00E00
eye morphogenesis (GO:0048592)	4	0	.03	-	 < 0.01	1.00E00
regulation of calcium ion transport (GO:0051924)	18	0	.15	-	 < 0.01	1.00E00
mitotic recombination (GO:0006312)	6	0	.05	-	 < 0.01	1.00E00
ceramide metabolic process (GO:0006672)	33	0	.28	-	 < 0.01	1.00E00
P-body assembly (GO:0033962)	8	0	.07	-	 < 0.01	1.00E00
regulation of localization (GO:0032879)	192	0	1.60	-	 < 0.01	4.13E-01
developmental growth (GO:0048589)	7	0	.06	-	 < 0.01	1.00E00
developmental cell growth (GO:0048588)	5	0	.04	-	 < 0.01	1.00E00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	14	0	.12	-	 < 0.01	1.00E00
DNA catabolic process (GO:0006308)	4	0	.03	-	 < 0.01	1.00E00
cellular response to hormone stimulus (GO:0032870)	58	0	.48	-	 < 0.01	1.00E00
DNA methylation (GO:0006306)	3	0	.03	-	 < 0.01	1.00E00
DNA alkylation (GO:0006305)	3	0	.03	-	 < 0.01	1.00E00
DNA modification (GO:0006304)	9	0	.08	-	 < 0.01	1.00E00
sphingolipid metabolic process (GO:0006665)	49	0	.41	-	 < 0.01	1.00E00
double-strand break repair via nonhomologous end joining (GO:0006303)	16	0	.13	-	 < 0.01	1.00E00
glycolipid metabolic process (GO:0006664)	33	0	.28	-	 < 0.01	1.00E00
postreplication repair (GO:0006301)	14	0	.12	-	 < 0.01	1.00E00
dipeptide transport (GO:0042938)	2	0	.02	-	 < 0.01	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	48	0	.40	-	 < 0.01	1.00E00
vesicle transport along microtubule (GO:0047496)	16	0	.13	-	 < 0.01	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of cell migration (GO:0030336)	10	0	.08	-	 < 0.01	1.00E00
positive regulation of cell migration (GO:0030335)	42	0	.35	-	 < 0.01	1.00E00
regulation of cell migration (GO:0030334)	84	0	.70	-	 < 0.01	1.00E00
protein stabilization (GO:0050821)	11	0	.09	-	 < 0.01	1.00E00
microtubule-based transport (GO:0099111)	52	0	.43	-	 < 0.01	1.00E00
endosome transport via multivesicular body sorting pathway (GO:0032509)	19	0	.16	-	 < 0.01	1.00E00
DNA duplex unwinding (GO:0032508)	9	0	.08	-	 < 0.01	1.00E00
cellular response to insulin stimulus (GO:0032869)	16	0	.13	-	 < 0.01	1.00E00
cytokinetic process (GO:0032506)	8	0	.07	-	 < 0.01	1.00E00
response to insulin (GO:0032868)	16	0	.13	-	 < 0.01	1.00E00
IMP metabolic process (GO:0046040)	9	0	.08	-	 < 0.01	1.00E00
multicellular organism reproduction (GO:0032504)	27	0	.23	-	 < 0.01	1.00E00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	15	0	.13	-	 < 0.01	1.00E00
hormone transport (GO:0009914)	3	0	.03	-	 < 0.01	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	.02	-	 < 0.01	1.00E00
epidermal cell differentiation (GO:0009913)	1	0	.01	-	 < 0.01	1.00E00
glycerophospholipid metabolic process (GO:0006650)	108	0	.90	-	 < 0.01	1.00E00
negative regulation of coagulation (GO:0050819)	5	0	.04	-	 < 0.01	1.00E00
regulation of coagulation (GO:0050818)	7	0	.06	-	 < 0.01	1.00E00
regulation of cellular response to stress (GO:0080135)	28	0	.23	-	 < 0.01	1.00E00
ATP metabolic process (GO:0046034)	16	0	.13	-	 < 0.01	1.00E00
carboxylic acid catabolic process (GO:0046395)	66	0	.55	-	 < 0.01	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	53	0	.44	-	 < 0.01	1.00E00
regulation of cell cycle G2/M phase transition (GO:1902749)	22	0	.18	-	 < 0.01	1.00E00
ribose phosphate biosynthetic process (GO:0046390)	38	0	.32	-	 < 0.01	1.00E00
embryonic organ development (GO:0048568)	21	0	.18	-	 < 0.01	1.00E00
glycosyl compound catabolic process (GO:1901658)	13	0	.11	-	 < 0.01	1.00E00
energy derivation by oxidation of organic compounds (GO:0015980)	32	0	.27	-	 < 0.01	1.00E00
glycosyl compound metabolic process (GO:1901657)	23	0	.19	-	 < 0.01	1.00E00
phospholipid metabolic process (GO:0006644)	131	0	1.09	-	 < 0.01	6.30E-01
membrane lipid metabolic process (GO:0006643)	67	0	.56	-	 < 0.01	1.00E00
triglyceride metabolic process (GO:0006641)	15	0	.13	-	 < 0.01	1.00E00
cellular response to peptide (GO:1901653)	23	0	.19	-	 < 0.01	1.00E00
positive regulation of protein modification process (GO:0031401)	68	0	.57	-	 < 0.01	1.00E00
establishment of protein localization to endoplasmic reticulum (GO:0072599)	12	0	.10	-	 < 0.01	1.00E00
response to peptide (GO:1901652)	25	0	.21	-	 < 0.01	1.00E00
synapse organization (GO:0050808)	60	0	.50	-	 < 0.01	1.00E00
cardiac muscle cell differentiation (GO:0055007)	7	0	.06	-	 < 0.01	1.00E00
regulation of synapse organization (GO:0050807)	16	0	.13	-	 < 0.01	1.00E00
positive regulation of protein localization (GO:1903829)	10	0	.08	-	 < 0.01	1.00E00
positive regulation of synaptic transmission (GO:0050806)	20	0	.17	-	 < 0.01	1.00E00
melanocyte differentiation (GO:0030318)	1	0	.01	-	 < 0.01	1.00E00
establishment of protein localization to organelle (GO:0072594)	105	0	.88	-	 < 0.01	1.00E00
modulation of chemical synaptic transmission (GO:0050804)	76	0	.63	-	 < 0.01	1.00E00
flagellated sperm motility (GO:0030317)	1	0	.01	-	 < 0.01	1.00E00
organic acid transmembrane transport (GO:1903825)	51	0	.43	-	 < 0.01	1.00E00
striated muscle cell development (GO:0055002)	23	0	.19	-	 < 0.01	1.00E00
regulation of synapse structure or activity (GO:0050803)	17	0	.14	-	 < 0.01	1.00E00
osteoclast differentiation (GO:0030316)	4	0	.03	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	0	.03	-	 < 0.01	1.00E00
acylglycerol metabolic process (GO:0006639)	21	0	.18	-	 < 0.01	1.00E00
neutral lipid metabolic process (GO:0006638)	21	0	.18	-	 < 0.01	1.00E00
acyl-CoA metabolic process (GO:0006637)	16	0	.13	-	 < 0.01	1.00E00
nuclear envelope organization (GO:0006998)	8	0	.07	-	 < 0.01	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	4	0	.03	-	 < 0.01	1.00E00
fatty acid beta-oxidation (GO:0006635)	19	0	.16	-	 < 0.01	1.00E00
nucleus organization (GO:0006997)	12	0	.10	-	 < 0.01	1.00E00
heart process (GO:0003015)	19	0	.16	-	 < 0.01	1.00E00
mRNA cis splicing, via spliceosome (GO:0045292)	4	0	.03	-	 < 0.01	1.00E00
fatty acid biosynthetic process (GO:0006633)	25	0	.21	-	 < 0.01	1.00E00
circulatory system process (GO:0003013)	39	0	.33	-	 < 0.01	1.00E00
muscle system process (GO:0003012)	27	0	.23	-	 < 0.01	1.00E00
chaperone-mediated protein folding (GO:0061077)	10	0	.08	-	 < 0.01	1.00E00
fatty acid metabolic process (GO:0006631)	73	0	.61	-	 < 0.01	1.00E00
reproductive process (GO:0022414)	72	0	.60	-	 < 0.01	1.00E00
ERBB signaling pathway (GO:0038127)	9	0	.08	-	 < 0.01	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	21	0	.18	-	 < 0.01	1.00E00
clathrin-dependent endocytosis (GO:0072583)	10	0	.08	-	 < 0.01	1.00E00
T cell activation involved in immune response (GO:0002286)	2	0	.02	-	 < 0.01	1.00E00
lymphocyte activation involved in immune response (GO:0002285)	2	0	.02	-	 < 0.01	1.00E00
DNA demethylation (GO:0080111)	5	0	.04	-	 < 0.01	1.00E00
cholesterol transport (GO:0030301)	11	0	.09	-	 < 0.01	1.00E00
cellular response to external stimulus (GO:0071496)	22	0	.18	-	 < 0.01	1.00E00
positive regulation of cation channel activity (GO:2001259)	4	0	.03	-	 < 0.01	1.00E00
response to steroid hormone (GO:0048545)	8	0	.07	-	 < 0.01	1.00E00
lipid metabolic process (GO:0006629)	307	0	2.56	-	 < 0.01	1.87E-01
skeletal muscle contraction (GO:0003009)	8	0	.07	-	 < 0.01	1.00E00
system process (GO:0003008)	100	0	.84	-	 < 0.01	1.00E00
negative regulation of chromosome organization (GO:2001251)	10	0	.08	-	 < 0.01	1.00E00
heart morphogenesis (GO:0003007)	12	0	.10	-	 < 0.01	1.00E00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	.01	-	 < 0.01	1.00E00
protein targeting to mitochondrion (GO:0006626)	17	0	.14	-	 < 0.01	1.00E00
developmental process involved in reproduction (GO:0003006)	24	0	.20	-	 < 0.01	1.00E00
response to unfolded protein (GO:0006986)	19	0	.16	-	 < 0.01	1.00E00
protein targeting to vacuole (GO:0006623)	12	0	.10	-	 < 0.01	1.00E00
regionalization (GO:0003002)	36	0	.30	-	 < 0.01	1.00E00
protein targeting to lysosome (GO:0006622)	2	0	.02	-	 < 0.01	1.00E00
positive regulation of cell-cell adhesion (GO:0022409)	9	0	.08	-	 < 0.01	1.00E00
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	7	0	.06	-	 < 0.01	1.00E00
negative regulation of cell-cell adhesion (GO:0022408)	7	0	.06	-	 < 0.01	1.00E00
regulation of cell-cell adhesion (GO:0022407)	15	0	.13	-	 < 0.01	1.00E00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	28	0	.23	-	 < 0.01	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	53	0	.44	-	 < 0.01	1.00E00
cell cycle process (GO:0022402)	214	0	1.79	-	 < 0.01	4.28E-01
myeloid leukocyte activation (GO:0002274)	1	0	.01	-	 < 0.01	1.00E00
visual system development (GO:0150063)	27	0	.23	-	 < 0.01	1.00E00
cellular response to light stimulus (GO:0071482)	8	0	.07	-	 < 0.01	1.00E00
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	4	0	.03	-	 < 0.01	1.00E00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	7	0	.06	-	 < 0.01	1.00E00
response to oxidative stress (GO:0006979)	21	0	.18	-	 < 0.01	1.00E00
negative regulation of cell cycle phase transition (GO:1901988)	43	0	.36	-	 < 0.01	1.00E00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	7	0	.06	-	 < 0.01	1.00E00
interstrand cross-link repair (GO:0036297)	11	0	.09	-	 < 0.01	1.00E00
regulation of cell cycle phase transition (GO:1901987)	72	0	.60	-	 < 0.01	1.00E00
cotranslational protein targeting to membrane (GO:0006613)	7	0	.06	-	 < 0.01	1.00E00
protein targeting to membrane (GO:0006612)	28	0	.23	-	 < 0.01	1.00E00
protein export from nucleus (GO:0006611)	7	0	.06	-	 < 0.01	1.00E00
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	2	0	.02	-	 < 0.01	1.00E00
response to osmotic stress (GO:0006970)	4	0	.03	-	 < 0.01	1.00E00
cell activation involved in immune response (GO:0002263)	2	0	.02	-	 < 0.01	1.00E00
regulation of cellular pH (GO:0030641)	22	0	.18	-	 < 0.01	1.00E00
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4	0	.03	-	 < 0.01	1.00E00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	0	.09	-	 < 0.01	1.00E00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	0	.13	-	 < 0.01	1.00E00
positive regulation of apoptotic signaling pathway (GO:2001235)	7	0	.06	-	 < 0.01	1.00E00
negative regulation of apoptotic signaling pathway (GO:2001234)	15	0	.13	-	 < 0.01	1.00E00
regulation of apoptotic signaling pathway (GO:2001233)	22	0	.18	-	 < 0.01	1.00E00
NLS-bearing protein import into nucleus (GO:0006607)	9	0	.08	-	 < 0.01	1.00E00
protein import into nucleus (GO:0006606)	33	0	.28	-	 < 0.01	1.00E00
organic hydroxy compound biosynthetic process (GO:1901617)	38	0	.32	-	 < 0.01	1.00E00
protein targeting (GO:0006605)	61	0	.51	-	 < 0.01	1.00E00
organic hydroxy compound metabolic process (GO:1901615)	69	0	.58	-	 < 0.01	1.00E00
sensory system development (GO:0048880)	27	0	.23	-	 < 0.01	1.00E00
positive regulation of cell motility (GO:2000147)	45	0	.38	-	 < 0.01	1.00E00
G2/M transition of mitotic cell cycle (GO:0000086)	3	0	.03	-	 < 0.01	1.00E00
negative regulation of cell motility (GO:2000146)	10	0	.08	-	 < 0.01	1.00E00
regulation of cell motility (GO:2000145)	87	0	.73	-	 < 0.01	1.00E00
G1/S transition of mitotic cell cycle (GO:0000082)	18	0	.15	-	 < 0.01	1.00E00
regulation of wound healing (GO:0061041)	6	0	.05	-	 < 0.01	1.00E00
miRNA processing (GO:0035196)	11	0	.09	-	 < 0.01	1.00E00
amino sugar catabolic process (GO:0046348)	3	0	.03	-	 < 0.01	1.00E00
activation of immune response (GO:0002253)	39	0	.33	-	 < 0.01	1.00E00
protein K48-linked deubiquitination (GO:0071108)	2	0	.02	-	 < 0.01	1.00E00
immune effector process (GO:0002252)	8	0	.07	-	 < 0.01	1.00E00
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	9	0	.08	-	 < 0.01	1.00E00
adaptive immune response (GO:0002250)	8	0	.07	-	 < 0.01	1.00E00
DNA conformation change (GO:0071103)	12	0	.10	-	 < 0.01	1.00E00
spermatid differentiation (GO:0048515)	4	0	.03	-	 < 0.01	1.00E00
blood vessel morphogenesis (GO:0048514)	34	0	.28	-	 < 0.01	1.00E00
animal organ development (GO:0048513)	264	0	2.20	-	 < 0.01	1.76E-01
humoral immune response (GO:0006959)	7	0	.06	-	 < 0.01	1.00E00
nucleobase-containing compound transport (GO:0015931)	54	0	.45	-	 < 0.01	1.00E00
rhythmic process (GO:0048511)	20	0	.17	-	 < 0.01	1.00E00
alpha-amino acid biosynthetic process (GO:1901607)	23	0	.19	-	 < 0.01	1.00E00
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	23	0	.19	-	 < 0.01	1.00E00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	12	0	.10	-	 < 0.01	1.00E00
multicellular organismal-level homeostasis (GO:0048871)	12	0	.10	-	 < 0.01	1.00E00
complement activation (GO:0006956)	4	0	.03	-	 < 0.01	1.00E00
immune response (GO:0006955)	52	0	.43	-	 < 0.01	1.00E00
DNA damage checkpoint signaling (GO:0000077)	18	0	.15	-	 < 0.01	1.00E00
regulation of ERK1 and ERK2 cascade (GO:0070372)	16	0	.13	-	 < 0.01	1.00E00
DNA replication checkpoint signaling (GO:0000076)	7	0	.06	-	 < 0.01	1.00E00
inflammatory response (GO:0006954)	19	0	.16	-	 < 0.01	1.00E00
amino acid transmembrane transport (GO:0003333)	41	0	.34	-	 < 0.01	1.00E00
cell cycle checkpoint signaling (GO:0000075)	34	0	.28	-	 < 0.01	1.00E00
defense response (GO:0006952)	53	0	.44	-	 < 0.01	1.00E00
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	6	0	.05	-	 < 0.01	1.00E00
mitotic sister chromatid segregation (GO:0000070)	34	0	.28	-	 < 0.01	1.00E00
hematopoietic progenitor cell differentiation (GO:0002244)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of JNK cascade (GO:0046330)	7	0	.06	-	 < 0.01	1.00E00
response to cytokine (GO:0034097)	44	0	.37	-	 < 0.01	1.00E00
stem cell development (GO:0048864)	24	0	.20	-	 < 0.01	1.00E00
syncytium formation (GO:0006949)	3	0	.03	-	 < 0.01	1.00E00
stem cell differentiation (GO:0048863)	24	0	.20	-	 < 0.01	1.00E00
membrane fusion (GO:0061025)	46	0	.38	-	 < 0.01	1.00E00
membrane organization (GO:0061024)	136	0	1.14	-	 < 0.01	6.32E-01
striated muscle contraction (GO:0006941)	19	0	.16	-	 < 0.01	1.00E00
response to molecule of bacterial origin (GO:0002237)	12	0	.10	-	 < 0.01	1.00E00
negative regulation of programmed cell death (GO:0043069)	45	0	.38	-	 < 0.01	1.00E00
positive regulation of programmed cell death (GO:0043068)	31	0	.26	-	 < 0.01	1.00E00
regulation of programmed cell death (GO:0043067)	88	0	.73	-	 < 0.01	1.00E00
negative regulation of apoptotic process (GO:0043066)	44	0	.37	-	 < 0.01	1.00E00
positive regulation of apoptotic process (GO:0043065)	30	0	.25	-	 < 0.01	1.00E00
sterol transport (GO:0015918)	16	0	.13	-	 < 0.01	1.00E00
cell projection morphogenesis (GO:0048858)	135	0	1.13	-	 < 0.01	6.32E-01
phospholipid transport (GO:0015914)	29	0	.24	-	 < 0.01	1.00E00
inorganic cation transmembrane transport (GO:0098662)	190	0	1.59	-	 < 0.01	4.12E-01
inorganic anion transmembrane transport (GO:0098661)	37	0	.31	-	 < 0.01	1.00E00
regulation of muscle contraction (GO:0006937)	7	0	.06	-	 < 0.01	1.00E00
inorganic ion transmembrane transport (GO:0098660)	220	0	1.84	-	 < 0.01	2.67E-01
muscle contraction (GO:0006936)	26	0	.22	-	 < 0.01	1.00E00
chemotaxis (GO:0006935)	31	0	.26	-	 < 0.01	1.00E00
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	3	0	.03	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity (GO:2000116)	18	0	.15	-	 < 0.01	1.00E00
ribosomal subunit export from nucleus (GO:0000054)	8	0	.07	-	 < 0.01	1.00E00
positive regulation of mRNA catabolic process (GO:0061014)	27	0	.23	-	 < 0.01	1.00E00
pyrimidine-containing compound metabolic process (GO:0072527)	24	0	.20	-	 < 0.01	1.00E00
regulation of mRNA catabolic process (GO:0061013)	48	0	.40	-	 < 0.01	1.00E00
pyridine-containing compound metabolic process (GO:0072524)	29	0	.24	-	 < 0.01	1.00E00
purine-containing compound catabolic process (GO:0072523)	22	0	.18	-	 < 0.01	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	48	0	.40	-	 < 0.01	1.00E00
purine-containing compound metabolic process (GO:0072521)	93	0	.78	-	 < 0.01	1.00E00
endoplasmic reticulum unfolded protein response (GO:0030968)	18	0	.15	-	 < 0.01	1.00E00
toll-like receptor signaling pathway (GO:0002224)	4	0	.03	-	 < 0.01	1.00E00
pattern recognition receptor signaling pathway (GO:0002221)	11	0	.09	-	 < 0.01	1.00E00
long-chain fatty acid transport (GO:0015909)	3	0	.03	-	 < 0.01	1.00E00
fatty acid transport (GO:0015908)	18	0	.15	-	 < 0.01	1.00E00
import into cell (GO:0098657)	175	0	1.46	-	 < 0.01	4.08E-01
monoatomic anion transmembrane transport (GO:0098656)	37	0	.31	-	 < 0.01	1.00E00
monoatomic cation transmembrane transport (GO:0098655)	190	0	1.59	-	 < 0.01	4.12E-01
autophagosome assembly (GO:0000045)	41	0	.34	-	 < 0.01	1.00E00
transition metal ion transport (GO:0000041)	34	0	.28	-	 < 0.01	1.00E00
activation of innate immune response (GO:0002218)	12	0	.10	-	 < 0.01	1.00E00
negative regulation of peptidase activity (GO:0010466)	22	0	.18	-	 < 0.01	1.00E00
endoplasmic reticulum tubular network organization (GO:0071786)	10	0	.08	-	 < 0.01	1.00E00
centrosome duplication (GO:0051298)	10	0	.08	-	 < 0.01	1.00E00
male sex differentiation (GO:0046661)	1	0	.01	-	 < 0.01	1.00E00
protein localization to Golgi apparatus (GO:0034067)	9	0	.08	-	 < 0.01	1.00E00
inner ear development (GO:0048839)	2	0	.02	-	 < 0.01	1.00E00
establishment of spindle orientation (GO:0051294)	10	0	.08	-	 < 0.01	1.00E00
cell-cell junction organization (GO:0045216)	40	0	.33	-	 < 0.01	1.00E00
establishment of spindle localization (GO:0051293)	17	0	.14	-	 < 0.01	1.00E00
sarcomere organization (GO:0045214)	15	0	.13	-	 < 0.01	1.00E00
activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	11	0	.09	-	 < 0.01	1.00E00
apoptotic process (GO:0006915)	50	0	.42	-	 < 0.01	1.00E00
autophagy (GO:0006914)	60	0	.50	-	 < 0.01	1.00E00
nucleocytoplasmic transport (GO:0006913)	70	0	.58	-	 < 0.01	1.00E00
phagocytosis, engulfment (GO:0006911)	4	0	.03	-	 < 0.01	1.00E00
calcium ion transmembrane import into cytosol (GO:0097553)	28	0	.23	-	 < 0.01	1.00E00
carboxylic acid transmembrane transport (GO:1905039)	51	0	.43	-	 < 0.01	1.00E00
pyridine nucleotide metabolic process (GO:0019362)	28	0	.23	-	 < 0.01	1.00E00
protein N-linked glycosylation via asparagine (GO:0018279)	8	0	.07	-	 < 0.01	1.00E00
somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)	2	0	.02	-	 < 0.01	1.00E00
somatic diversification of immune receptors (GO:0002200)	2	0	.02	-	 < 0.01	1.00E00
response to fibroblast growth factor (GO:0071774)	24	0	.20	-	 < 0.01	1.00E00
lymphocyte proliferation (GO:0046651)	1	0	.01	-	 < 0.01	1.00E00
regulation of macrophage activation (GO:0043030)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of sequestering of calcium ion (GO:0051283)	21	0	.18	-	 < 0.01	1.00E00
triglyceride homeostasis (GO:0070328)	4	0	.03	-	 < 0.01	1.00E00
regulation of sequestering of calcium ion (GO:0051282)	25	0	.21	-	 < 0.01	1.00E00
phagocytosis (GO:0006909)	16	0	.13	-	 < 0.01	1.00E00
vesicle fusion (GO:0006906)	39	0	.33	-	 < 0.01	1.00E00
ribosomal large subunit assembly (GO:0000027)	7	0	.06	-	 < 0.01	1.00E00
spliceosomal snRNP assembly (GO:0000387)	13	0	.11	-	 < 0.01	1.00E00
vesicle budding from membrane (GO:0006900)	22	0	.18	-	 < 0.01	1.00E00
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	17	0	.14	-	 < 0.01	1.00E00
alternative mRNA splicing, via spliceosome (GO:0000380)	5	0	.04	-	 < 0.01	1.00E00
lymphocyte activation (GO:0046649)	14	0	.12	-	 < 0.01	1.00E00
cellular response to organic cyclic compound (GO:0071407)	23	0	.19	-	 < 0.01	1.00E00
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	4	0	.03	-	 < 0.01	1.00E00
chromosome organization (GO:0051276)	102	0	.85	-	 < 0.01	1.00E00
nuclear membrane organization (GO:0071763)	4	0	.03	-	 < 0.01	1.00E00
central nervous system neuron differentiation (GO:0021953)	5	0	.04	-	 < 0.01	1.00E00
dendrite morphogenesis (GO:0048813)	2	0	.02	-	 < 0.01	1.00E00
neuron projection morphogenesis (GO:0048812)	134	0	1.12	-	 < 0.01	6.31E-01
regulation of DNA recombination (GO:0000018)	6	0	.05	-	 < 0.01	1.00E00
granulocyte migration (GO:0097530)	3	0	.03	-	 < 0.01	1.00E00
anatomical structure homeostasis (GO:0060249)	4	0	.03	-	 < 0.01	1.00E00
camera-type eye development (GO:0043010)	21	0	.18	-	 < 0.01	1.00E00
protein depolymerization (GO:0051261)	22	0	.18	-	 < 0.01	1.00E00
myeloid leukocyte migration (GO:0097529)	3	0	.03	-	 < 0.01	1.00E00
regulation of leukocyte proliferation (GO:0070663)	5	0	.04	-	 < 0.01	1.00E00
synaptic vesicle exocytosis (GO:0016079)	17	0	.14	-	 < 0.01	1.00E00
reproduction (GO:0000003)	72	0	.60	-	 < 0.01	1.00E00
leukocyte proliferation (GO:0070661)	1	0	.01	-	 < 0.01	1.00E00
mitochondrial genome maintenance (GO:0000002)	6	0	.05	-	 < 0.01	1.00E00
ribose phosphate metabolic process (GO:0019693)	75	0	.63	-	 < 0.01	1.00E00
snRNA metabolic process (GO:0016073)	24	0	.20	-	 < 0.01	1.00E00
rRNA metabolic process (GO:0016072)	88	0	.73	-	 < 0.01	1.00E00
centriole replication (GO:0007099)	9	0	.08	-	 < 0.01	1.00E00
centrosome cycle (GO:0007098)	17	0	.14	-	 < 0.01	1.00E00
nuclear migration (GO:0007097)	9	0	.08	-	 < 0.01	1.00E00
negative regulation of double-strand break repair (GO:2000780)	5	0	.04	-	 < 0.01	1.00E00
chordate embryonic development (GO:0043009)	16	0	.13	-	 < 0.01	1.00E00
mitotic G2 DNA damage checkpoint signaling (GO:0007095)	8	0	.07	-	 < 0.01	1.00E00
mitotic spindle assembly checkpoint signaling (GO:0007094)	9	0	.08	-	 < 0.01	1.00E00
regulation of mitotic spindle organization (GO:0060236)	2	0	.02	-	 < 0.01	1.00E00
mitotic cell cycle checkpoint signaling (GO:0007093)	24	0	.20	-	 < 0.01	1.00E00
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	2	0	.02	-	 < 0.01	1.00E00
protein polymerization (GO:0051258)	28	0	.23	-	 < 0.01	1.00E00
cell-cell adhesion (GO:0098609)	139	0	1.16	-	 < 0.01	6.33E-01
cellular response to starvation (GO:0009267)	20	0	.17	-	 < 0.01	1.00E00
Golgi to plasma membrane protein transport (GO:0043001)	6	0	.05	-	 < 0.01	1.00E00
response to temperature stimulus (GO:0009266)	12	0	.10	-	 < 0.01	1.00E00
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	7	0	.06	-	 < 0.01	1.00E00
regulation of exocytosis (GO:0017157)	26	0	.22	-	 < 0.01	1.00E00
negative regulation of RNA metabolic process (GO:0051253)	151	0	1.26	-	 < 0.01	6.40E-01
calcium-ion regulated exocytosis (GO:0017156)	13	0	.11	-	 < 0.01	1.00E00
ribonucleotide catabolic process (GO:0009261)	18	0	.15	-	 < 0.01	1.00E00
positive regulation of lymphocyte activation (GO:0051251)	5	0	.04	-	 < 0.01	1.00E00
purine nucleoside metabolic process (GO:0042278)	7	0	.06	-	 < 0.01	1.00E00
ribonucleotide biosynthetic process (GO:0009260)	35	0	.29	-	 < 0.01	1.00E00
negative regulation of lymphocyte activation (GO:0051250)	5	0	.04	-	 < 0.01	1.00E00
ribosomal small subunit biogenesis (GO:0042274)	43	0	.36	-	 < 0.01	1.00E00
ribosomal large subunit biogenesis (GO:0042273)	39	0	.33	-	 < 0.01	1.00E00
negative regulation of DNA-templated transcription (GO:0045892)	136	0	1.14	-	 < 0.01	6.32E-01
regulation of double-strand break repair (GO:2000779)	7	0	.06	-	 < 0.01	1.00E00
cardiac muscle cell action potential involved in contraction (GO:0086002)	4	0	.03	-	 < 0.01	1.00E00
cell-cell fusion (GO:0140253)	3	0	.03	-	 < 0.01	1.00E00
immunoglobulin mediated immune response (GO:0016064)	2	0	.02	-	 < 0.01	1.00E00
regulation of mitotic nuclear division (GO:0007088)	21	0	.18	-	 < 0.01	1.00E00
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	16	0	.13	-	 < 0.01	1.00E00
leukocyte differentiation (GO:0002521)	15	0	.13	-	 < 0.01	1.00E00
